Accession	Description	Coverage [%]	# Peptides	# PSMs	# Unique Peptides	Abundance: F5: 126, Sample, n/a, SFug_F2	Abundances Count: F5: 126, Sample, n/a, SFug_F2	Modifications
P07207	Neurogenic locus Notch protein	0.3	1	1	0	2828.804	1	
P07486	Glyceraldehyde-3-phosphate dehydrogenase 1	64.16	18	104	6	6079193.6551	26	
P07487	Glyceraldehyde-3-phosphate dehydrogenase 2	81.33	20	112	0	13528940.1635	101	
P07665	Serendipity locus protein beta	1.97	1	1	0	7720.917	1	
P07668	Choline O-acetyltransferase	9.71	6	7	6	27817.295100000003	7	
P07764	Fructose-bisphosphate aldolase	89.2	36	369	0	34907412.36751	293	
P08111	Lethal(2) giant larvae protein	2.76	3	3	0	39702.37	3	
P08120	Collagen alpha-1(IV) chain	3.93	5	12	5	239143.4896	12	
P08144	Alpha-amylase A	23.48	10	15	0	617580.776	14	
P08171	Esterase-6	20.22	12	20	0	647894.7765	19	
P08181	Casein kinase II subunit alpha	10.71	2	4	0	111636.7266	4	
P08182	Casein kinase II subunit beta	32.77	7	18	2	655425.43667	16	
P08570	Large ribosomal subunit protein P1	70.54	4	40	0	3647342.83823	39	
P08645	Ras-related protein Rap1	40.22	6	12	0	182371.32503	12	
P08646	Ras-like protein 1	37.04	5	13	5	902795.57	12	
P08736	Elongation factor 1-alpha 1	57.67	27	135	12	15242108.066639999	117	
P08761	Peptide methionine sulfoxide reductase	36.18	8	13	0	320630.4607	13	
P08879	Nucleoside diphosphate kinase	51.63	8	80	0	6597164.3621	68	
P08928	Lamin	66.88	49	174	48	6074931.83806	154	
P08985	Histone H2A.v	41.84	7	43	5	1142290.3727	22	
P09040	Drosulfakinins	17.73	3	4	3	168612.11	4	
P09180	Large ribosomal subunit protein uL4	47.38	20	55	20	1838942.54966	47	
P09208	Insulin-like receptor	1.77	5	5	5	914.4335	1	
P09491	Tropomyosin-2	64.44	27	221	1	134394.329	4	
P0DKM0	Cytochrome c oxidase assembly factor 3, mitochondrial	45.98	5	9	5	91150.3995	7	
P10180	Homeobox protein cut	0.69	1	1	0	630.54565	1	
P10379	Protein unzipped	27.05	12	27	0	962908.478	24	
P10552	FMRFamide-related peptides	5.76	2	2	2	69545.747	2	
P10676	Neither inactivation nor afterpotential protein C	26.52	43	73	6	642910.26137	61	
P10981	Actin-87E	68.62	28	611	0	8689158.2028	26	
P10987	Actin-5C	64.36	27	636	0	1213318.5496	14	
P11046	Laminin subunit beta-1	22.87	37	67	37	2176222.58586	63	
P11146	Heat shock 70 kDa protein cognate 2	11.37	6	34	1	1763.2496	1	
P11147	Heat shock 70 kDa protein cognate 4	78.49	51	327	0	24181405.88846	298	
P11584	Integrin beta-PS	19.98	17	28	0	441190.84385	25	
P12024	Chaoptin	27.6	35	84	0	2406450.97022	74	
P12080	Integrin alpha-PS2	13.11	18	23	18	741763.1776	22	
P12370	cAMP-dependent protein kinase catalytic subunit 1	40.51	17	41	16	1422660.3929	34	
P12426	Adenine phosphoribosyltransferase	25.82	5	9	0	122588.1486	9	
P12613	T-complex protein 1 subunit alpha	21.54	12	16	0	440594.12679999997	14	
P12881	Proteasome subunit alpha type-1	59.86	13	42	0	1272224.631	39	
P12982	Serine/threonine-protein phosphatase alpha-2 isoform	28.15	8	12	1	138579.8332	10	
P13008	Small ribosomal subunit protein eS26	21.05	2	7	0	88605.7048	6	
P13060	Eukaryotic translation elongation factor 2	30.81	23	41	23	1414760.6775	37	
P13217	1-phosphatidylinositol 4,5-bisphosphate phosphodiesterase	37.99	40	102	0	2945697.03419	93	
P13395	Spectrin alpha chain	63.6	137	494	0	22136434.44616	450	
P13469	DNA-binding protein modulo	6.83	4	4	0	21305.6103	3	
P13496	Dynactin subunit 1	15.18	21	23	21	360926.4778	19	
P13607	Sodium/potassium-transporting ATPase subunit alpha	39.48	36	135	0	8072881.89764	128	
P13677	Protein kinase C, eye isozyme	14.14	11	17	10	195362.76425	15	
P13678	Protein kinase C	3.92	3	3	0	118076.59700000001	3	
P13706	Glycerol-3-phosphate dehydrogenase [NAD(+)], cytoplasmic	77.41	27	201	0	11309.415	1	
P14199	Protein ref(2)P	22.37	11	19	11	331927.00145	18	
P14318	Muscle-specific protein 20	82.61	17	66	17	2486761.9537	62	
P14484	Pupal cuticle protein	27.17	5	19	5	403930.5984	18	
P14599	Amyloid-beta-like protein	1.92	2	2	0	8375.433	1	
P15007	Enolase	74.2	31	339	1	28290102.094610002	298	
P15215	Laminin subunit gamma-1	39.35	55	99	0	2201579.19002	90	
P15330	Embryonic polarity protein dorsal	3.4	3	3	0	344813.9752	3	
P15357	Ubiquitin-ribosomal protein eS31 fusion protein	42.95	7	62	2	3081293.5419	59	
P15364	Protein amalgam	13.21	4	5	0	164930.669	4	
P15372	Phosrestin-2	60.16	20	59	0	3669682.5653	52	
P15425	Peptidyl-prolyl cis-trans isomerase, rhodopsin-specific isozyme	32.91	5	10	5	110899.0561	8	
P16378	G protein alpha o subunit	26.55	10	39	7	1177495.633	38	
P16554	Protein numb	7.73	4	5	0	77684.5219	5	
P16568	Protein bicaudal D	18.8	15	17	0	195751.9053	17	
P16620	Tyrosine-protein phosphatase 69D	4.86	8	9	8	193070.88056	9	
P16621	Tyrosine-protein phosphatase Lar	0.59	1	1	0	4950.5537	1	
P16914	Protein elav	23.4	9	28	0	533372.99563	26	
P17210	Kinesin heavy chain	44.31	40	74	40	2110676.3177	70	
P17276	Protein henna	40.71	15	27	0	1083154.67757	26	
P17336	Catalase	34.78	14	49	14	1305017.5299	40	
P17704	Small ribosomal subunit protein eS17	65.65	7	25	7	1668237.29483	24	
P17719	Dihydrofolate reductase	19.78	3	4	3	52571.5402	4	
P18053	Proteasome subunit alpha type-4	50.0	12	38	10	1884729.89084	33	
P18173	Glucose dehydrogenase [FAD, quinone]	2.72	1	1	0	8380.665	1	
P18431	Protein kinase shaggy	33.85	16	43	0	1637865.25354	39	
P18432	Myosin regulatory light chain 2	84.68	19	189	19	11354548.70313	170	
P18459	Tyrosine 3-monooxygenase	11.57	7	9	0	277704.698	8	
P18824	Armadillo segment polarity protein	22.78	16	24	0	446951.46839	24	
P19107	Phosrestin-1	73.82	32	213	32	14667026.41951	198	
P19109	ATP-dependent RNA helicase p62	22.67	15	21	1	559467.6119	19	
P19334	Transient receptor potential protein	2.51	4	4	3	26491.2824	3	
P19339	Protein sex-lethal	4.52	2	2	0	14698.8106	2	
P19351	Troponin T, skeletal muscle	46.1	30	101	0	577318.6026999999	14	
P19889	Large ribosomal subunit protein uL10	48.58	14	75	0	3169869.5147	71	
P20007	Phosphoenolpyruvate carboxykinase [GTP]	6.65	5	5	4	79566.29699999999	4	
P20153	Protein ultraspiracle	2.76	2	2	0	11976.877700000001	2	
P20228	Glutamate decarboxylase	18.04	8	26	0	584571.67737	24	
P20232	Transcription elongation factor S-II	31.63	7	8	0	227930.8082	7	
P20240	Otefin	32.08	11	14	11	115526.99029999999	12	
P20241	Neuroglian	25.81	31	74	0	2008528.8303	71	
P20348	Sex-regulated protein janus-A	38.52	5	5	5	68444.2357	4	
P20351	Tryptophan 2,3-dioxygenase	5.28	2	2	2	11151.122599999999	2	
P20354	G protein alpha s subunit	39.74	13	26	1	2890.4104	1	
P20385	Chorion transcription factor Cf2	1.76	1	1	0	2689.2627	1	
P20432	Glutathione S-transferase D1	55.5	13	79	9	7013014.4862	64	
P20477	Glutamine synthetase 1, mitochondrial	41.85	14	59	0	4398255.6275	51	
P20478	Glutamine synthetase 2 cytoplasmic	81.03	24	179	0	31776541.13604	163	
P21187	Polyadenylate-binding protein	38.01	18	35	18	715301.5565000001	34	
P21914	Succinate dehydrogenase [ubiquinone] iron-sulfur subunit, mitochondrial	53.2	18	100	16	6364669.21096	88	
P22465	Annexin B10	76.01	24	139	24	5840742.237	121	
P22769	Proteasome subunit alpha type-7-1	53.82	12	32	10	1049791.014	32	
P22813	Heat shock factor protein	2.75	2	2	0	4148.4678	2	
P22815	Protein bride of sevenless	1.23	1	1	1	24224.244	1	
P22979	Heat shock protein 67B3	53.77	7	19	7	772360.37094	17	
P23128	ATP-dependent RNA helicase me31b	6.1	3	3	3	8388.6336	2	
P23226	205 kDa microtubule-associated protein	21.86	16	32	0	287738.46631	25	
P23257	Tubulin gamma-1 chain	5.89	3	3	2	44242.87843	3	
P23625	G protein alpha q subunit	51.56	19	75	16	3210358.3568	64	
P23654	Neurotactin	12.41	10	13	0	166633.90776	13	
P23696	Serine/threonine-protein phosphatase PP2A	20.39	5	14	0	254270.76671	13	
P23779	Cystatin-like protein	63.49	8	32	8	1659881.15953	29	
P24156	Prohibitin 1	68.48	17	53	0	2085620.7152	47	
P25007	Peptidyl-prolyl cis-trans isomerase	55.95	13	102	10	7243971.682	94	
P25160	ADP-ribosylation factor-like protein 1	6.11	1	3	1	45565.241	3	
P25161	Probable 26S proteasome non-ATPase regulatory subunit 3	29.76	16	24	0	659577.0197	21	
P25171	Regulator of chromosome condensation	6.03	4	4	4	129634.019	4	
P25228	Ras-related protein Rab-3	33.64	7	18	0	402465.83027	12	
P25455	1-phosphatidylinositol 4,5-bisphosphate phosphodiesterase classes I and II	4.86	7	7	7	44637.8485	6	
P25822	Maternal protein pumilio	2.15	3	5	0	38430.43426	5	
P25843	Profilin	88.89	7	28	0	1094596.2178	26	
P25867	Ubiquitin-conjugating enzyme E2-17 kDa	7.48	1	5	0	229613.40469999996	5	
P26270	26S proteasome non-ATPase regulatory subunit 7	10.65	4	6	0	185233.217	6	
P26308	Guanine nucleotide-binding protein subunit beta-1	33.53	8	21	0	511912.07800000004	19	
P26686	Serine-arginine protein 55	9.31	4	7	0	128862.277	7	
P27716	Innexin inx1	2.21	1	2	0	55783.842	2	
P27779	Pupal cuticle protein Edg-78E	38.52	3	11	0	102644.6314	9	
P28668	Bifunctional glutamate/proline--tRNA ligase	2.28	4	4	4	37261.9097	4	
P29052	Transcription initiation factor IIB	16.51	6	8	0	178227.94650000002	8	
P29310	14-3-3 protein zeta	67.74	17	278	0	17835945.0992	235	
P29327	Small ribosomal subunit protein eS6	20.16	5	20	2	885811.2180999999	20	
P29413	Calreticulin	46.55	20	61	0	3132482.1214	56	
P29613	Triosephosphate isomerase	76.11	17	131	16	9111443.75965	120	
P29742	Clathrin heavy chain	7.39	13	15	0	78140.6287	12	
P29746	Protein bangles and beads	61.76	24	46	24	1944642.5033	44	
P29829	Guanine nucleotide-binding protein subunit beta-2	51.45	16	61	16	3008837.59424	54	
P29843	Heat shock 70 kDa protein cognate 1	24.65	14	65	1	63685.077000000005	7	
P29844	Endoplasmic reticulum chaperone BiP	61.28	42	212	0	7542357.3342	150	
P29845	Heat shock 70 kDa protein cognate 5	62.97	44	178	0	8204736.05786	149	
P30432	Furin-like protease 2	0.66	1	1	0	6671.896	1	
P31009	Small ribosomal subunit protein uS5	44.94	11	28	0	2971467.7038000003	28	
P31409	V-type proton ATPase subunit B	59.59	22	96	0	3743943.7111	80	
P32100	Large ribosomal subunit protein uL30	38.49	12	29	0	1474875.53522	27	
P32234	Guanylate binding protein 128up	16.3	6	8	5	94679.84126	8	
P32392	Actin-related protein 3	10.53	4	7	4	207359.907	7	
P32748	Dihydroorotate dehydrogenase (quinone), mitochondrial	24.69	9	12	9	189583.6788	12	
P33438	Glutactin	14.13	17	42	0	500234.55703	35	
P34082	Fasciclin-2	17.18	15	23	0	235959.4381	21	
P35122	Ubiquitin carboxyl-terminal hydrolase	40.97	9	24	0	724266.526	20	
P35128	Ubiquitin-conjugating enzyme E2 N	56.29	7	17	0	575802.5255	17	
P35220	Catenin alpha	24.86	22	44	14	748585.0115	39	
P35381	ATP synthase subunit alpha, mitochondrial	71.38	43	407	43	43122303.37786	354	
P35415	Paramyosin, long form	73.38	77	511	0	21870685.75843	437	
P35416	Paramyosin, short form	56.41	39	294	0	1729494.1719	38	
P35421	Phosphoribosylformylglycinamidine synthase	1.33	2	2	2	6153.1213	2	
P35554	Flightin	49.45	8	18	0	770888.1383999999	17	
P35992	Tyrosine-protein phosphatase 10D	3.27	6	6	4	77121.5662	6	
P36179	Serine/threonine-protein phosphatase PP2A 65 kDa regulatory subunit	38.92	19	38	0	1693309.4799	35	
P36188	Troponin I	47.58	17	65	0	5192884.97324	59	
P36241	Large ribosomal subunit protein eL19	32.51	7	18	7	877765.6278	14	
P36872	Protein phosphatase PP2A 55 kDa regulatory subunit	5.81	3	3	0	15073.330999999998	2	
P36951	Putative hydroxypyruvate isomerase	56.82	13	31	13	1206682.3239	30	
P36958	DNA-directed RNA polymerase II subunit RPB9	21.71	2	3	0	4876.9307	1	
P36975	Synaptosomal-associated protein 25	85.38	19	114	17	3279660.9933599997	86	
P37193	Adrenodoxin-like protein 1, mitochondrial	18.02	3	4	0	138824.8587	4	
P37236	Frequenin-1	68.98	11	45	0	435717.526	8	
P38040	Guanine nucleotide-binding protein subunit gamma-1	68.57	5	14	5	347373.60599999997	9	
P38979	Small ribosomal subunit protein uS2	82.59	17	93	17	3798210.11461	77	
P39018	Small ribosomal subunit protein eS19A	53.85	11	39	0	1702780.1447	37	
P39736	Puff-specific protein Bx42	6.4	3	4	0	32250.7975	3	
P40301	Proteasome subunit alpha type-2	21.79	4	7	4	199368.31795	7	
P40304	Proteasome subunit beta type-1	28.94	6	8	6	560079.4569999999	8	
P40320	S-adenosylmethionine synthase	8.33	4	5	0	96196.25899999999	3	
P40417	Mitogen-activated protein kinase ERK-A	42.82	13	29	7	1095202.54115	27	
P40421	Serine/threonine-protein phosphatase rdgC	9.83	6	8	0	33481.92335	7	
P40423	Myosin regulatory light chain sqh	44.25	6	19	0	637174.697	17	
P40427	Homeobox protein extradenticle	2.93	1	1	0	865.1877	1	
P40792	Ras-related protein Rac1	22.4	4	7	0	355177.511	7	
P40793	Cdc42 homolog	37.7	7	8	0	268057.781	7	
P40796	La protein homolog	48.46	17	25	16	459814.22316	24	
P40797	Protein peanut	28.39	14	25	13	675098.4419399999	25	
P40945	ADP ribosylation factor 4	38.33	5	11	0	65373.1139	6	
P40946	ADP-ribosylation factor 6	38.86	5	8	5	105863.71340000001	8	
P41042	Small ribosomal subunit protein eS4	54.02	15	42	0	1203922.69908	35	
P41043	Glutathione S-transferase S1	76.71	15	62	0	4768879.7851599995	59	
P41044	Calbindin-32	77.74	26	146	0	5589844.67833	136	
P41073	Zinc finger protein on ecdysone puffs	17.18	12	29	0	184389.8727	24	
P41092	Large ribosomal subunit protein uL15	36.24	6	16	0	1458367.0126	16	
P41093	Large ribosomal subunit protein eL20	49.15	10	17	10	446975.0532	15	
P41094	Small ribosomal subunit protein uS13	56.58	14	48	14	1891702.2928	44	
P41126	Large ribosomal subunit protein eL13	47.71	12	50	0	1669646.1549	42	
P41374	Eukaryotic translation initiation factor 2 subunit 1	45.16	17	35	0	1263986.0818	34	
P41375	Eukaryotic translation initiation factor 2 subunit 2	18.27	6	6	6	49303.047	6	
P41572	6-phosphogluconate dehydrogenase, decarboxylating	28.48	12	22	0	702596.51295	18	
P42207	Septin-1	10.8	4	11	3	66670.117	3	
P42281	Acyl-CoA-binding protein homolog	73.26	6	37	5	2197425.05448	33	
P42325	Neurocalcin homolog	42.63	8	22	8	736541.9032	19	
P42787	Carboxypeptidase D	8.68	10	14	0	149673.16798	13	
P43332	U1 small nuclear ribonucleoprotein A	21.3	5	6	5	81886.197	6	
P45437	Coatomer subunit beta	4.67	3	4	3	62393.69927	4	
P45594	Cofilin/actin-depolymerizing factor homolog	75.68	13	89	13	4596198.80855	82	
P45888	Actin-related protein 2	15.79	5	7	5	91814.15729999999	7	
P45889	Actin-related protein 1	23.4	10	13	10	452582.3637	13	
P46150	Moesin/ezrin/radixin homolog 1	38.06	29	62	0	24930.874	2	
P46222	Large ribosomal subunit protein uL5	33.15	5	17	0	977610.4713999999	14	
P46223	Large ribosomal subunit protein eL8	33.58	10	33	0	2157376.5217	32	
P46415	Alcohol dehydrogenase class-3	13.98	5	11	5	372632.8443	10	
P46461	Vesicle-fusing ATPase 1	35.44	26	45	0	1146022.1236999999	44	
P46824	Kinesin light chain	37.4	23	45	0	1285360.18986	41	
P47947	Troponin C, isoform 1	24.68	4	24	0	1568228.5305	24	
P47948	Troponin C, isoform 2	47.1	6	9	0	17320.2717	3	
P47949	Troponin C, isoform 3	63.23	9	25	0	1078825.842	20	
P48148	Ras-like GTP-binding protein Rho1	64.58	10	22	10	1323508.4093	20	
P48149	Small ribosomal subunit protein uS8A	64.62	8	24	0	1141508.94728	22	
P48159	Large ribosomal subunit protein uL14	70.71	8	28	8	910453.3691	24	
P48375	Peptidyl-prolyl cis-trans isomerase Fkbp12	71.3	5	29	5	2171440.0689	28	
P48451	Calcineurin subunit B type 1	62.35	7	17	0	399130.386	4	
P48461	Serine/threonine-protein phosphatase alpha-1 isoform	23.24	7	11	0	28767.064000000002	2	
P48554	Ras-related protein Rac2	26.56	5	10	0	84224.40460000001	5	
P48555	Ras-related protein Ral-a	49.75	8	21	1	793594.4213	20	
P48588	Small ribosomal subunit protein eS25	16.24	2	4	2	79517.351	4	
P48596	GTP cyclohydrolase 1	42.59	13	60	13	3915021.0817	52	
P48598	Eukaryotic translation initiation factor 4E1	32.82	6	16	0	385871.9747	16	
P48601	26S proteasome regulatory subunit 4	44.65	20	44	0	1582741.7782	33	
P48602	V-type proton ATPase catalytic subunit A isoform 1	64.17	30	96	0	3285215.78021	87	
P48603	F-actin-capping protein subunit beta	24.28	6	7	0	109310.05949999999	5	
P48604	GrpE protein homolog, mitochondrial	47.89	11	32	11	723876.35507	32	
P48605	T-complex protein 1 subunit gamma	46.32	25	48	0	1552975.4589	40	
P48607	Protein spaetzle	3.99	1	1	0	5732.5225	1	
P48609	Cyclin-dependent kinase 5 homolog	20.75	8	11	7	358145.505	10	
P48610	Arginine kinase 1	75.84	36	446	0	44302704.83587	406	
P48611	6-pyruvoyl tetrahydrobiopterin synthase	54.76	8	27	8	1303380.47984	22	
P48809	Heterogeneous nuclear ribonucleoprotein 27C	36.82	10	43	0	558740.91839	39	
