Accession	Description	Coverage [%]	# Peptides	# PSMs	# Unique Peptides	Abundance: F5: 127N, Sample, n/a, SFug_M1	Abundances Count: F5: 127N, Sample, n/a, SFug_M1	Modifications
P08570	Large ribosomal subunit protein P1	75.89	5	33	0	902593.28816	23	
P08645	Ras-related protein Rap1	25.54	5	15	0	114968.24016	15	
P08646	Ras-like protein 1	30.69	4	10	4	88259.12243	8	
P08736	Elongation factor 1-alpha 1	70.84	34	198	17	7941065.16918	162	
P08761	Peptide methionine sulfoxide reductase	27.64	6	13	0	37498.48845	9	
P08879	Nucleoside diphosphate kinase	69.28	8	136	0	2693394.76612	100	
P08928	Lamin	67.36	50	193	49	2536693.15562	153	
P08985	Histone H2A.v	42.55	10	47	8	522105.83755999996	27	
P09040	Drosulfakinins	21.99	3	3	3	37215.738	3	
P09180	Large ribosomal subunit protein uL4	47.13	20	61	20	479771.6271	43	
P09208	Insulin-like receptor	3.03	8	10	8	5819.7113	4	
P09491	Tropomyosin-2	76.76	34	245	2	53791.778300000005	6	
P0DKM0	Cytochrome c oxidase assembly factor 3, mitochondrial	35.63	4	16	4	82701.90262000001	12	
P10180	Homeobox protein cut	0.46	1	3	0	61869.9947	3	
P10379	Protein unzipped	20.29	8	28	0	343846.99330000003	25	
P10552	FMRFamide-related peptides	2.31	1	3	1	40093.906	2	
P10676	Neither inactivation nor afterpotential protein C	25.98	40	88	11	167858.06037	54	
P10981	Actin-87E	76.33	30	777	0	932786.18534	33	
P10987	Actin-5C	64.63	27	797	0	356550.44097	26	
P11046	Laminin subunit beta-1	21.09	39	84	39	789281.80823	62	
P11146	Heat shock 70 kDa protein cognate 2	13.9	6	46	1	16343.258	1	
P11147	Heat shock 70 kDa protein cognate 4	77.73	48	406	0	13131656.58887	321	
P11584	Integrin beta-PS	18.32	17	45	0	204493.35297	36	
P12024	Chaoptin	30.95	35	88	0	1138768.61123	70	
P12080	Integrin alpha-PS2	11.53	17	39	17	172028.52354	32	
P12370	cAMP-dependent protein kinase catalytic subunit 1	45.61	16	49	15	569073.48906	37	
P12426	Adenine phosphoribosyltransferase	14.29	3	5	0	5475.057	2	
P12613	T-complex protein 1 subunit alpha	23.7	13	37	0	266998.91651	31	
P12881	Proteasome subunit alpha type-1	49.82	13	50	0	301417.95928999997	35	
P12982	Serine/threonine-protein phosphatase alpha-2 isoform	21.85	6	14	1	80107.6904	10	
P13008	Small ribosomal subunit protein eS26	21.05	2	12	0	88722.93576	8	
P13060	Eukaryotic translation elongation factor 2	39.22	27	75	27	418216.56841	62	
P13217	1-phosphatidylinositol 4,5-bisphosphate phosphodiesterase	34.7	38	97	0	1103878.84445	81	
P13395	Spectrin alpha chain	65.3	140	542	0	6486716.53555	423	
P13469	DNA-binding protein modulo	4.06	2	2	0	3132.62663	2	
P13496	Dynactin subunit 1	14.23	21	45	21	90573.98623	32	
P13607	Sodium/potassium-transporting ATPase subunit alpha	38.14	36	144	1	3147567.9330599997	122	
P13677	Protein kinase C, eye isozyme	12.57	9	13	9	23337.22773	11	
P13678	Protein kinase C	5.01	4	4	0	5724.751700000001	2	
P14199	Protein ref(2)P	13.19	7	32	7	143943.90133999998	28	
P14318	Muscle-specific protein 20	80.43	16	103	16	1471130.49771	69	
P14484	Pupal cuticle protein	27.17	5	39	5	280418.36443	29	
P15007	Enolase	78.0	40	271	1	17949242.41021	214	
P15215	Laminin subunit gamma-1	33.62	53	135	0	1041547.91933	114	
P15330	Embryonic polarity protein dorsal	1.4	2	3	0	1176.76456	2	
P15357	Ubiquitin-ribosomal protein eS31 fusion protein	42.31	6	84	1	1373485.66683	78	
P15364	Protein amalgam	15.92	5	11	0	36283.5698	8	
P15372	Phosrestin-2	67.58	19	65	0	1069357.45597	57	
P15425	Peptidyl-prolyl cis-trans isomerase, rhodopsin-specific isozyme	20.68	4	10	4	96476.82312	7	
P16378	G protein alpha o subunit	29.1	11	46	7	396398.98482	37	
P16554	Protein numb	15.47	8	12	0	44600.924790000005	10	
P16568	Protein bicaudal D	23.4	19	27	0	95917.61546	24	
P16620	Tyrosine-protein phosphatase 69D	5.88	9	13	9	46775.49822	11	
P16621	Tyrosine-protein phosphatase Lar	1.43	3	6	0	3124.3853	4	
P16914	Protein elav	30.23	13	43	0	400093.53086	33	
P17210	Kinesin heavy chain	34.56	34	100	34	488091.95315	75	
P17276	Protein henna	44.69	15	32	0	581963.98237	27	
P17336	Catalase	41.11	16	61	16	687804.26756	43	
P17704	Small ribosomal subunit protein eS17	69.47	10	30	10	379344.62809	25	
P17719	Dihydrofolate reductase	4.4	1	2	1	3028.02513	2	
P18053	Proteasome subunit alpha type-4	40.53	10	51	8	713509.69663	40	
P18173	Glucose dehydrogenase [FAD, quinone]	5.76	4	5	0	8018.214400000001	4	
P18431	Protein kinase shaggy	29.77	14	58	0	932707.0631	47	
P18432	Myosin regulatory light chain 2	86.94	19	167	19	3339856.21902	143	
P18459	Tyrosine 3-monooxygenase	6.91	5	11	0	58640.44458	10	
P18824	Armadillo segment polarity protein	14.47	12	25	0	82612.80038	15	
P19107	Phosrestin-1	77.56	33	263	33	7464690.83493	226	
P19109	ATP-dependent RNA helicase p62	22.67	17	36	0	103237.73785	25	
P19334	Transient receptor potential protein	4.39	6	9	4	20862.65527	7	
P19339	Protein sex-lethal	4.52	2	4	0	4415.127	3	
P19351	Troponin T, skeletal muscle	49.37	30	130	0	63888.54283	8	
P19889	Large ribosomal subunit protein uL10	48.58	12	46	0	2410952.89871	38	
P20007	Phosphoenolpyruvate carboxykinase [GTP]	5.87	5	8	3	6034.09145	3	
P20153	Protein ultraspiracle	5.91	4	7	0	21032.8816	5	
P20228	Glutamate decarboxylase	27.84	12	34	0	100173.36423	22	
P20232	Transcription elongation factor S-II	42.81	13	19	0	43114.3213	10	
P20240	Otefin	29.95	11	22	11	80592.06692	16	
P20241	Neuroglian	21.89	29	84	0	605615.28554	69	
P20348	Sex-regulated protein janus-A	28.89	4	7	4	68238.559	5	
P20351	Tryptophan 2,3-dioxygenase	7.92	3	4	3	5957.352	3	
P20385	Chorion transcription factor Cf2	9.8	5	6	0	19942.493300000002	3	
P20432	Glutathione S-transferase D1	52.15	12	101	9	5654183.11077	82	
P20477	Glutamine synthetase 1, mitochondrial	44.11	16	73	0	2336314.86692	55	
P20478	Glutamine synthetase 2 cytoplasmic	82.38	24	230	0	9544281.24743	195	
P21187	Polyadenylate-binding protein	26.81	14	44	14	120430.66136	33	
P21914	Succinate dehydrogenase [ubiquinone] iron-sulfur subunit, mitochondrial	60.61	20	117	18	3154982.66366	91	
P22465	Annexin B10	65.42	20	129	20	2200007.35595	112	
P22769	Proteasome subunit alpha type-7-1	39.36	9	33	8	486413.2446	29	
P22813	Heat shock factor protein	7.09	5	6	0	9919.814129999999	5	
P22815	Protein bride of sevenless	1.34	1	1	1	3350.9243	1	
P22979	Heat shock protein 67B3	54.27	8	22	8	394762.67003	18	
P23128	ATP-dependent RNA helicase me31b	5.23	3	7	3	14982.9145	7	
P23226	205 kDa microtubule-associated protein	24.39	23	63	0	244468.91372	43	
P23257	Tubulin gamma-1 chain	5.68	3	4	1	11282.14546	3	
P23625	G protein alpha q subunit	54.67	20	124	18	2484081.20977	96	
P23654	Neurotactin	8.87	7	17	0	51896.88866	13	
P23696	Serine/threonine-protein phosphatase PP2A	18.12	5	10	0	78186.38216000001	8	
P23779	Cystatin-like protein	63.49	8	26	8	798086.9129700001	19	
P24156	Prohibitin 1	73.91	17	62	0	978048.49338	48	
P25007	Peptidyl-prolyl cis-trans isomerase	51.98	15	120	10	6777289.5434	92	
P25160	ADP-ribosylation factor-like protein 1	4.44	1	2	1	5063.6236	2	
P25161	Probable 26S proteasome non-ATPase regulatory subunit 3	29.76	16	40	0	322009.07724	37	
P25171	Regulator of chromosome condensation	10.42	5	9	5	37681.116200000004	9	
P25172	Protein suppressor 2 of zeste	1.75	2	2	0	2400.978	1	
P25228	Ras-related protein Rab-3	30.45	6	18	0	58853.47209999999	5	
P25455	1-phosphatidylinositol 4,5-bisphosphate phosphodiesterase classes I and II	5.69	9	11	9	21365.5086	9	
P25822	Maternal protein pumilio	3.39	5	8	0	18282.13126	6	
P25843	Profilin	88.89	7	27	0	628764.1953	22	
P25867	Ubiquitin-conjugating enzyme E2-17 kDa	12.24	2	6	0	157419.636	5	
P26270	26S proteasome non-ATPase regulatory subunit 7	7.69	3	9	0	47465.556860000004	9	
P26308	Guanine nucleotide-binding protein subunit beta-1	24.71	7	32	0	383727.22969	26	
P26686	Serine-arginine protein 55	18.35	8	14	0	61701.98956	11	
P27716	Innexin inx1	11.33	5	7	0	29912.307	6	
P27779	Pupal cuticle protein Edg-78E	38.52	3	20	0	79488.4455	14	
P28668	Bifunctional glutamate/proline--tRNA ligase	4.9	9	11	9	20605.4734	5	
P29052	Transcription initiation factor IIB	13.65	5	13	0	37615.37835	8	
P29310	14-3-3 protein zeta	69.35	18	328	0	7060645.83731	260	
P29327	Small ribosomal subunit protein eS6	26.21	6	24	2	335671.27733	18	
P29413	Calreticulin	57.64	21	79	0	1665436.67161	71	
P29613	Triosephosphate isomerase	77.73	17	135	16	4690092.00919	107	
P29742	Clathrin heavy chain	8.76	16	22	0	16252.8449	10	
P29746	Protein bangles and beads	59.28	23	66	23	1032738.1857299999	58	
P29829	Guanine nucleotide-binding protein subunit beta-2	48.55	16	75	16	1067406.2754	62	
P29843	Heat shock 70 kDa protein cognate 1	25.59	15	100	2	7629.8089	5	
P29844	Endoplasmic reticulum chaperone BiP	65.7	42	234	0	3446413.89258	123	
P29845	Heat shock 70 kDa protein cognate 5	59.18	46	206	0	3615170.6708	158	
P30432	Furin-like protease 2	2.44	4	6	0	6732.48422	5	
P31009	Small ribosomal subunit protein uS5	41.2	11	51	0	601402.94466	38	
P31409	V-type proton ATPase subunit B	52.45	21	89	0	1290827.34451	70	
P32100	Large ribosomal subunit protein uL30	45.24	15	40	0	464795.0642	31	
P32234	Guanylate binding protein 128up	11.14	4	4	3	31272.257380000003	4	
P32392	Actin-related protein 3	16.99	7	15	7	67098.4079	11	
P32748	Dihydroorotate dehydrogenase (quinone), mitochondrial	15.06	7	17	7	34950.78624	13	
P33438	Glutactin	23.98	23	64	0	164425.6243	36	
P34082	Fasciclin-2	23.02	17	30	0	137863.85762	23	
P35122	Ubiquitin carboxyl-terminal hydrolase	55.07	9	24	0	450468.70287	21	
P35128	Ubiquitin-conjugating enzyme E2 N	60.93	8	20	0	353000.16464	18	
P35220	Catenin alpha	24.1	22	60	12	203039.08997	47	
P35381	ATP synthase subunit alpha, mitochondrial	73.91	46	498	46	23622167.6636	382	
P35415	Paramyosin, long form	75.2	85	589	0	10172027.17642	388	
P35416	Paramyosin, short form	62.19	47	347	0	782665.33392	45	
P35421	Phosphoribosylformylglycinamidine synthase	0.59	1	2	1	617.1998	1	
P35554	Flightin	46.7	7	14	0	93548.71343999999	8	
P35992	Tyrosine-protein phosphatase 10D	4.62	10	11	9	27226.40852	9	
P36179	Serine/threonine-protein phosphatase PP2A 65 kDa regulatory subunit	36.55	21	62	0	1292178.8055	54	
P36188	Troponin I	46.1	16	73	0	1277674.9016800001	63	
P36241	Large ribosomal subunit protein eL19	24.14	5	17	5	312625.96748	11	
P36872	Protein phosphatase PP2A 55 kDa regulatory subunit	7.82	4	5	0	4440.584	1	
P36951	Putative hydroxypyruvate isomerase	43.18	10	27	10	494883.1867	24	
P36958	DNA-directed RNA polymerase II subunit RPB9	5.43	1	1	0	1774.4264	1	
P36975	Synaptosomal-associated protein 25	85.38	19	157	17	2050804.65983	98	
P37193	Adrenodoxin-like protein 1, mitochondrial	29.07	4	7	0	123455.814	6	
P37236	Frequenin-1	56.15	9	52	0	106986.9911	8	
P37276	Dynein heavy chain, cytoplasmic	0.86	5	6	0	2143.859	1	
P38040	Guanine nucleotide-binding protein subunit gamma-1	77.14	6	36	6	190122.61562	16	
P38979	Small ribosomal subunit protein uS2	81.85	17	57	17	1238937.1042	47	
P39018	Small ribosomal subunit protein eS19A	53.85	11	59	0	1201932.03301	54	
P39736	Puff-specific protein Bx42	12.61	6	12	0	12768.96374	7	
P40301	Proteasome subunit alpha type-2	15.81	3	4	3	147201.58976	4	
P40304	Proteasome subunit beta type-1	33.62	7	18	7	137528.89283	16	
P40320	S-adenosylmethionine synthase	8.33	4	6	0	41988.9313	4	
P40417	Mitogen-activated protein kinase ERK-A	36.17	12	29	7	301218.58441999997	23	
P40421	Serine/threonine-protein phosphatase rdgC	6.96	5	12	0	14519.544579999998	9	
P40423	Myosin regulatory light chain sqh	33.91	5	29	0	230650.23024	23	
P40427	Homeobox protein extradenticle	3.72	1	4	0	2940.8603000000003	2	
P40792	Ras-related protein Rac1	22.4	4	22	0	80189.7665	18	
P40793	Cdc42 homolog	27.75	5	16	0	112958.51861	10	
P40796	La protein homolog	30.26	11	26	10	82202.33176	15	
P40797	Protein peanut	12.62	7	32	6	130741.89198	26	
P40945	ADP ribosylation factor 4	30.0	4	17	0	2249.4736	1	
P41042	Small ribosomal subunit protein eS4	41.76	12	39	0	480580.74154	31	
P41043	Glutathione S-transferase S1	75.9	13	61	0	4500890.8966	48	
P41044	Calbindin-32	75.48	25	116	0	2797531.45009	79	
P41073	Zinc finger protein on ecdysone puffs	22.07	14	39	0	70978.36872	19	
P41092	Large ribosomal subunit protein uL15	41.61	7	22	0	172901.09165000002	15	
P41093	Large ribosomal subunit protein eL20	33.33	7	21	7	243255.62244	18	
P41094	Small ribosomal subunit protein uS13	59.87	15	60	15	924689.26454	50	
P41126	Large ribosomal subunit protein eL13	48.17	12	57	0	807576.0850300001	38	
P41374	Eukaryotic translation initiation factor 2 subunit 1	45.45	15	42	0	400565.04783	35	
P41375	Eukaryotic translation initiation factor 2 subunit 2	19.87	7	16	7	66422.9425	12	
P41572	6-phosphogluconate dehydrogenase, decarboxylating	23.49	10	30	0	212131.56477	24	
P41900	General transcription factor IIF subunit 2	8.3	2	2	2	6643.411300000001	2	
P42207	Septin-1	12.74	5	19	4	22825.77187	5	
P42281	Acyl-CoA-binding protein homolog	73.26	6	30	5	1713908.38296	27	
P42325	Neurocalcin homolog	66.32	14	25	14	503936.52019999997	21	
P42787	Carboxypeptidase D	5.26	8	12	0	60778.86754	10	
P43332	U1 small nuclear ribonucleoprotein A	18.98	5	13	5	74700.69298	9	
P45437	Coatomer subunit beta	7.57	5	10	5	42640.994900000005	9	
P45594	Cofilin/actin-depolymerizing factor homolog	85.81	16	118	16	3774584.97039	84	
P45888	Actin-related protein 2	12.53	5	9	5	28235.728000000003	5	
P45889	Actin-related protein 1	24.47	13	20	13	236695.40511	18	
P46150	Moesin/ezrin/radixin homolog 1	34.6	27	64	0	20669.504	1	
P46222	Large ribosomal subunit protein uL5	21.2	4	19	0	239501.98748	13	
P46223	Large ribosomal subunit protein eL8	33.58	8	36	0	497068.04535000003	25	
P46415	Alcohol dehydrogenase class-3	18.47	6	12	6	78398.23533	10	
P46461	Vesicle-fusing ATPase 1	39.19	29	83	0	515669.87069999997	68	
P46824	Kinesin light chain	41.34	24	66	0	462980.9444	49	
P47947	Troponin C, isoform 1	20.78	3	33	0	873779.8476	28	
P47949	Troponin C, isoform 3	51.61	7	20	0	583421.03815	18	
P48148	Ras-like GTP-binding protein Rho1	66.67	10	36	10	484589.46225	28	
P48149	Small ribosomal subunit protein uS8A	38.46	6	23	0	409349.955	15	
P48159	Large ribosomal subunit protein uL14	70.71	8	26	8	280801.81971999997	20	
P48375	Peptidyl-prolyl cis-trans isomerase Fkbp12	60.19	5	36	5	1745105.32168	27	
P48451	Calcineurin subunit B type 1	55.88	7	25	0	60099.370800000004	4	
P48461	Serine/threonine-protein phosphatase alpha-1 isoform	19.88	6	11	0	453.15964	1	
P48554	Ras-related protein Rac2	26.56	5	20	0	11873.3356	4	
P48555	Ras-related protein Ral-a	43.28	8	20	1	203818.215	17	
P48588	Small ribosomal subunit protein eS25	8.55	1	6	1	37677.82122	5	
P48596	GTP cyclohydrolase 1	46.91	13	74	13	1041583.47831	50	
P48598	Eukaryotic translation initiation factor 4E1	26.64	4	17	0	98558.0291	17	
P48601	26S proteasome regulatory subunit 4	51.25	22	73	0	680156.81305	50	
P48602	V-type proton ATPase catalytic subunit A isoform 1	55.7	28	113	0	954730.73291	88	
P48603	F-actin-capping protein subunit beta	20.65	7	16	0	50609.592	13	
P48604	GrpE protein homolog, mitochondrial	42.72	11	48	11	373972.33243	45	
P48605	T-complex protein 1 subunit gamma	34.56	21	73	0	486987.06199	52	
P48607	Protein spaetzle	4.29	1	2	0	2676.8188	1	
P48609	Cyclin-dependent kinase 5 homolog	16.67	5	8	4	24421.5524	4	
P48610	Arginine kinase 1	75.28	38	429	0	15863271.78076	339	
P48611	6-pyruvoyl tetrahydrobiopterin synthase	63.1	8	28	8	360011.35058	20	
P48809	Heterogeneous nuclear ribonucleoprotein 27C	41.57	12	53	0	407617.05892	45	
P48810	Heterogeneous nuclear ribonucleoprotein 87F	19.48	6	18	0	41019.91255	13	
P49028	Protein mago nashi	46.26	6	12	6	124283.1612	7	
