Accession	Description	Coverage [%]	# Peptides	# PSMs	# Unique Peptides	Abundance: F8: 126, Sample, n/a, SFug_F3	Abundances Count: F8: 126, Sample, n/a, SFug_F3	Modifications
C0HK92	Uncharacterized protein CG45076	59.45	40	132	0	7649162.1408	117	
C0HK94	Uncharacterized protein CG45078	64.42	14	34	12	820187.9555	23	
C0HK95	Protein anoxia up-regulated	87.02	12	67	10	2159419.98099	46	
C0HKA0	Small ribosomal subunit protein uS11A	47.68	7	23	0	1472465.9195	21	
C0HL62	Larval cuticle protein 65Ab1	46.15	3	8	0	219771.56569999998	8	
C0HL66	Histone H3.3A	55.15	7	37	0	61880.09516	5	
C0HLZ9	Baramicin A1	17.51	4	6	0	156057.39800000002	5	
C4NYP8	Hsc70-interacting protein 1	40.85	15	41	0	2155766.59433	39	
E1JIT7	PH and SEC7 domain-containing protein	2.12	3	3	3	15393.94214	3	
F3YDF1	ATP-dependent zinc metalloprotease YME1L	12.7	9	13	0	194484.7248	12	
M9NDE3	Protein bark beetle	4.42	14	14	14	121146.13829999999	11	
M9PF61	Aldo-keto reductase 1B	60.0	21	73	21	13928101.0525	69	
M9PFN0	Phosphatase Herzog	21.88	7	13	7	128794.5187	10	
O01367	Protein held out wings	18.52	7	14	0	270231.59717	13	
O01404	Peptidylglycine alpha-hydroxylating monooxygenase	17.26	6	16	0	748873.6359	12	
O01666	ATP synthase subunit gamma, mitochondrial	59.26	19	142	19	17720803.12174	128	
O02194	Presenilin homolog	5.73	2	2	0	13134.07	1	
O02195	Eukaryotic translation initiation factor 3 subunit I	44.48	11	19	11	1063939.1376	18	
O02649	Heat shock protein 60A	76.27	44	168	28	19047161.38697	146	
O15943	Neural-cadherin	17.05	53	82	2	1786760.48	77	
O16797	Large ribosomal subunit protein uL3	15.62	8	13	8	246276.0793	12	
O17444	Vesicular acetylcholine transporter	10.9	5	7	5	91228.7428	6	
O17445	Large ribosomal subunit protein eL15	12.25	3	6	0	30632.149299999997	3	
O18333	Ras-related protein Rab-2	44.6	9	17	9	643303.18405	17	
O18334	Ras-related protein Rab6	33.17	8	22	0	153564.9547	8	
O18373	Inactive selenide, water dikinase-like protein	21.36	10	22	10	1294036.7928	21	
O18388	Importin subunit beta	3.85	4	4	0	98317.4409	3	
O18404	3-hydroxyacyl-CoA dehydrogenase type-2	83.53	18	148	18	17181230.253370002	121	
O18413	26S proteasome regulatory subunit 8	48.4	20	54	8	1388937.2506	37	
O18640	Small ribosomal subunit protein RACK1	27.67	11	15	0	662175.2245	14	
O44081	H/ACA ribonucleoprotein complex subunit 4	3.15	2	2	0	12791.218	1	
O44342	Protein windbeutel	17.51	4	5	0	56270.27255000001	5	
O44386	Integrin alpha-PS3	7.26	8	10	6	154388.1255	9	
O44437	Small nuclear ribonucleoprotein Sm D3	24.5	4	6	4	366360.411	5	
O46037	Vinculin	59.31	53	121	0	4654314.4199	107	
O46084	Serine/threonine-protein phosphatase Pgam5, mitochondrial	3.46	1	1	0	15605.791	1	
O46098	LYR motif-containing protein 4 homolog	69.57	8	18	8	761167.27705	17	
O46106	Splicing factor 3A subunit 3	23.06	9	11	9	233976.4825	10	
O46339	Homeobox protein homothorax	5.54	2	2	2	8238.3981	2	
O61231	Large ribosomal subunit protein uL16	44.04	12	22	0	1001605.76	17	
O61305	DEAD-box helicase Dbp80	3.7	2	2	0	51720.18	2	
O61307	Teneurin-m	2.01	4	4	0	83246.36	2	
O61443	Mitogen-activated protein kinase p38b	15.89	6	10	3	205733.7662	10	
O61491	Flotillin-1	57.51	24	64	24	3899041.4675	59	
O61722	PRL-1 phosphatase	67.05	10	24	10	576881.0017	21	
O62619	Pyruvate kinase	69.79	30	93	30	12366092.97134	77	
O62621	Coatomer subunit beta'	2.08	2	2	2	8666.61033	2	
O76206	Putative riboflavin kinase	39.87	6	13	0	568548.2697000001	9	
O76454	Pterin-4-alpha-carbinolamine dehydratase	33.85	4	7	4	408340.4946600001	7	
O76742	Ras-related protein Rab7	37.68	8	13	8	588494.5539	12	
O76878	RILP-like protein homolog	18.96	7	9	0	90534.9241	7	
O76902	Pleckstrin homology domain-containing family F member 1 homolog	11.39	4	10	4	299299.2863	10	
O76927	Small ribosomal subunit protein eS21	72.29	6	20	0	467780.26675	15	
O77051	Transcription factor E2F2	16.76	6	8	0	58960.0933	6	
O77263	tRNA (guanine-N(7)-)-methyltransferase	24.61	4	6	4	72620.4904	6	
O77277	Torsin-like protein	10.0	4	5	0	142473.8084	5	
O77410	Eukaryotic translation initiation factor 3 subunit E	8.97	4	5	4	66536.9543	4	
O96553	C-1-tetrahydrofolate synthase, cytoplasmic	20.35	21	24	0	425598.5781	22	
O96690	Protein PDF	15.69	1	2	1	6686.3555	1	
O96827	Probable elongation factor 1-beta	83.78	18	101	0	6460591.03467	92	
O97067	Probable peptidyl-tRNA hydrolase 2	30.65	5	9	0	185094.7923	8	
O97125	Heat shock protein 68	30.39	17	74	11	1103097.05133	25	
O97172	UPF0729 protein CG18508	29.29	3	3	0	24556.013	2	
O97394	Protein sidekick	0.45	1	1	0	715.21716	1	
O97422	Galactosylgalactosylxylosylprotein 3-beta-glucuronosyltransferase I	8.17	3	3	3	62579.626000000004	3	
O97477	Inositol-3-phosphate synthase	29.56	14	50	14	4798204.65028	44	
P00334	Alcohol dehydrogenase	88.28	23	232	23	103895959.90761	204	
P00408	Cytochrome c oxidase subunit 2	33.77	7	27	7	4555041.5589000005	22	
P00522	Tyrosine-protein kinase Abl	2.9	3	4	0	14196.8374	2	
P02255	Histone H1	25.0	5	6	0	80718.6693	6	
P02283	Histone H2B	56.91	8	80	8	10853019.8802	71	
P02299	Histone H3	55.15	7	35	2	9304583.8089	29	
P02515	Heat shock protein 22	38.51	7	11	7	605820.3213	10	
P02516	Heat shock protein 23	84.95	16	72	0	10017142.124	65	
P02517	Heat shock protein 26	48.08	8	23	0	3638769.7007	23	
P02518	Heat shock protein 27	55.87	11	23	0	1735559.89549	18	
P02572	Actin-42A	74.2	30	655	3	270108521.99569	583	
P02574	Actin, larval muscle	66.22	27	546	0	1112489.1747	19	
P02828	Heat shock protein 83	51.74	42	171	0	21478791.19196	164	
P02843	Vitellogenin-1	65.15	29	248	0	24988945.93847	181	
P02844	Vitellogenin-2	66.97	26	196	0	21826525.88415	147	
P04197	Myb protein	2.28	2	2	0	10322.699	2	
P04359	Large ribosomal subunit protein eL32	38.81	5	9	5	630169.769	8	
P04388	Ras-like protein 2	25.0	4	8	4	359771.605	7	
P05031	Aromatic-L-amino-acid decarboxylase	6.47	2	2	2	20733.6752	2	
P05205	Heterochromatin protein 1	44.66	9	23	9	706721.26689	18	
P05303	Elongation factor 1-alpha 2	53.9	27	157	0	3323234.46906	36	
P05389	Large ribosomal subunit protein P2	29.2	3	13	3	3007873.4293	12	
P05552	Transcription factor Adf-1	17.56	4	5	0	105683.597	4	
P05661	Myosin heavy chain, muscle	53.31	127	445	0	607142.7652	10	
P05812	Heat shock protein 67B1	22.7	8	11	8	162242.03789	11	
P06002	Opsin Rh1	7.24	3	7	3	673898.053	5	
P06603	Tubulin alpha-1 chain	59.33	26	218	0	97970861.61401	186	
P06607	Vitellogenin-3	80.0	35	270	0	41359124.80107	237	
P06742	Myosin light chain alkali	55.48	9	117	0	23597156.86182	97	
P07207	Neurogenic locus Notch protein	1.0	2	2	0	3796.2793	2	
P07486	Glyceraldehyde-3-phosphate dehydrogenase 1	76.81	23	131	9	11908662.7433	33	
P07487	Glyceraldehyde-3-phosphate dehydrogenase 2	84.04	23	146	0	40381733.94702	133	
P07665	Serendipity locus protein beta	5.9	3	4	0	73552.6667	4	
P07668	Choline O-acetyltransferase	14.7	8	8	8	57960.8203	8	
P07764	Fructose-bisphosphate aldolase	88.92	42	386	0	131677406.43699001	331	
P08111	Lethal(2) giant larvae protein	9.3	10	10	0	117648.9249	8	
P08120	Collagen alpha-1(IV) chain	6.35	9	22	9	607318.1061	22	
P08144	Alpha-amylase A	22.87	10	19	0	963785.37038	17	
P08171	Esterase-6	15.26	8	18	0	927921.057	17	
P08181	Casein kinase II subunit alpha	10.42	3	5	0	122621.2063	5	
P08182	Casein kinase II subunit beta	38.72	8	19	2	1223622.6301	19	
P08570	Large ribosomal subunit protein P1	70.54	4	46	0	8077445.14944	45	
P08645	Ras-related protein Rap1	40.76	6	13	0	398001.9121	12	
P08646	Ras-like protein 1	38.62	7	19	7	1173828.1335	17	
P08736	Elongation factor 1-alpha 1	49.46	27	176	12	48221584.60061	155	
P08761	Peptide methionine sulfoxide reductase	35.77	7	12	0	562943.369	12	
P08879	Nucleoside diphosphate kinase	69.28	8	123	0	13247554.68138	101	
P08928	Lamin	75.72	60	199	59	11675002.96146	174	
P08985	Histone H2A.v	42.55	10	39	8	4611744.05444	27	
P09040	Drosulfakinins	17.73	3	4	3	96545.3964	4	
P09180	Large ribosomal subunit protein uL4	45.14	22	52	22	4235474.2388	46	
P09208	Insulin-like receptor	2.19	5	6	5	22103.42075	5	
P09491	Tropomyosin-2	82.39	40	292	3	778398.24	10	
P0DKM0	Cytochrome c oxidase assembly factor 3, mitochondrial	41.38	5	9	5	189698.1848	8	
P10379	Protein unzipped	27.46	11	26	0	1092363.1469999999	24	
P10552	FMRFamide-related peptides	8.36	3	4	3	246154.014	4	
P10676	Neither inactivation nor afterpotential protein C	30.38	50	73	12	1313769.23374	66	
P10981	Actin-87E	69.15	30	649	0	11727851.8807	27	
P10987	Actin-5C	74.2	31	679	0	4433942.4291	23	
P11046	Laminin subunit beta-1	29.14	47	83	47	4791685.9926	75	
P11146	Heat shock 70 kDa protein cognate 2	11.37	6	39	1	779.43713	1	
P11147	Heat shock 70 kDa protein cognate 4	86.18	55	389	0	67645938.26057	333	
P11584	Integrin beta-PS	27.54	22	46	0	2057492.56538	44	
P12024	Chaoptin	34.98	42	110	0	6692050.76492	102	
P12080	Integrin alpha-PS2	12.39	17	21	17	1091483.7603	19	
P12252	3',5'-cyclic-AMP phosphodiesterase	18.88	16	26	0	28821.825900000003	3	
P12370	cAMP-dependent protein kinase catalytic subunit 1	51.84	21	54	20	5527861.75765	50	
P12426	Adenine phosphoribosyltransferase	20.88	4	4	0	45158.21464	4	
P12613	T-complex protein 1 subunit alpha	23.88	13	17	0	811234.3695	15	
P12646	Glucose-6-phosphate 1-dehydrogenase	3.63	2	3	2	38134.422	3	
P12881	Proteasome subunit alpha type-1	64.52	16	47	0	3826174.5529199997	44	
P12982	Serine/threonine-protein phosphatase alpha-2 isoform	22.52	6	16	1	586279.9867	10	
P13008	Small ribosomal subunit protein eS26	21.05	2	10	0	502516.1284	9	
P13060	Eukaryotic translation elongation factor 2	27.96	24	44	24	2957965.27	39	
P13217	1-phosphatidylinositol 4,5-bisphosphate phosphodiesterase	43.56	47	121	0	6622055.8199	108	
P13395	Spectrin alpha chain	66.34	150	596	0	54162371.03879	544	
P13469	DNA-binding protein modulo	6.83	4	4	0	103581.984	4	
P13496	Dynactin subunit 1	19.53	26	29	26	666486.9009	28	
P13607	Sodium/potassium-transporting ATPase subunit alpha	44.67	44	149	0	18260383.92389	137	
P13677	Protein kinase C, eye isozyme	10.71	8	13	7	357590.9871	12	
P13678	Protein kinase C	6.22	5	6	0	77090.8412	4	
P13706	Glycerol-3-phosphate dehydrogenase [NAD(+)], cytoplasmic	87.88	29	188	0	15868.872	1	
P14199	Protein ref(2)P	21.04	10	16	10	790060.0713000001	15	
P14318	Muscle-specific protein 20	83.15	21	93	21	11568180.97524	86	
P14484	Pupal cuticle protein	27.17	5	23	5	1329217.8603	21	
P15007	Enolase	77.8	36	335	1	79238571.07491	298	
P15215	Laminin subunit gamma-1	38.87	56	107	0	6271227.13017	101	
P15330	Embryonic polarity protein dorsal	5.31	4	4	0	37768.9206	4	
P15357	Ubiquitin-ribosomal protein eS31 fusion protein	42.31	6	62	1	8971477.27606	58	
P15364	Protein amalgam	24.62	6	10	0	217980.4309	9	
P15372	Phosrestin-2	69.78	24	97	0	7720541.36817	88	
P15425	Peptidyl-prolyl cis-trans isomerase, rhodopsin-specific isozyme	24.05	4	5	4	235273.088	4	
P16378	G protein alpha o subunit	26.27	11	43	8	6056029.009000001	39	
P16554	Protein numb	19.06	9	11	0	230244.5075	11	
P16568	Protein bicaudal D	20.59	17	19	0	354386.723	18	
P16620	Tyrosine-protein phosphatase 69D	5.81	8	9	8	387172.95439999993	8	
P16621	Tyrosine-protein phosphatase Lar	0.59	1	1	0	5696.218	1	
P16914	Protein elav	34.58	12	38	0	1487906.22168	34	
P17210	Kinesin heavy chain	46.77	45	96	45	3897280.68878	84	
P17276	Protein henna	40.04	15	35	0	2774479.91815	33	
P17336	Catalase	44.47	19	65	19	4455970.3697	53	
P17704	Small ribosomal subunit protein eS17	58.78	9	30	9	2403093.0318	28	
P17719	Dihydrofolate reductase	26.92	4	8	4	127438.9978	7	
P18053	Proteasome subunit alpha type-4	56.06	13	46	11	4556219.59	41	
P18173	Glucose dehydrogenase [FAD, quinone]	2.56	2	2	0	23417.6083	2	
P18431	Protein kinase shaggy	43.77	19	57	0	3316814.44826	51	
P18432	Myosin regulatory light chain 2	84.68	18	240	18	35066702.25381	226	
P18459	Tyrosine 3-monooxygenase	16.75	11	13	0	287074.05	12	
P18824	Armadillo segment polarity protein	17.67	13	22	0	259241.694	17	
P19107	Phosrestin-1	71.82	33	296	33	46336677.36305	276	
P19109	ATP-dependent RNA helicase p62	21.7	15	25	0	1249276.8997	23	
P19334	Transient receptor potential protein	4.39	6	7	5	23935.9624	5	
P19339	Protein sex-lethal	5.65	2	2	0	39589.225999999995	2	
P19351	Troponin T, skeletal muscle	53.4	35	115	0	772131.121	11	
P19889	Large ribosomal subunit protein uL10	50.79	15	61	0	9401704.17786	59	
P20007	Phosphoenolpyruvate carboxykinase [GTP]	5.87	4	4	3	49044.654800000004	3	
P20153	Protein ultraspiracle	1.57	1	1	0	17500.148	1	
P20228	Glutamate decarboxylase	20.78	11	32	0	1044391.9381	31	
P20232	Transcription elongation factor S-II	38.02	12	19	0	466013.03975	17	
P20240	Otefin	40.8	14	20	14	307958.84268	17	
P20241	Neuroglian	26.04	33	88	0	4831400.19426	82	
P20348	Sex-regulated protein janus-A	39.26	6	13	6	520654.19034000003	11	
P20351	Tryptophan 2,3-dioxygenase	9.5	3	3	3	48046.506	3	
P20354	G protein alpha s subunit	47.01	15	32	1	5544.4404	1	
P20385	Chorion transcription factor Cf2	11.96	6	6	0	39077.9284	6	
P20432	Glutathione S-transferase D1	52.15	14	87	11	25933488.64706	76	
P20477	Glutamine synthetase 1, mitochondrial	53.38	20	72	0	11960405.147	66	
P20478	Glutamine synthetase 2 cytoplasmic	76.96	26	204	0	64522692.26067	178	
P21187	Polyadenylate-binding protein	26.81	13	31	13	1583742.5416	31	
P21914	Succinate dehydrogenase [ubiquinone] iron-sulfur subunit, mitochondrial	60.61	20	123	18	14753484.531440001	108	
P22465	Annexin B10	76.01	24	137	24	16408280.6801	119	
P22769	Proteasome subunit alpha type-7-1	58.63	12	28	10	1942499.9132	26	
P22813	Heat shock factor protein	4.34	3	3	0	13396.448	2	
P22815	Protein bride of sevenless	2.01	2	3	2	27527.34985	3	
P22979	Heat shock protein 67B3	55.28	7	20	7	803273.1192	18	
P23128	ATP-dependent RNA helicase me31b	12.2	5	6	5	76280.6259	6	
P23226	205 kDa microtubule-associated protein	27.34	25	45	0	776624.7666	37	
P23257	Tubulin gamma-1 chain	3.58	2	2	0	32508.7955	2	
P23625	G protein alpha q subunit	57.51	21	85	18	10207675.2755	77	
P23654	Neurotactin	15.84	11	14	0	235321.473	14	
P23696	Serine/threonine-protein phosphatase PP2A	37.86	9	15	0	527278.80078	13	
P23779	Cystatin-like protein	57.94	7	40	7	2656855.25815	36	
P24156	Prohibitin 1	68.12	18	72	0	6939692.6524	67	
P25007	Peptidyl-prolyl cis-trans isomerase	44.05	12	142	9	38876536.45955	121	
P25153	Ubiquitin-conjugating enzyme E2-17 kDa	17.22	2	3	0	178659.695	2	
P25160	ADP-ribosylation factor-like protein 1	10.56	2	4	2	53206.4636	4	
P25161	Probable 26S proteasome non-ATPase regulatory subunit 3	29.76	17	28	0	1710714.7702	27	
P25171	Regulator of chromosome condensation	10.42	5	6	5	154619.5495	5	
P25172	Protein suppressor 2 of zeste	1.61	2	2	0	6543.3337	2	
P25228	Ras-related protein Rab-3	37.73	7	22	0	366130.79469999997	9	
P25455	1-phosphatidylinositol 4,5-bisphosphate phosphodiesterase classes I and II	6.37	9	10	9	191366.2805	9	
P25822	Maternal protein pumilio	3.13	5	6	0	79487.651	6	
P25843	Profilin	88.89	7	37	0	2039658.19506	33	
P25867	Ubiquitin-conjugating enzyme E2-17 kDa	12.24	2	9	0	2574480.794	9	
P26270	26S proteasome non-ATPase regulatory subunit 7	15.38	6	12	0	292008.5826	12	
P26308	Guanine nucleotide-binding protein subunit beta-1	25.29	9	25	0	1859733.7417000001	21	
P26686	Serine-arginine protein 55	19.68	7	14	0	329882.1251	14	
P27716	Innexin inx1	2.49	1	1	0	3260.7363	1	
P27779	Pupal cuticle protein Edg-78E	9.84	2	9	0	640238.0274700001	8	
P28668	Bifunctional glutamate/proline--tRNA ligase	4.67	8	9	8	84517.7248	9	
P29052	Transcription initiation factor IIB	16.83	6	10	0	198099.138	10	
P29310	14-3-3 protein zeta	68.55	19	282	0	52467136.76363	234	
P29327	Small ribosomal subunit protein eS6	20.16	5	15	2	1118006.8073	15	
P29413	Calreticulin	58.13	22	67	0	9413588.45881	63	
P29613	Triosephosphate isomerase	78.54	20	145	19	37178117.86643	137	
P29742	Clathrin heavy chain	7.99	13	14	0	145431.2312	11	
P29746	Protein bangles and beads	63.12	27	57	27	4625052.96405	56	
P29829	Guanine nucleotide-binding protein subunit beta-2	50.58	17	78	17	6431631.60672	68	
P29843	Heat shock 70 kDa protein cognate 1	27.15	16	75	2	186514.9702	6	
P29844	Endoplasmic reticulum chaperone BiP	65.24	43	255	0	20060189.84425	173	
P29845	Heat shock 70 kDa protein cognate 5	59.18	46	196	0	19115136.34551	163	
P30432	Furin-like protease 2	2.5	4	4	0	31561.363	3	
P31007	Disks large 1 tumor suppressor protein	34.33	35	113	1	6713.123	1	
P31009	Small ribosomal subunit protein uS5	50.56	12	38	0	6956301.74	37	
P31409	V-type proton ATPase subunit B	62.65	26	100	0	7953822.2423	83	
P32100	Large ribosomal subunit protein uL30	44.44	13	35	0	2892945.79218	30	
P32234	Guanylate binding protein 128up	16.85	6	9	5	217036.56564000002	9	
P32392	Actin-related protein 3	26.56	9	16	9	480454.43233	15	
P32748	Dihydroorotate dehydrogenase (quinone), mitochondrial	24.2	10	18	10	644627.8278	18	
P33438	Glutactin	36.94	29	56	0	1228022.16963	47	
P34082	Fasciclin-2	26.8	21	34	0	1018205.78524	30	
P35122	Ubiquitin carboxyl-terminal hydrolase	59.91	10	28	0	1775103.1321	23	
P35128	Ubiquitin-conjugating enzyme E2 N	50.99	6	24	0	1478787.8491	23	
P35220	Catenin alpha	26.39	24	38	14	1060051.2639	35	
P35381	ATP synthase subunit alpha, mitochondrial	67.57	50	417	50	145373941.10345	367	
P35415	Paramyosin, long form	75.2	91	521	0	62868221.10733	455	
P35416	Paramyosin, short form	60.0	45	292	0	6813914.60537	52	
P35421	Phosphoribosylformylglycinamidine synthase	2.81	4	4	4	15266.726799999999	4	
P35554	Flightin	54.4	9	20	0	1399624.8235000002	19	
P35992	Tyrosine-protein phosphatase 10D	2.86	7	7	6	78462.0571	7	
P36179	Serine/threonine-protein phosphatase PP2A 65 kDa regulatory subunit	47.88	23	58	0	5296592.22052	55	
P36188	Troponin I	57.99	21	83	0	14276436.5211	78	
P36241	Large ribosomal subunit protein eL19	31.53	7	19	7	1500622.7422	16	
P36872	Protein phosphatase PP2A 55 kDa regulatory subunit	5.21	3	4	0	15518.8126	4	
P36951	Putative hydroxypyruvate isomerase	42.05	10	33	10	2821218.1804	31	
P36958	DNA-directed RNA polymerase II subunit RPB9	31.01	3	6	0	80614.1074	2	
P36975	Synaptosomal-associated protein 25	87.74	21	143	19	10114987.999400001	113	
P37193	Adrenodoxin-like protein 1, mitochondrial	22.67	3	9	0	370633.23390000005	9	
P37236	Frequenin-1	71.66	12	40	0	1355909.321	12	
P37276	Dynein heavy chain, cytoplasmic	0.17	1	1	0	6622.4917	1	
P38040	Guanine nucleotide-binding protein subunit gamma-1	68.57	5	24	5	1067743.2634	12	
P38979	Small ribosomal subunit protein uS2	75.19	16	83	16	12201319.89118	71	
P39018	Small ribosomal subunit protein eS19A	64.74	14	52	0	7350294.9984	52	
P39736	Puff-specific protein Bx42	9.87	4	5	0	43871.4055	4	
P40301	Proteasome subunit alpha type-2	23.08	5	8	5	291348.109	6	
P40304	Proteasome subunit beta type-1	31.91	7	13	7	756948.1906	12	
P40320	S-adenosylmethionine synthase	12.5	6	7	0	324902.0942	6	
P40417	Mitogen-activated protein kinase ERK-A	55.59	15	36	8	1837647.1215	32	
P40421	Serine/threonine-protein phosphatase rdgC	8.77	5	6	0	11859.83502	5	
P40423	Myosin regulatory light chain sqh	51.15	7	22	0	1034861.1756	20	
P40427	Homeobox protein extradenticle	9.31	3	4	0	133747.8029	4	
P40792	Ras-related protein Rac1	34.38	6	13	0	1176841.892	13	
P40793	Cdc42 homolog	24.61	4	8	0	541895.6925	7	
P40796	La protein homolog	40.51	13	18	12	628448.5858	16	
P40797	Protein peanut	38.4	19	35	18	1554932.7907	35	
P40945	ADP ribosylation factor 4	38.33	5	12	0	233870.2169	7	
P40946	ADP-ribosylation factor 6	21.14	3	5	3	497742.3796	5	
P41042	Small ribosomal subunit protein eS4	45.59	12	38	0	1503610.6657	33	
P41043	Glutathione S-transferase S1	83.53	19	72	0	8002134.230359999	67	
P41044	Calbindin-32	76.77	26	157	0	13878169.10235	143	
P41073	Zinc finger protein on ecdysone puffs	19.55	13	28	0	741534.97499	25	
P41092	Large ribosomal subunit protein uL15	36.24	6	22	0	2515474.5257	21	
P41093	Large ribosomal subunit protein eL20	44.07	8	14	8	1049319.8163	14	
P41094	Small ribosomal subunit protein uS13	60.53	15	46	15	4802326.03885	43	
P41126	Large ribosomal subunit protein eL13	44.5	13	50	0	4520128.90553	42	
P41374	Eukaryotic translation initiation factor 2 subunit 1	48.39	18	46	0	3458157.4896	40	
P41375	Eukaryotic translation initiation factor 2 subunit 2	16.67	6	8	6	204031.2191	7	
P41572	6-phosphogluconate dehydrogenase, decarboxylating	32.22	12	20	0	1152985.92945	19	
P42207	Septin-1	12.47	5	7	4	148073.7774	5	
P42281	Acyl-CoA-binding protein homolog	77.91	8	49	7	6441925.0444	45	
P42325	Neurocalcin homolog	61.05	12	34	12	2156101.28368	31	
P42787	Carboxypeptidase D	5.33	7	15	0	327150.7725	12	
P43332	U1 small nuclear ribonucleoprotein A	17.59	4	5	4	291612.70900000003	5	
P45437	Coatomer subunit beta	8.61	5	8	5	128970.1888	6	
P45594	Cofilin/actin-depolymerizing factor homolog	85.81	15	98	15	19321102.49592	88	
P45888	Actin-related protein 2	28.82	9	17	9	1125241.3592	15	
P45889	Actin-related protein 1	37.23	12	24	12	1117740.3856	22	
P46150	Moesin/ezrin/radixin homolog 1	44.12	31	74	0	40096.29	1	
P46222	Large ribosomal subunit protein uL5	32.61	7	20	0	1309865.6028	17	
P46223	Large ribosomal subunit protein eL8	34.69	11	35	0	3641632.1536999997	35	
P46415	Alcohol dehydrogenase class-3	14.25	6	12	6	823765.081	10	
P46461	Vesicle-fusing ATPase 1	51.81	38	76	0	3146743.71205	73	
P46824	Kinesin light chain	48.43	25	56	0	3306086.9723	50	
P47947	Troponin C, isoform 1	20.78	3	32	0	2867723.0246	31	
P47948	Troponin C, isoform 2	48.39	6	16	0	248211.4748	9	
P47949	Troponin C, isoform 3	62.58	8	28	0	1948446.3079400002	23	
P48148	Ras-like GTP-binding protein Rho1	61.98	12	32	12	4129542.7159	30	
P48149	Small ribosomal subunit protein uS8A	43.85	7	30	0	2791675.9951	26	
P48159	Large ribosomal subunit protein uL14	70.71	8	39	8	2438310.3098	36	
P48375	Peptidyl-prolyl cis-trans isomerase Fkbp12	76.85	7	40	7	8851574.40144	39	
P48451	Calcineurin subunit B type 1	62.35	8	26	0	371389.18624	10	
P48461	Serine/threonine-protein phosphatase alpha-1 isoform	24.16	7	16	0	59947.278	3	
P48554	Ras-related protein Rac2	26.04	5	12	0	36951.12	1	
P48555	Ras-related protein Ral-a	58.21	10	29	1	2059388.0169	28	
P48588	Small ribosomal subunit protein eS25	19.66	2	4	2	43901.551600000006	4	
P48596	GTP cyclohydrolase 1	56.79	16	71	16	8962018.1872	59	
P48598	Eukaryotic translation initiation factor 4E1	39.77	7	16	0	638860.0052	15	
P48601	26S proteasome regulatory subunit 4	63.33	29	66	0	2418565.24157	48	
P48602	V-type proton ATPase catalytic subunit A isoform 1	66.29	32	113	0	9542174.31286	105	
P48603	F-actin-capping protein subunit beta	38.77	10	12	0	352545.9891	12	
P48604	GrpE protein homolog, mitochondrial	45.07	11	39	11	2880616.3866000003	37	
