Accession	Description	Coverage [%]	# Peptides	# PSMs	# Unique Peptides	Abundance: F5: 130C, Sample, n/a, ctrl_pool_1	Abundance: F5: 131, Sample, n/a, ctrl_pool_2	Modifications
O01382	Caspase drICE	12.68	4	4	4	8829.609499999999	9018.8171	
O01404	Peptidylglycine alpha-hydroxylating monooxygenase	13.15	4	12	0	182788.6597	263641.0796	
O01666	ATP synthase subunit gamma, mitochondrial	61.95	20	106	20	5127907.40672	5783508.0459199995	
O02194	Presenilin homolog	5.73	3	3	0	12122.23528	12262.2111	
O02195	Eukaryotic translation initiation factor 3 subunit I	27.61	7	12	7	160789.4011	156527.2125	
O02649	Heat shock protein 60A	65.1	34	143	23	7441947.4677099995	9283384.01107	
O15943	Neural-cadherin	14.01	44	66	2	1185818.34703	1338656.0336	
O16797	Large ribosomal subunit protein uL3	13.7	6	9	6	207702.3917	214748.227	
O17444	Vesicular acetylcholine transporter	10.03	5	6	5	17746.709779999997	23537.824500000002	
O17445	Large ribosomal subunit protein eL15	14.22	3	6	0	125446.863	126140.3616	
O18333	Ras-related protein Rab-2	24.41	6	11	6	281008.10730000003	298113.5714	
O18334	Ras-related protein Rab6	33.65	8	12	0	84978.3481	92472.5565	
O18373	Inactive selenide, water dikinase-like protein	16.33	8	17	8	439901.48864	498876.03935	
O18388	Importin subunit beta	2.26	2	2	0	13417.653	6155.7077	
O18404	3-hydroxyacyl-CoA dehydrogenase type-2	79.22	16	133	16	7960545.13885	9652431.30435	
O18413	26S proteasome regulatory subunit 8	45.68	18	36	6	460104.60396	562285.9595	
O18640	Small ribosomal subunit protein RACK1	22.64	8	13	0	567241.6769	643292.262	
O44081	H/ACA ribonucleoprotein complex subunit 4	2.95	2	2	0	22747.8663	28126.674	
O44342	Protein windbeutel	28.79	7	9	0	111429.44339999999	146281.6641	
O44386	Integrin alpha-PS3	6.1	8	8	8	109004.6666	163854.59530000002	
O46037	Vinculin	55.88	45	103	0	3296512.58807	3405628.84452	
O46084	Serine/threonine-protein phosphatase Pgam5, mitochondrial	11.76	3	4	0	30786.5608	31914.7519	
O46098	LYR motif-containing protein 4 homolog	65.22	7	12	7	296840.776	330862.185	
O46106	Splicing factor 3A subunit 3	9.54	4	4	4	98609.55540000001	117425.372	
O46339	Homeobox protein homothorax	4.72	2	2	2	4427.1606	4522.3125	
O61231	Large ribosomal subunit protein uL16	27.06	8	15	0	404898.7954	420875.092	
O61305	DEAD-box helicase Dbp80	3.91	2	3	0	25658.984	32732.375999999997	
O61307	Teneurin-m	0.92	2	2	0	18760.0965	63092.024919999996	
O61443	Mitogen-activated protein kinase p38b	12.88	4	10	3	130682.3829	163382.3039	
O61491	Flotillin-1	45.77	19	45	19	1240165.1367	1584031.7252	
O61722	PRL-1 phosphatase	55.11	7	19	7	807497.5706	858899.5101999999	
O62619	Pyruvate kinase	57.6	24	73	24	3315847.79128	4292416.09874	
O62621	Coatomer subunit beta'	2.84	3	3	3	27733.579	36999.4153	
O76206	Putative riboflavin kinase	55.56	6	17	0	496376.69667	498765.92754	
O76454	Pterin-4-alpha-carbinolamine dehydratase	33.85	4	6	4	247166.8745	317021.97145	
O76742	Ras-related protein Rab7	36.71	7	10	7	265318.8409	322133.99820000003	
O76878	RILP-like protein homolog	8.35	4	5	0	78589.8925	103398.04550000001	
O76902	Pleckstrin homology domain-containing family F member 1 homolog	27.85	8	10	8	169664.8432	177989.50866999998	
O76927	Small ribosomal subunit protein eS21	50.6	5	14	0	234856.77419999999	275526.2089	
O77051	Transcription factor E2F2	18.65	7	9	0	83240.4921	75251.0859	
O77263	tRNA (guanine-N(7)-)-methyltransferase	12.5	3	4	3	59976.678	79182.71924	
O77277	Torsin-like protein	15.29	6	8	0	133702.26817	94442.74740000001	
O77410	Eukaryotic translation initiation factor 3 subunit E	8.28	4	4	4	65948.3626	78974.5736	
O77460	Inorganic pyrophosphatase	62.72	16	93	1	74438.61	98026.37	
O96553	C-1-tetrahydrofolate synthase, cytoplasmic	15.39	15	15	0	281460.22244	337647.52390000003	
O96690	Protein PDF	23.53	1	1	1	6762.2456	7609.6675	
O96827	Probable elongation factor 1-beta	83.78	17	84	0	4104973.00018	4982325.00479	
O97067	Probable peptidyl-tRNA hydrolase 2	26.34	4	7	0	62763.1957	65657.4893	
O97125	Heat shock protein 68	35.28	20	66	13	184670.615	197214.79262999998	
O97172	UPF0729 protein CG18508	21.21	3	5	0	69371.3107	76064.5248	
O97394	Protein sidekick	1.48	3	3	0	22186.574	23162.655	
O97422	Galactosylgalactosylxylosylprotein 3-beta-glucuronosyltransferase I	8.82	3	3	3	34810.519	54574.835999999996	
O97477	Inositol-3-phosphate synthase	36.28	15	41	15	1200917.5576	1376753.0479	
P00334	Alcohol dehydrogenase	85.16	20	241	20	15828659.87592	18540899.80293	
P00408	Cytochrome c oxidase subunit 2	33.77	7	20	7	2992112.1347	3621477.1415	
P00522	Tyrosine-protein kinase Abl	3.7	4	4	0	5124.28294	8253.743699999999	
P02255	Histone H1	14.45	3	3	0	34763.987	49426.562	
P02283	Histone H2B	54.47	8	74	8	4433344.0091	3920984.02176	
P02299	Histone H3	52.21	6	34	2	5754735.5838	5925207.6513	
P02515	Heat shock protein 22	32.76	6	14	6	88789.51286	84579.63718	
P02516	Heat shock protein 23	70.97	15	72	0	3493811.7639699997	4040510.22509	
P02517	Heat shock protein 26	58.17	9	19	0	894609.272	1084467.1442	
P02518	Heat shock protein 27	52.11	10	28	0	470204.5553	606706.2014	
P02572	Actin-42A	63.83	25	618	2	52851065.01822	57870721.14843	
P02574	Actin, larval muscle	65.69	27	537	0	380784.5885	381032.8446	
P02828	Heat shock protein 83	59.27	42	143	0	6073099.19034	7263620.68988	
P02843	Vitellogenin-1	73.35	27	218	0	19563933.22287	21130357.65453	
P02844	Vitellogenin-2	67.65	24	169	0	12300297.1196	12845825.22107	
P04197	Myb protein	2.74	2	2	0	15345.3779	18884.82	
P04359	Large ribosomal subunit protein eL32	18.66	3	8	3	926521.704	1127137.693	
P04388	Ras-like protein 2	33.33	5	7	5	40919.8403	46078.15398	
P05031	Aromatic-L-amino-acid decarboxylase	7.06	3	3	3	10786.4894	13226.5371	
P05205	Heterochromatin protein 1	32.52	7	16	7	165551.3285	160727.8233	
P05303	Elongation factor 1-alpha 2	59.74	24	115	0	1372427.8063	1826655.66606	
P05389	Large ribosomal subunit protein P2	29.2	3	18	3	2009205.768	2690092.396	
P05552	Transcription factor Adf-1	12.21	3	3	0	103300.974	102813.385	
P05661	Myosin heavy chain, muscle	53.72	124	410	1	525031.2798	657523.656	
P05812	Heat shock protein 67B1	11.91	5	6	5	80576.764	96734.4863	
P06002	Opsin Rh1	8.85	3	8	3	249493.75549999997	265245.637	
P06603	Tubulin alpha-1 chain	58.44	23	182	0	11648463.88905	13790053.97961	
P06604	Tubulin alpha-2 chain	34.52	15	132	1	7461.924800000001	9622.0708	
P06607	Vitellogenin-3	79.05	31	233	0	42137303.54636	43600833.47056	
P06742	Myosin light chain alkali	41.94	6	120	0	10149116.7685	13086451.262529999	
P07207	Neurogenic locus Notch protein	0.3	1	1	0	2043.4257	3625.345	
P07486	Glyceraldehyde-3-phosphate dehydrogenase 1	64.16	18	104	6	2642776.9054	2707579.4669	
P07487	Glyceraldehyde-3-phosphate dehydrogenase 2	81.33	20	112	0	8664879.67419	9596841.16809	
P07665	Serendipity locus protein beta	1.97	1	1	0	8266.484	11097.909	
P07668	Choline O-acetyltransferase	9.71	6	7	6	80951.7891	74982.1424	
P07764	Fructose-bisphosphate aldolase	89.2	36	369	0	27998794.829520002	31759070.9745	
P08111	Lethal(2) giant larvae protein	2.76	3	3	0	22592.4877	26372.1177	
P08120	Collagen alpha-1(IV) chain	3.93	5	12	5	122802.8379	147775.735	
P08144	Alpha-amylase A	23.48	10	15	0	415364.8723	527166.6525	
P08171	Esterase-6	20.22	12	20	0	734462.6135	797171.16	
P08181	Casein kinase II subunit alpha	10.71	2	4	0	73124.56857	90520.375	
P08182	Casein kinase II subunit beta	32.77	7	18	2	493236.31018000003	533571.8861	
P08570	Large ribosomal subunit protein P1	70.54	4	40	0	3858576.1305	4371089.0561	
P08645	Ras-related protein Rap1	40.22	6	12	0	132037.8187	196544.69305	
P08646	Ras-like protein 1	37.04	5	13	5	465420.6328	610499.0594	
P08736	Elongation factor 1-alpha 1	57.67	27	135	12	15007042.1163	17600595.2773	
P08761	Peptide methionine sulfoxide reductase	36.18	8	13	0	177042.10345999998	213917.4751	
P08879	Nucleoside diphosphate kinase	51.63	8	80	0	7539942.9999	9081401.33248	
P08928	Lamin	66.88	49	174	48	5939690.39719	6924749.58078	
P08985	Histone H2A.v	41.84	7	43	5	2019882.0556	2271516.5121	
P09040	Drosulfakinins	17.73	3	4	3	232203.351	202639.428	
P09180	Large ribosomal subunit protein uL4	47.38	20	55	20	2163816.5761	2625025.589	
P09208	Insulin-like receptor	1.77	5	5	5	2781.38272	1597.8001100000001	
P09491	Tropomyosin-2	64.44	27	221	1	267055.722	217879.829	
P0DKM0	Cytochrome c oxidase assembly factor 3, mitochondrial	45.98	5	9	5	171381.169	179581.114	
P10180	Homeobox protein cut	0.69	1	1	0	2447.3665	2289.8916	
P10379	Protein unzipped	27.05	12	27	0	900255.6238	978933.2042	
P10552	FMRFamide-related peptides	5.76	2	2	2	91380.71800000001	103950.032	
P10676	Neither inactivation nor afterpotential protein C	26.52	43	73	6	2768214.19424	3103472.3893999998	
P10981	Actin-87E	68.62	28	611	0	4548083.62706	4915254.34281	
P10987	Actin-5C	64.36	27	636	0	777947.1888	926988.2784	
P11046	Laminin subunit beta-1	22.87	37	67	37	1242755.32021	1525043.74163	
P11146	Heat shock 70 kDa protein cognate 2	11.37	6	34	1	1941.345	1695.5494	
P11147	Heat shock 70 kDa protein cognate 4	78.49	51	327	0	21501829.81889	23236494.49204	
P11584	Integrin beta-PS	19.98	17	28	0	259878.09247	291280.62524	
P12024	Chaoptin	27.6	35	84	0	3741977.1298	4588339.102	
P12080	Integrin alpha-PS2	13.11	18	23	18	487579.39879999997	572996.805	
P12370	cAMP-dependent protein kinase catalytic subunit 1	40.51	17	41	16	1059653.2637	1195361.22126	
P12426	Adenine phosphoribosyltransferase	25.82	5	9	0	159852.7632	171011.2816	
P12613	T-complex protein 1 subunit alpha	21.54	12	16	0	318338.865	367580.3754	
P12881	Proteasome subunit alpha type-1	59.86	13	42	0	1284449.7072	1807719.505	
P12982	Serine/threonine-protein phosphatase alpha-2 isoform	28.15	8	12	1	108971.27534000001	127489.36566	
P13008	Small ribosomal subunit protein eS26	21.05	2	7	0	149231.46850000002	179689.9413	
P13060	Eukaryotic translation elongation factor 2	30.81	23	41	23	1765150.2743	2141741.0368	
P13217	1-phosphatidylinositol 4,5-bisphosphate phosphodiesterase	37.99	40	102	0	1922493.13407	2187147.71746	
P13395	Spectrin alpha chain	63.6	137	494	0	21547563.33789	25499330.78511	
P13469	DNA-binding protein modulo	6.83	4	4	0	21656.6536	22345.582300000002	
P13496	Dynactin subunit 1	15.18	21	23	21	262109.9258	274691.79661	
P13607	Sodium/potassium-transporting ATPase subunit alpha	39.48	36	135	0	5067678.44908	5757430.57233	
P13677	Protein kinase C, eye isozyme	14.14	11	17	10	456532.54934	531676.1464	
P13678	Protein kinase C	3.92	3	3	0	165129.406	183204.52300000002	
P13706	Glycerol-3-phosphate dehydrogenase [NAD(+)], cytoplasmic	77.41	27	201	0	10981.125	14061.587	
P14199	Protein ref(2)P	22.37	11	19	11	320415.56330000004	356081.1993	
P14318	Muscle-specific protein 20	82.61	17	66	17	2571350.9167	2931762.77502	
P14484	Pupal cuticle protein	27.17	5	19	5	609801.4319	430307.0338	
P14599	Amyloid-beta-like protein	1.92	2	2	0	24378.807	14583.690499999999	
P15007	Enolase	74.2	31	339	1	30367693.40322	33932657.03498	
P15215	Laminin subunit gamma-1	39.35	55	99	0	1345019.90575	1694485.8592	
P15330	Embryonic polarity protein dorsal	3.4	3	3	0	286098.21760000003	332008.0356	
P15357	Ubiquitin-ribosomal protein eS31 fusion protein	42.95	7	62	2	3521220.17107	3193484.8293500002	
P15364	Protein amalgam	13.21	4	5	0	116422.77100000001	138966.64299999998	
P15372	Phosrestin-2	60.16	20	59	0	2434420.28616	3078056.2574	
P15425	Peptidyl-prolyl cis-trans isomerase, rhodopsin-specific isozyme	32.91	5	10	5	92266.9235	105862.87476	
P16378	G protein alpha o subunit	26.55	10	39	7	1408376.4187	1432762.9359	
P16554	Protein numb	7.73	4	5	0	58279.0061	62630.6517	
P16568	Protein bicaudal D	18.8	15	17	0	284183.2167	326390.4205	
P16620	Tyrosine-protein phosphatase 69D	4.86	8	9	8	158875.44595999998	209161.83307	
P16621	Tyrosine-protein phosphatase Lar	0.59	1	1	0	3113.28	3314.7168	
P16914	Protein elav	23.4	9	28	0	559126.43794	684768.26675	
P17210	Kinesin heavy chain	44.31	40	74	40	2051143.3257	2228724.20133	
P17276	Protein henna	40.71	15	27	0	532852.7091	630709.9963	
P17336	Catalase	34.78	14	49	14	1138647.6772	1303565.7994	
P17704	Small ribosomal subunit protein eS17	65.65	7	25	7	2089767.9004	2638139.98587	
P17719	Dihydrofolate reductase	19.78	3	4	3	34008.846600000004	51647.5539	
P18053	Proteasome subunit alpha type-4	50.0	12	38	10	1761908.246	1890762.8381	
P18173	Glucose dehydrogenase [FAD, quinone]	2.72	1	1	0	7512.3853	7810.1396	
P18431	Protein kinase shaggy	33.85	16	43	0	1475604.72276	1570467.31311	
P18432	Myosin regulatory light chain 2	84.68	19	189	19	16224137.18056	22780358.43672	
P18459	Tyrosine 3-monooxygenase	11.57	7	9	0	169653.5832	245132.0768	
P18824	Armadillo segment polarity protein	22.78	16	24	0	300975.48620000004	372926.2982	
P19107	Phosrestin-1	73.82	32	213	32	9717045.18455	11096820.14728	
P19109	ATP-dependent RNA helicase p62	22.67	15	21	1	390354.3112	369772.00273	
P19334	Transient receptor potential protein	2.51	4	4	3	50836.4646	50796.2777	
P19339	Protein sex-lethal	4.52	2	2	0	6229.526	9754.0178	
P19351	Troponin T, skeletal muscle	46.1	30	101	0	843133.132	1139067.91	
P19889	Large ribosomal subunit protein uL10	48.58	14	75	0	4771637.65745	5353962.53991	
P20007	Phosphoenolpyruvate carboxykinase [GTP]	6.65	5	5	4	37269.9067	38524.746	
P20153	Protein ultraspiracle	2.76	2	2	0	12890.652699999999	11856.7415	
P20228	Glutamate decarboxylase	18.04	8	26	0	1551559.0095000002	2144750.58873	
P20232	Transcription elongation factor S-II	31.63	7	8	0	329770.9561	361258.3584	
P20240	Otefin	32.08	11	14	11	130081.611	117953.4759	
P20241	Neuroglian	25.81	31	74	0	1836802.57696	1964826.25404	
P20348	Sex-regulated protein janus-A	38.52	5	5	5	70694.428	80932.96860000001	
P20351	Tryptophan 2,3-dioxygenase	5.28	2	2	2	9509.1993	11102.990399999999	
P20354	G protein alpha s subunit	39.74	13	26	1	559.87964	549.8845	
P20385	Chorion transcription factor Cf2	1.76	1	1	0	3741.4053	3739.701	
P20432	Glutathione S-transferase D1	55.5	13	79	9	5162380.5995000005	5564066.6985	
P20477	Glutamine synthetase 1, mitochondrial	41.85	14	59	0	3398537.1885	3824141.5415	
P20478	Glutamine synthetase 2 cytoplasmic	81.03	24	179	0	18071131.1567	20713352.0507	
P21187	Polyadenylate-binding protein	38.01	18	35	18	442709.06034	570781.78092	
P21914	Succinate dehydrogenase [ubiquinone] iron-sulfur subunit, mitochondrial	53.2	18	100	16	6623659.87315	6463888.88492	
P22465	Annexin B10	76.01	24	139	24	5940768.4593400005	7766343.14536	
P22769	Proteasome subunit alpha type-7-1	53.82	12	32	10	999654.834	1040606.92624	
P22813	Heat shock factor protein	2.75	2	2	0	4522.9526	6801.9462	
P22815	Protein bride of sevenless	1.23	1	1	1	13703.687	19118.791	
P22979	Heat shock protein 67B3	53.77	7	19	7	562397.68207	777980.3161	
P23128	ATP-dependent RNA helicase me31b	6.1	3	3	3	15617.7091	17105.4657	
P23226	205 kDa microtubule-associated protein	21.86	16	32	0	310596.26273	367090.20155	
P23257	Tubulin gamma-1 chain	5.89	3	3	2	31438.902000000002	33408.1025	
P23625	G protein alpha q subunit	51.56	19	75	16	2482644.96316	2714132.8071	
P23654	Neurotactin	12.41	10	13	0	282707.7426	295655.67829999997	
P23696	Serine/threonine-protein phosphatase PP2A	20.39	5	14	0	181364.18427	168796.72828	
P23779	Cystatin-like protein	63.49	8	32	8	1840755.40784	2291335.48235	
P24156	Prohibitin 1	68.48	17	53	0	1171239.00147	1429792.36382	
P25007	Peptidyl-prolyl cis-trans isomerase	55.95	13	102	10	7559031.62	8235744.5071	
P25160	ADP-ribosylation factor-like protein 1	6.11	1	3	1	25196.601	29467.6672	
P25161	Probable 26S proteasome non-ATPase regulatory subunit 3	29.76	16	24	0	482595.84784	427079.4162	
P25171	Regulator of chromosome condensation	6.03	4	4	4	88453.542	119237.437	
P25228	Ras-related protein Rab-3	33.64	7	18	0	376446.5865	460468.0846	
P25455	1-phosphatidylinositol 4,5-bisphosphate phosphodiesterase classes I and II	4.86	7	7	7	42690.7474	46741.909700000004	
P25822	Maternal protein pumilio	2.15	3	5	0	29785.6955	39529.7995	
P25843	Profilin	88.89	7	28	0	753997.2835	880219.1842	
P25867	Ubiquitin-conjugating enzyme E2-17 kDa	7.48	1	5	0	237695.83000000002	291785.2978	
P26270	26S proteasome non-ATPase regulatory subunit 7	10.65	4	6	0	308994.959	342058.42	
P26308	Guanine nucleotide-binding protein subunit beta-1	33.53	8	21	0	628633.7069	685549.88595	
P26686	Serine-arginine protein 55	9.31	4	7	0	214605.102	232703.622	
P27716	Innexin inx1	2.21	1	2	0	70360.452	88472.238	
P27779	Pupal cuticle protein Edg-78E	38.52	3	11	0	310179.5617	187908.2196	
P28668	Bifunctional glutamate/proline--tRNA ligase	2.28	4	4	4	54330.4339	56041.9782	
P29052	Transcription initiation factor IIB	16.51	6	8	0	174040.9643	219348.2403	
P29310	14-3-3 protein zeta	67.74	17	278	0	21866828.14424	22225870.26104	
P29327	Small ribosomal subunit protein eS6	20.16	5	20	2	525378.6168	523537.8068	
P29413	Calreticulin	46.55	20	61	0	4718863.52246	6520926.3781200005	
P29613	Triosephosphate isomerase	76.11	17	131	16	9482864.086339999	10805324.20595	
P29742	Clathrin heavy chain	7.39	13	15	0	194365.3063	212331.4648	
P29746	Protein bangles and beads	61.76	24	46	24	1352772.27265	1351327.40426	
P29829	Guanine nucleotide-binding protein subunit beta-2	51.45	16	61	16	3789095.91989	4382535.84029	
P29843	Heat shock 70 kDa protein cognate 1	24.65	14	65	1	35277.1959	44251.2096	
P29844	Endoplasmic reticulum chaperone BiP	61.28	42	212	0	8825674.22811	9425142.308840001	
P29845	Heat shock 70 kDa protein cognate 5	62.97	44	178	0	8754562.44258	9610019.89098	
P30432	Furin-like protease 2	0.66	1	1	0	3918.7568	4433.887	
P31009	Small ribosomal subunit protein uS5	44.94	11	28	0	2010959.9507	2299854.7	
P31409	V-type proton ATPase subunit B	59.59	22	96	0	2356748.85972	2708630.81858	
P32100	Large ribosomal subunit protein uL30	38.49	12	29	0	2007829.4732000001	2040951.84644	
P32234	Guanylate binding protein 128up	16.3	6	8	5	85665.48182999999	86766.4886	
P32392	Actin-related protein 3	10.53	4	7	4	159514.5314	159778.69400000002	
P32748	Dihydroorotate dehydrogenase (quinone), mitochondrial	24.69	9	12	9	86902.93919	99572.14749999999	
P33438	Glutactin	14.13	17	42	0	642442.3123100001	684367.12284	
P34082	Fasciclin-2	17.18	15	23	0	190069.9418	223447.66806	
P35122	Ubiquitin carboxyl-terminal hydrolase	40.97	9	24	0	704737.4094	791268.6656	
P35128	Ubiquitin-conjugating enzyme E2 N	56.29	7	17	0	731025.5712	905303.56	
P35220	Catenin alpha	24.86	22	44	14	876287.24286	1032376.8775000001	
P35381	ATP synthase subunit alpha, mitochondrial	71.38	43	407	43	26013197.8	29071531.23524	
P35415	Paramyosin, long form	73.38	77	511	0	31302217.39172	34101740.03897	
P35416	Paramyosin, short form	56.41	39	294	0	2055391.449	2481161.4437700002	
P35421	Phosphoribosylformylglycinamidine synthase	1.33	2	2	2	10469.747599999999	14666.6067	
P35554	Flightin	49.45	8	18	0	250499.14845	350807.90410000004	
P35992	Tyrosine-protein phosphatase 10D	3.27	6	6	4	71855.339	71108.4975	
P36179	Serine/threonine-protein phosphatase PP2A 65 kDa regulatory subunit	38.92	19	38	0	1131239.9885	1322340.1639	
P36188	Troponin I	47.58	17	65	0	10388562.649969999	11777322.64893	
P36241	Large ribosomal subunit protein eL19	32.51	7	18	7	1648355.358	1876996.609	
P36872	Protein phosphatase PP2A 55 kDa regulatory subunit	5.81	3	3	0	27534.90336	30599.9736	
P36951	Putative hydroxypyruvate isomerase	56.82	13	31	13	997916.4238	1149700.1594	
P36958	DNA-directed RNA polymerase II subunit RPB9	21.71	2	3	0	3037.758	5750.428	
P36975	Synaptosomal-associated protein 25	85.38	19	114	17	4373518.4675	4934718.0168	
P37193	Adrenodoxin-like protein 1, mitochondrial	18.02	3	4	0	98094.92414	205673.065	
P37236	Frequenin-1	68.98	11	45	0	496068.4665	575393.3215	
P37276	Dynein heavy chain, cytoplasmic	0.24	1	1	0	395.29022	644.5915	
P38040	Guanine nucleotide-binding protein subunit gamma-1	68.57	5	14	5	471304.24400000006	483909.8051	
P38979	Small ribosomal subunit protein uS2	82.59	17	93	17	4068912.43193	4808718.58987	
P39018	Small ribosomal subunit protein eS19A	53.85	11	39	0	3893804.2343	3777066.8688	
P39736	Puff-specific protein Bx42	6.4	3	4	0	36555.46704	48732.32	
P40301	Proteasome subunit alpha type-2	21.79	4	7	4	108938.524	143365.4661	
P40304	Proteasome subunit beta type-1	28.94	6	8	6	323089.512	338577.1374	
P40320	S-adenosylmethionine synthase	8.33	4	5	0	78377.92	92926.916	
P40417	Mitogen-activated protein kinase ERK-A	42.82	13	29	7	744399.0533	916547.05373	
P40421	Serine/threonine-protein phosphatase rdgC	9.83	6	8	0	49814.360199999996	66435.09796	
P40423	Myosin regulatory light chain sqh	44.25	6	19	0	694676.1655	873330.056	
P40427	Homeobox protein extradenticle	2.93	1	1	0	1611.7524	1955.1753	
P40792	Ras-related protein Rac1	22.4	4	7	0	304310.467	371015.21390000003	
P40793	Cdc42 homolog	37.7	7	8	0	297673.8767	274573.76800000004	
P40796	La protein homolog	48.46	17	25	16	799495.65403	907749.9801	
P40797	Protein peanut	28.39	14	25	13	486320.658	597170.1499	
P40945	ADP ribosylation factor 4	38.33	5	11	0	34571.26935	47318.9786	
P40946	ADP-ribosylation factor 6	38.86	5	8	5	57498.5334	51324.551699999996	
P41042	Small ribosomal subunit protein eS4	54.02	15	42	0	726610.66545	842571.00661	
P41043	Glutathione S-transferase S1	76.71	15	62	0	4317772.9152999995	4738671.6858	
P41044	Calbindin-32	77.74	26	146	0	6869512.16292	8045163.63139	
P41073	Zinc finger protein on ecdysone puffs	17.18	12	29	0	374901.7702	394816.83869999996	
P41092	Large ribosomal subunit protein uL15	36.24	6	16	0	2541771.1833	2593172.514	
P41093	Large ribosomal subunit protein eL20	49.15	10	17	10	727127.2254	744566.8147999999	
P41094	Small ribosomal subunit protein uS13	56.58	14	48	14	2691811.0253	3345219.1261	
P41126	Large ribosomal subunit protein eL13	47.71	12	50	0	2673011.39609	3108224.112	
P41374	Eukaryotic translation initiation factor 2 subunit 1	45.16	17	35	0	1088614.78593	1276662.4284	
P41375	Eukaryotic translation initiation factor 2 subunit 2	18.27	6	6	6	82207.6294	67417.34694	
P41572	6-phosphogluconate dehydrogenase, decarboxylating	28.48	12	22	0	499464.906	527262.52147	
P42207	Septin-1	10.8	4	11	3	42338.133	43442.83	
P42281	Acyl-CoA-binding protein homolog	73.26	6	37	5	3663928.5534	4653569.5095	
P42325	Neurocalcin homolog	42.63	8	22	8	868574.4211	1032079.0029	
P42787	Carboxypeptidase D	8.68	10	14	0	133204.73807000002	128114.14575	
