Accession	Description	Coverage [%]	# Peptides	# PSMs	# Unique Peptides	Abundance: F5: 127C, Sample, n/a, SF1g_F1	Abundances Count: F5: 127C, Sample, n/a, SF1g_F1	Modifications
C4NYP8	Hsc70-interacting protein 1	47.21	17	41	0	594619.01443	29	
E1JIT7	PH and SEC7 domain-containing protein	2.81	4	8	4	5308.5118999999995	4	
F3YDF1	ATP-dependent zinc metalloprotease YME1L	14.19	11	16	0	82904.36224	12	
M9NDE3	Protein bark beetle	3.91	13	19	13	67232.00695	14	
M9PF61	Aldo-keto reductase 1B	60.57	23	109	23	5211167.39873	102	
M9PFN0	Phosphatase Herzog	6.25	3	7	3	139759.4327	6	
O01367	Protein held out wings	21.48	8	10	0	53023.5671	8	
O01382	Caspase drICE	17.99	5	7	4	6672.5466	5	
O01404	Peptidylglycine alpha-hydroxylating monooxygenase	13.97	4	9	0	410712.39126999996	9	
O01666	ATP synthase subunit gamma, mitochondrial	58.92	19	129	19	4576142.67336	107	
O02194	Presenilin homolog	5.73	3	5	0	8493.2244	3	
O02195	Eukaryotic translation initiation factor 3 subunit I	24.23	7	23	7	434113.3913	20	
O02649	Heat shock protein 60A	73.47	40	183	25	7382413.8148799995	153	
O15943	Neural-cadherin	14.89	49	91	2	704360.6313199999	77	
O16797	Large ribosomal subunit protein uL3	15.62	7	14	7	105691.74546	12	
O17444	Vesicular acetylcholine transporter	11.25	5	6	5	66205.4129	3	
O17445	Large ribosomal subunit protein eL15	12.25	3	8	0	32284.371	5	
O18333	Ras-related protein Rab-2	18.31	5	10	5	49885.89145	9	
O18334	Ras-related protein Rab6	18.75	5	16	0	10806.2578	3	
O18373	Inactive selenide, water dikinase-like protein	23.87	9	27	9	625028.74121	27	
O18388	Importin subunit beta	3.73	4	6	0	7645.1007	3	
O18404	3-hydroxyacyl-CoA dehydrogenase type-2	89.02	18	147	18	6011608.49979	105	
O18413	26S proteasome regulatory subunit 8	36.54	15	53	6	412762.85052	31	
O18640	Small ribosomal subunit protein RACK1	13.52	5	12	0	81895.83124999999	11	
O44081	H/ACA ribonucleoprotein complex subunit 4	6.3	4	4	0	51086.5712	3	
O44342	Protein windbeutel	19.46	5	10	0	50765.29586	8	
O44386	Integrin alpha-PS3	11.84	14	20	12	101435.59733	17	
O44437	Small nuclear ribonucleoprotein Sm D3	11.26	2	2	2	1812.5074	1	
O46037	Vinculin	53.69	50	137	0	2636559.50991	120	
O46084	Serine/threonine-protein phosphatase Pgam5, mitochondrial	11.76	3	4	0	47796.6864	4	
O46098	LYR motif-containing protein 4 homolog	36.96	4	10	4	106802.23033	7	
O46106	Splicing factor 3A subunit 3	9.15	5	10	5	116371.62697	9	
O46339	Homeobox protein homothorax	6.16	3	3	3	536.3158	1	
O61231	Large ribosomal subunit protein uL16	43.12	9	25	0	465513.56513999996	21	
O61305	DEAD-box helicase Dbp80	3.91	2	3	0	4534.1019400000005	3	
O61307	Teneurin-m	0.66	2	2	0	4092.7992	2	
O61443	Mitogen-activated protein kinase p38b	7.67	3	6	2	33592.2794	4	
O61491	Flotillin-1	48.83	23	81	23	1594696.6325700001	74	
O61722	PRL-1 phosphatase	44.32	7	23	7	486856.7413	14	
O62619	Pyruvate kinase	69.23	27	80	27	3407349.97464	64	
O62621	Coatomer subunit beta'	3.17	3	4	3	9422.476	4	
O76206	Putative riboflavin kinase	49.02	7	15	0	435127.16644	12	
O76454	Pterin-4-alpha-carbinolamine dehydratase	23.96	3	7	3	206229.10640000002	7	
O76742	Ras-related protein Rab7	28.5	6	12	6	133754.9629	11	
O76878	RILP-like protein homolog	9.71	5	10	0	71118.17988	10	
O76902	Pleckstrin homology domain-containing family F member 1 homolog	18.35	7	17	7	112756.6281	15	
O76927	Small ribosomal subunit protein eS21	50.6	5	22	0	322709.16504	16	
O77051	Transcription factor E2F2	22.97	9	14	0	29683.3744	8	
O77263	tRNA (guanine-N(7)-)-methyltransferase	12.5	3	5	3	26942.3528	4	
O77277	Torsin-like protein	12.65	5	8	0	73785.2049	8	
O77410	Eukaryotic translation initiation factor 3 subunit E	3.68	2	2	2	6212.0783	2	
O77460	Inorganic pyrophosphatase	61.24	15	67	1	40534.203	1	
O96553	C-1-tetrahydrofolate synthase, cytoplasmic	15.39	17	27	0	121642.31526	23	
O96690	Protein PDF	23.53	1	1	1	4217.302	1	
O96827	Probable elongation factor 1-beta	83.78	18	82	0	3141367.89655	60	
O97067	Probable peptidyl-tRNA hydrolase 2	31.18	5	9	0	40343.758460000005	7	
O97125	Heat shock protein 68	24.09	13	89	6	207907.65244	21	
O97172	UPF0729 protein CG18508	29.29	3	8	0	50951.258200000004	7	
O97394	Protein sidekick	1.89	4	5	0	5122.0372	2	
O97422	Galactosylgalactosylxylosylprotein 3-beta-glucuronosyltransferase I	8.17	3	6	3	29553.30845	5	
O97477	Inositol-3-phosphate synthase	33.81	15	58	15	1393617.03703	49	
P00334	Alcohol dehydrogenase	88.28	21	200	21	33542228.53168	154	
P00408	Cytochrome c oxidase subunit 2	33.77	7	40	7	2154855.77402	34	
P00522	Tyrosine-protein kinase Abl	3.33	4	6	0	5962.85206	5	
P02255	Histone H1	14.45	3	6	0	47050.7108	5	
P02283	Histone H2B	56.91	8	70	8	1735507.69664	55	
P02299	Histone H3	52.94	8	67	2	2227287.4386	55	
P02515	Heat shock protein 22	40.8	8	18	8	311562.4828	15	
P02516	Heat shock protein 23	84.41	16	83	0	5641085.63224	72	
P02517	Heat shock protein 26	57.69	10	30	0	1737794.19779	22	
P02518	Heat shock protein 27	44.13	9	21	0	523027.16275	20	
P02572	Actin-42A	64.1	25	768	2	60072644.65896	614	
P02574	Actin, larval muscle	65.96	25	672	0	1892364.3421	22	
P02828	Heat shock protein 83	48.4	33	148	0	5170706.66447	136	
P02843	Vitellogenin-1	70.84	32	265	0	26596405.84901	194	
P02844	Vitellogenin-2	59.28	26	187	0	16132709.01671	129	
P04197	Myb protein	3.81	3	3	0	2149.98416	2	
P04359	Large ribosomal subunit protein eL32	33.58	5	17	5	370017.39757000003	15	
P04388	Ras-like protein 2	13.02	2	10	2	68946.34656	9	
P05031	Aromatic-L-amino-acid decarboxylase	10.78	5	9	5	15628.43273	7	
P05205	Heterochromatin protein 1	36.89	8	22	8	249466.31114	20	
P05303	Elongation factor 1-alpha 2	68.4	29	177	0	2584177.7569999998	31	
P05389	Large ribosomal subunit protein P2	31.86	4	18	4	967460.3896999999	16	
P05552	Transcription factor Adf-1	7.63	2	5	0	48312.9207	5	
P05661	Myosin heavy chain, muscle	50.46	119	519	1	57291.20076	12	
P05812	Heat shock protein 67B1	12.13	5	7	5	17708.8382	5	
P06002	Opsin Rh1	4.56	2	8	2	27287.761840000003	6	
P06603	Tubulin alpha-1 chain	64.67	27	183	0	25699669.65777	139	
P06604	Tubulin alpha-2 chain	38.75	18	147	1	8069.7407	1	
P06607	Vitellogenin-3	82.14	33	299	0	30633467.16524	265	
P06742	Myosin light chain alkali	56.77	11	71	0	10462994.555300001	47	
P07207	Neurogenic locus Notch protein	0.48	1	1	0	6100.174	1	
P07486	Glyceraldehyde-3-phosphate dehydrogenase 1	70.18	22	133	9	2381028.4729	40	
P07487	Glyceraldehyde-3-phosphate dehydrogenase 2	84.04	23	156	0	12635521.67994	128	
P07665	Serendipity locus protein beta	8.43	4	5	0	3274.4175	2	
P07668	Choline O-acetyltransferase	7.63	5	6	5	14470.84315	4	
P07764	Fructose-bisphosphate aldolase	93.63	43	422	0	26860793.6068	336	
P08111	Lethal(2) giant larvae protein	5.43	7	9	0	25416.362100000002	7	
P08120	Collagen alpha-1(IV) chain	5.96	7	22	7	349979.86495	22	
P08144	Alpha-amylase A	18.22	8	15	0	227007.84636000003	12	
P08171	Esterase-6	13.24	9	22	0	209230.03566999998	22	
P08182	Casein kinase II subunit beta	38.72	8	38	2	760661.98124	31	
P08570	Large ribosomal subunit protein P1	75.89	5	33	0	1860257.4866	27	
P08645	Ras-related protein Rap1	25.54	5	15	0	194188.09167	15	
P08646	Ras-like protein 1	30.69	4	10	4	155227.14944	9	
P08736	Elongation factor 1-alpha 1	70.84	34	198	17	17230092.79109	175	
P08761	Peptide methionine sulfoxide reductase	27.64	6	13	0	115882.08391	12	
P08879	Nucleoside diphosphate kinase	69.28	8	136	0	6495179.30145	112	
P08928	Lamin	67.36	50	193	49	5121644.57895	168	
P08985	Histone H2A.v	42.55	10	47	8	1033394.1916799999	31	
P09040	Drosulfakinins	21.99	3	3	3	36440.118	3	
P09180	Large ribosomal subunit protein uL4	47.13	20	61	20	1119065.95748	51	
P09208	Insulin-like receptor	3.03	8	10	8	10633.89778	7	
P09491	Tropomyosin-2	76.76	34	245	2	99212.66616000001	6	
P0DKM0	Cytochrome c oxidase assembly factor 3, mitochondrial	35.63	4	16	4	144857.0023	13	
P10180	Homeobox protein cut	0.46	1	3	0	93038.94	3	
P10379	Protein unzipped	20.29	8	28	0	516743.9374	25	
P10552	FMRFamide-related peptides	2.31	1	3	1	42624.464	2	
P10676	Neither inactivation nor afterpotential protein C	25.98	40	88	11	464448.50303	70	
P10981	Actin-87E	76.33	30	777	0	1594303.89605	35	
P10987	Actin-5C	64.63	27	797	0	928083.81153	27	
P11046	Laminin subunit beta-1	21.09	39	84	39	1371446.94055	68	
P11146	Heat shock 70 kDa protein cognate 2	13.9	6	46	1	37428.047	1	
P11147	Heat shock 70 kDa protein cognate 4	77.73	48	406	0	26658507.00606	345	
P11584	Integrin beta-PS	18.32	17	45	0	373602.87648	38	
P12024	Chaoptin	30.95	35	88	0	2066316.93186	71	
P12080	Integrin alpha-PS2	11.53	17	39	17	307702.75028	34	
P12370	cAMP-dependent protein kinase catalytic subunit 1	45.61	16	49	15	1220460.45435	40	
P12426	Adenine phosphoribosyltransferase	14.29	3	5	0	16203.5261	3	
P12613	T-complex protein 1 subunit alpha	23.7	13	37	0	478792.38420000003	33	
P12881	Proteasome subunit alpha type-1	49.82	13	50	0	586767.32526	39	
P12982	Serine/threonine-protein phosphatase alpha-2 isoform	21.85	6	14	1	155620.32246	11	
P13008	Small ribosomal subunit protein eS26	21.05	2	12	0	193966.45745	8	
P13060	Eukaryotic translation elongation factor 2	39.22	27	75	27	902532.51553	69	
P13217	1-phosphatidylinositol 4,5-bisphosphate phosphodiesterase	34.7	38	97	0	2056421.54693	89	
P13395	Spectrin alpha chain	65.3	140	542	0	15932115.62246	469	
P13469	DNA-binding protein modulo	4.06	2	2	0	9356.50145	2	
P13496	Dynactin subunit 1	14.23	21	45	21	188732.60953	35	
P13607	Sodium/potassium-transporting ATPase subunit alpha	38.14	36	144	1	2389818.41608	117	
P13677	Protein kinase C, eye isozyme	12.57	9	13	9	51939.85177	12	
P13678	Protein kinase C	5.01	4	4	0	6275.49728	3	
P14199	Protein ref(2)P	13.19	7	32	7	271099.7234	29	
P14318	Muscle-specific protein 20	80.43	16	103	16	3414830.58176	78	
P14484	Pupal cuticle protein	27.17	5	39	5	492675.90383	29	
P14599	Amyloid-beta-like protein	1.92	2	2	0	596.66156	1	
P15007	Enolase	78.0	40	271	1	34399444.10776	231	
P15215	Laminin subunit gamma-1	33.62	53	135	0	2219734.62357	121	
P15330	Embryonic polarity protein dorsal	1.4	2	3	0	2292.2421999999997	2	
P15357	Ubiquitin-ribosomal protein eS31 fusion protein	42.31	6	84	1	2577773.0061	82	
P15364	Protein amalgam	15.92	5	11	0	51564.5873	10	
P15372	Phosrestin-2	67.58	19	65	0	1464704.56932	60	
P15425	Peptidyl-prolyl cis-trans isomerase, rhodopsin-specific isozyme	20.68	4	10	4	167578.49885	7	
P16378	G protein alpha o subunit	29.1	11	46	7	762106.39295	44	
P16554	Protein numb	15.47	8	12	0	74810.8824	10	
P16568	Protein bicaudal D	23.4	19	27	0	212086.43475000001	26	
P16620	Tyrosine-protein phosphatase 69D	5.88	9	13	9	61792.769759999996	11	
P16621	Tyrosine-protein phosphatase Lar	1.43	3	6	0	4801.13578	5	
P16914	Protein elav	30.23	13	43	0	646016.35832	37	
P17210	Kinesin heavy chain	34.56	34	100	34	982214.71885	84	
P17276	Protein henna	44.69	15	32	0	1002245.4036699999	29	
P17336	Catalase	41.11	16	61	16	1718436.30681	47	
P17704	Small ribosomal subunit protein eS17	69.47	10	30	10	889367.9314	29	
P17719	Dihydrofolate reductase	4.4	1	2	1	10256.034599999999	2	
P18053	Proteasome subunit alpha type-4	40.53	10	51	8	1451965.25096	45	
P18173	Glucose dehydrogenase [FAD, quinone]	5.76	4	5	0	10083.0852	4	
P18431	Protein kinase shaggy	29.77	14	58	0	1694297.81282	50	
P18432	Myosin regulatory light chain 2	86.94	19	167	19	8793811.74846	157	
P18459	Tyrosine 3-monooxygenase	6.91	5	11	0	114650.25924	11	
P18824	Armadillo segment polarity protein	14.47	12	25	0	168173.98425	16	
P19107	Phosrestin-1	77.56	33	263	33	12297884.16413	236	
P19109	ATP-dependent RNA helicase p62	22.67	17	36	0	196877.69731	29	
P19334	Transient receptor potential protein	4.39	6	9	4	44368.693	7	
P19339	Protein sex-lethal	4.52	2	4	0	7935.561000000001	3	
P19351	Troponin T, skeletal muscle	49.37	30	130	0	114491.0688	8	
P19889	Large ribosomal subunit protein uL10	48.58	12	46	0	5218089.57706	41	
P20007	Phosphoenolpyruvate carboxykinase [GTP]	5.87	5	8	3	31172.9287	3	
P20153	Protein ultraspiracle	5.91	4	7	0	28170.5522	5	
P20228	Glutamate decarboxylase	27.84	12	34	0	283598.367	25	
P20232	Transcription elongation factor S-II	42.81	13	19	0	93093.88176	12	
P20240	Otefin	29.95	11	22	11	147696.84583	18	
P20241	Neuroglian	21.89	29	84	0	1049484.4554	76	
P20348	Sex-regulated protein janus-A	28.89	4	7	4	162432.7321	6	
P20351	Tryptophan 2,3-dioxygenase	7.92	3	4	3	8303.27704	4	
P20385	Chorion transcription factor Cf2	9.8	5	6	0	32634.5936	3	
P20432	Glutathione S-transferase D1	52.15	12	101	9	12025826.53116	90	
P20477	Glutamine synthetase 1, mitochondrial	44.11	16	73	0	4155553.9967400003	60	
P20478	Glutamine synthetase 2 cytoplasmic	82.38	24	230	0	17324177.84708	204	
P21187	Polyadenylate-binding protein	26.81	14	44	14	206775.84418	38	
P21914	Succinate dehydrogenase [ubiquinone] iron-sulfur subunit, mitochondrial	60.61	20	117	18	6222624.53631	97	
P22465	Annexin B10	65.42	20	129	20	4102465.68362	114	
P22769	Proteasome subunit alpha type-7-1	39.36	9	33	8	859834.83207	32	
P22813	Heat shock factor protein	7.09	5	6	0	20740.5029	5	
P22815	Protein bride of sevenless	1.34	1	1	1	3602.9834	1	
P22979	Heat shock protein 67B3	54.27	8	22	8	748310.67245	19	
P23128	ATP-dependent RNA helicase me31b	5.23	3	7	3	47055.8079	7	
P23226	205 kDa microtubule-associated protein	24.39	23	63	0	494558.54882	51	
P23257	Tubulin gamma-1 chain	5.68	3	4	1	19629.8742	3	
P23625	G protein alpha q subunit	54.67	20	124	18	5026857.13189	102	
P23654	Neurotactin	8.87	7	17	0	89653.0065	14	
P23696	Serine/threonine-protein phosphatase PP2A	18.12	5	10	0	123095.1259	10	
P23779	Cystatin-like protein	63.49	8	26	8	1400315.00695	22	
P24156	Prohibitin 1	73.91	17	62	0	1738232.11184	52	
P25007	Peptidyl-prolyl cis-trans isomerase	51.98	15	120	10	13438752.69241	102	
P25160	ADP-ribosylation factor-like protein 1	4.44	1	2	1	7773.0876	2	
P25161	Probable 26S proteasome non-ATPase regulatory subunit 3	29.76	16	40	0	603386.147	37	
P25171	Regulator of chromosome condensation	10.42	5	9	5	74177.0777	9	
P25172	Protein suppressor 2 of zeste	1.75	2	2	0	2933.8084	2	
P25228	Ras-related protein Rab-3	30.45	6	18	0	117274.46305	5	
P25455	1-phosphatidylinositol 4,5-bisphosphate phosphodiesterase classes I and II	5.69	9	11	9	41212.66867	11	
P25822	Maternal protein pumilio	3.39	5	8	0	28872.39901	6	
P25843	Profilin	88.89	7	27	0	1244664.75305	24	
P25867	Ubiquitin-conjugating enzyme E2-17 kDa	12.24	2	6	0	283505.44299999997	5	
P26270	26S proteasome non-ATPase regulatory subunit 7	7.69	3	9	0	114829.9597	9	
P26308	Guanine nucleotide-binding protein subunit beta-1	24.71	7	32	0	714921.54856	28	
P26686	Serine-arginine protein 55	18.35	8	14	0	119861.92540000001	11	
P27716	Innexin inx1	11.33	5	7	0	34741.1023	6	
P27779	Pupal cuticle protein Edg-78E	38.52	3	20	0	111248.87511	19	
P28668	Bifunctional glutamate/proline--tRNA ligase	4.9	9	11	9	42789.41625	7	
P29052	Transcription initiation factor IIB	13.65	5	13	0	53160.445329999995	9	
P29310	14-3-3 protein zeta	69.35	18	328	0	14095441.61949	278	
P29327	Small ribosomal subunit protein eS6	26.21	6	24	2	749092.16665	22	
P29413	Calreticulin	57.64	21	79	0	3633215.23166	72	
P29613	Triosephosphate isomerase	77.73	17	135	16	9957551.50647	112	
P29742	Clathrin heavy chain	8.76	16	22	0	42942.97923	13	
P29746	Protein bangles and beads	59.28	23	66	23	1488655.58886	61	
P29829	Guanine nucleotide-binding protein subunit beta-2	48.55	16	75	16	2114054.97434	65	
P29843	Heat shock 70 kDa protein cognate 1	25.59	15	100	2	12182.158300000001	5	
P29844	Endoplasmic reticulum chaperone BiP	65.7	42	234	0	7400038.80707	135	
P29845	Heat shock 70 kDa protein cognate 5	59.18	46	206	0	6559444.166540001	168	
P30432	Furin-like protease 2	2.44	4	6	0	11730.5164	5	
P31009	Small ribosomal subunit protein uS5	41.2	11	51	0	1153427.7298	44	
P31409	V-type proton ATPase subunit B	52.45	21	89	0	2081978.02627	77	
P32100	Large ribosomal subunit protein uL30	45.24	15	40	0	1024464.39622	33	
P32234	Guanylate binding protein 128up	11.14	4	4	3	89939.18802	4	
P32392	Actin-related protein 3	16.99	7	15	7	139353.06895000002	14	
P32748	Dihydroorotate dehydrogenase (quinone), mitochondrial	15.06	7	17	7	47051.65965	13	
P33438	Glutactin	23.98	23	64	0	393351.34214	46	
P34082	Fasciclin-2	23.02	17	30	0	180587.56689000002	24	
P35122	Ubiquitin carboxyl-terminal hydrolase	55.07	9	24	0	857938.41091	23	
P35128	Ubiquitin-conjugating enzyme E2 N	60.93	8	20	0	662497.87632	18	
P35220	Catenin alpha	24.1	22	60	12	403170.9284	51	
P35381	ATP synthase subunit alpha, mitochondrial	73.91	46	498	46	45891146.79361	403	
P35415	Paramyosin, long form	75.2	85	589	0	27550841.52419	459	
P35416	Paramyosin, short form	62.19	47	347	0	2101962.40826	48	
P35421	Phosphoribosylformylglycinamidine synthase	0.59	1	2	1	931.0144	1	
P35554	Flightin	46.7	7	14	0	137649.37876	8	
P35992	Tyrosine-protein phosphatase 10D	4.62	10	11	9	36166.007900000004	9	
P36179	Serine/threonine-protein phosphatase PP2A 65 kDa regulatory subunit	36.55	21	62	0	2440246.50009	59	
P36188	Troponin I	46.1	16	73	0	4139852.14353	68	
P36241	Large ribosomal subunit protein eL19	24.14	5	17	5	801402.9328000001	14	
P36872	Protein phosphatase PP2A 55 kDa regulatory subunit	7.82	4	5	0	1787.5333	1	
P36951	Putative hydroxypyruvate isomerase	43.18	10	27	10	1062119.7177	24	
P36958	DNA-directed RNA polymerase II subunit RPB9	5.43	1	1	0	2979.976	1	
P36975	Synaptosomal-associated protein 25	85.38	19	157	17	3769431.5052	102	
P37193	Adrenodoxin-like protein 1, mitochondrial	29.07	4	7	0	231505.0633	7	
P37236	Frequenin-1	56.15	9	52	0	206030.04324	9	
P37276	Dynein heavy chain, cytoplasmic	0.86	5	6	0	2722.7282699999996	2	
P38040	Guanine nucleotide-binding protein subunit gamma-1	77.14	6	36	6	312313.15344	16	
P38979	Small ribosomal subunit protein uS2	81.85	17	57	17	2892607.21853	49	
P39018	Small ribosomal subunit protein eS19A	53.85	11	59	0	2753795.86387	56	
P39736	Puff-specific protein Bx42	12.61	6	12	0	15673.59892	8	
P40301	Proteasome subunit alpha type-2	15.81	3	4	3	280409.3088	4	
P40304	Proteasome subunit beta type-1	33.62	7	18	7	291678.92246	15	
P40320	S-adenosylmethionine synthase	8.33	4	6	0	64509.5405	4	
P40417	Mitogen-activated protein kinase ERK-A	36.17	12	29	7	434919.92691000004	24	
P40421	Serine/threonine-protein phosphatase rdgC	6.96	5	12	0	45220.68105	9	
P40423	Myosin regulatory light chain sqh	33.91	5	29	0	377822.21083	26	
P40427	Homeobox protein extradenticle	3.72	1	4	0	5569.08213	3	
P40792	Ras-related protein Rac1	22.4	4	22	0	163033.2311	19	
P40793	Cdc42 homolog	27.75	5	16	0	208598.8003	10	
P40796	La protein homolog	30.26	11	26	10	256484.00372	20	
P40797	Protein peanut	12.62	7	32	6	210304.57217	27	
P40945	ADP ribosylation factor 4	30.0	4	17	0	4220.1045	1	
P41042	Small ribosomal subunit protein eS4	41.76	12	39	0	986839.44586	31	
P41043	Glutathione S-transferase S1	75.9	13	61	0	6247515.05055	50	
P41044	Calbindin-32	75.48	25	116	0	5055974.09697	92	
P41073	Zinc finger protein on ecdysone puffs	22.07	14	39	0	211576.031	27	
P41092	Large ribosomal subunit protein uL15	41.61	7	22	0	426434.4614	16	
P41093	Large ribosomal subunit protein eL20	33.33	7	21	7	520685.8471	19	
P41094	Small ribosomal subunit protein uS13	59.87	15	60	15	2119650.38778	54	
P41126	Large ribosomal subunit protein eL13	48.17	12	57	0	1889991.3739	43	
P41374	Eukaryotic translation initiation factor 2 subunit 1	45.45	15	42	0	720706.70276	36	
P41375	Eukaryotic translation initiation factor 2 subunit 2	19.87	7	16	7	138003.46968	12	
P41572	6-phosphogluconate dehydrogenase, decarboxylating	23.49	10	30	0	443019.06894	26	
P41900	General transcription factor IIF subunit 2	8.3	2	2	2	13274.1058	2	
P42207	Septin-1	12.74	5	19	4	35741.177599999995	5	
P42281	Acyl-CoA-binding protein homolog	73.26	6	30	5	3182468.6263	27	
P42325	Neurocalcin homolog	66.32	14	25	14	915195.01133	22	
P42787	Carboxypeptidase D	5.26	8	12	0	99546.53076	10	
P43332	U1 small nuclear ribonucleoprotein A	18.98	5	13	5	115098.09502	11	
P45437	Coatomer subunit beta	7.57	5	10	5	76874.16954999999	9	
P45594	Cofilin/actin-depolymerizing factor homolog	85.81	16	118	16	6795475.24323	91	
P45888	Actin-related protein 2	12.53	5	9	5	47146.778600000005	5	
P45889	Actin-related protein 1	24.47	13	20	13	570707.74333	18	
P46150	Moesin/ezrin/radixin homolog 1	34.6	27	64	0	45134.777	1	
P46222	Large ribosomal subunit protein uL5	21.2	4	19	0	418780.49435	14	
P46223	Large ribosomal subunit protein eL8	33.58	8	36	0	1146242.2926399999	28	
P46415	Alcohol dehydrogenase class-3	18.47	6	12	6	133322.46804	10	
P46461	Vesicle-fusing ATPase 1	39.19	29	83	0	770243.6307	68	
P46824	Kinesin light chain	41.34	24	66	0	945512.55959	55	
P47947	Troponin C, isoform 1	20.78	3	33	0	1824123.34092	30	
P47948	Troponin C, isoform 2	27.74	4	7	0	431.06836	1	
P47949	Troponin C, isoform 3	51.61	7	20	0	965162.3837	19	
P48148	Ras-like GTP-binding protein Rho1	66.67	10	36	10	991436.21789	31	
P48149	Small ribosomal subunit protein uS8A	38.46	6	23	0	798797.14651	20	
P48159	Large ribosomal subunit protein uL14	70.71	8	26	8	615689.6989000001	22	
P48375	Peptidyl-prolyl cis-trans isomerase Fkbp12	60.19	5	36	5	2491620.54817	28	
P48451	Calcineurin subunit B type 1	55.88	7	25	0	140105.7459	4	
P48461	Serine/threonine-protein phosphatase alpha-1 isoform	19.88	6	11	0	983.13968	2	
P48554	Ras-related protein Rac2	26.56	5	20	0	20811.2163	4	
P48555	Ras-related protein Ral-a	43.28	8	20	1	414859.97722	19	
P48588	Small ribosomal subunit protein eS25	8.55	1	6	1	66922.83293	4	
P48596	GTP cyclohydrolase 1	46.91	13	74	13	1826904.33784	54	
P48598	Eukaryotic translation initiation factor 4E1	26.64	4	17	0	206628.9126	17	
P48601	26S proteasome regulatory subunit 4	51.25	22	73	0	1110905.77211	54	
P48602	V-type proton ATPase catalytic subunit A isoform 1	55.7	28	113	0	1867057.04446	93	
P48603	F-actin-capping protein subunit beta	20.65	7	16	0	81214.72394	13	
P48604	GrpE protein homolog, mitochondrial	42.72	11	48	11	643018.6421	45	
P48605	T-complex protein 1 subunit gamma	34.56	21	73	0	866226.32842	58	
P48607	Protein spaetzle	4.29	1	2	0	4975.9844	1	
P48609	Cyclin-dependent kinase 5 homolog	16.67	5	8	4	48580.52805	5	
