Accession	Description	Coverage [%]	# Peptides	# PSMs	# Unique Peptides	Abundance: F8: 128N, Sample, n/a, SF1g_M3	Abundances Count: F8: 128N, Sample, n/a, SF1g_M3	Modifications
O01666	ATP synthase subunit gamma, mitochondrial	59.26	19	142	19	12216886.15934	128	
O02194	Presenilin homolog	5.73	2	2	0	13144.721	1	
O02195	Eukaryotic translation initiation factor 3 subunit I	44.48	11	19	11	1046562.8158	18	
O02649	Heat shock protein 60A	76.27	44	168	28	19429287.52037	148	
O15943	Neural-cadherin	17.05	53	82	2	1905661.54864	78	
O16797	Large ribosomal subunit protein uL3	15.62	8	13	8	181319.5528	12	
O17444	Vesicular acetylcholine transporter	10.9	5	7	5	63466.530699999996	4	
O17445	Large ribosomal subunit protein eL15	12.25	3	6	0	23403.8116	3	
O18333	Ras-related protein Rab-2	44.6	9	17	9	479357.5689	17	
O18334	Ras-related protein Rab6	33.17	8	22	0	123064.9325	8	
O18373	Inactive selenide, water dikinase-like protein	21.36	10	22	10	1334450.9844	21	
O18388	Importin subunit beta	3.85	4	4	0	74112.826	4	
O18404	3-hydroxyacyl-CoA dehydrogenase type-2	83.53	18	148	18	15161719.60198	123	
O18413	26S proteasome regulatory subunit 8	48.4	20	54	8	1320652.5939	37	
O18640	Small ribosomal subunit protein RACK1	27.67	11	15	0	548883.6148	14	
O44081	H/ACA ribonucleoprotein complex subunit 4	3.15	2	2	0	8271.345	1	
O44342	Protein windbeutel	17.51	4	5	0	58584.649000000005	5	
O44386	Integrin alpha-PS3	7.26	8	10	6	169004.88573	9	
O44437	Small nuclear ribonucleoprotein Sm D3	24.5	4	6	4	552103.7311	5	
O46037	Vinculin	59.31	53	121	0	4168746.32736	107	
O46084	Serine/threonine-protein phosphatase Pgam5, mitochondrial	3.46	1	1	0	10026.665	1	
O46098	LYR motif-containing protein 4 homolog	69.57	8	18	8	832089.3033	17	
O46106	Splicing factor 3A subunit 3	23.06	9	11	9	210935.3173	10	
O46339	Homeobox protein homothorax	5.54	2	2	2	9089.4467	2	
O61231	Large ribosomal subunit protein uL16	44.04	12	22	0	845082.75235	18	
O61305	DEAD-box helicase Dbp80	3.7	2	2	0	32097.567499999997	2	
O61307	Teneurin-m	2.01	4	4	0	70444.204	2	
O61443	Mitogen-activated protein kinase p38b	15.89	6	10	3	185204.5299	10	
O61491	Flotillin-1	57.51	24	64	24	3197235.6896	59	
O61722	PRL-1 phosphatase	67.05	10	24	10	479246.43886	21	
O62619	Pyruvate kinase	69.79	30	93	30	7291115.2712	75	
O62621	Coatomer subunit beta'	2.08	2	2	2	4923.629000000001	2	
O76206	Putative riboflavin kinase	39.87	6	13	0	610842.968	9	
O76454	Pterin-4-alpha-carbinolamine dehydratase	33.85	4	7	4	369869.82370000007	6	
O76742	Ras-related protein Rab7	37.68	8	13	8	490121.4189	12	
O76878	RILP-like protein homolog	18.96	7	9	0	66889.8576	7	
O76902	Pleckstrin homology domain-containing family F member 1 homolog	11.39	4	10	4	197529.55693	10	
O76927	Small ribosomal subunit protein eS21	72.29	6	20	0	461852.20397	14	
O77051	Transcription factor E2F2	16.76	6	8	0	56205.34177	6	
O77263	tRNA (guanine-N(7)-)-methyltransferase	24.61	4	6	4	76767.01139999999	6	
O77277	Torsin-like protein	10.0	4	5	0	147152.3316	5	
O77410	Eukaryotic translation initiation factor 3 subunit E	8.97	4	5	4	45940.2063	4	
O96553	C-1-tetrahydrofolate synthase, cytoplasmic	20.35	21	24	0	327585.85697	22	
O96690	Protein PDF	15.69	1	2	1	12446.654	1	
O96827	Probable elongation factor 1-beta	83.78	18	101	0	6715613.62932	93	
O97067	Probable peptidyl-tRNA hydrolase 2	30.65	5	9	0	173156.9505	8	
O97125	Heat shock protein 68	30.39	17	74	11	874676.94704	25	
O97172	UPF0729 protein CG18508	29.29	3	3	0	21587.689	2	
O97394	Protein sidekick	0.45	1	1	0	631.51434	1	
O97422	Galactosylgalactosylxylosylprotein 3-beta-glucuronosyltransferase I	8.17	3	3	3	51430.099	3	
O97477	Inositol-3-phosphate synthase	29.56	14	50	14	4059722.17057	44	
P00334	Alcohol dehydrogenase	88.28	23	232	23	93955711.78961	201	
P00408	Cytochrome c oxidase subunit 2	33.77	7	27	7	3142608.934	22	
P00522	Tyrosine-protein kinase Abl	2.9	3	4	0	12191.4097	3	
P02255	Histone H1	25.0	5	6	0	61653.7224	6	
P02283	Histone H2B	56.91	8	80	8	10648782.69344	73	
P02299	Histone H3	55.15	7	35	2	8776403.02576	29	
P02515	Heat shock protein 22	38.51	7	11	7	281568.0845	10	
P02516	Heat shock protein 23	84.95	16	72	0	10442057.52217	65	
P02517	Heat shock protein 26	48.08	8	23	0	3476214.6703	23	
P02518	Heat shock protein 27	55.87	11	23	0	2018532.97915	18	
P02572	Actin-42A	74.2	30	655	3	237556151.90012	584	
P02574	Actin, larval muscle	66.22	27	546	0	2405826.0554	19	
P02828	Heat shock protein 83	51.74	42	171	0	16474035.57461	163	
P02843	Vitellogenin-1	65.15	29	248	0	2417243.63983	132	
P02844	Vitellogenin-2	66.97	26	196	0	1958292.93761	108	
P04197	Myb protein	2.28	2	2	0	9393.7307	2	
P04359	Large ribosomal subunit protein eL32	38.81	5	9	5	580901.094	8	
P04388	Ras-like protein 2	25.0	4	8	4	272123.0031	7	
P05031	Aromatic-L-amino-acid decarboxylase	6.47	2	2	2	9244.8253	2	
P05205	Heterochromatin protein 1	44.66	9	23	9	788080.681	19	
P05303	Elongation factor 1-alpha 2	53.9	27	157	0	3189378.4952	35	
P05389	Large ribosomal subunit protein P2	29.2	3	13	3	2638419.8249999997	12	
P05552	Transcription factor Adf-1	17.56	4	5	0	95678.478	4	
P05661	Myosin heavy chain, muscle	53.31	127	445	0	173599.27610000002	9	
P05812	Heat shock protein 67B1	22.7	8	11	8	152565.18523	11	
P06002	Opsin Rh1	7.24	3	7	3	329301.8328	5	
P06603	Tubulin alpha-1 chain	59.33	26	218	0	83243753.50811	187	
P06607	Vitellogenin-3	80.0	35	270	0	3797416.02597	196	
P06742	Myosin light chain alkali	55.48	9	117	0	17350681.57628	96	
P07207	Neurogenic locus Notch protein	1.0	2	2	0	5348.5239	2	
P07486	Glyceraldehyde-3-phosphate dehydrogenase 1	76.81	23	131	9	7700575.7861	33	
P07487	Glyceraldehyde-3-phosphate dehydrogenase 2	84.04	23	146	0	26877502.56722	132	
P07665	Serendipity locus protein beta	5.9	3	4	0	62249.3963	4	
P07668	Choline O-acetyltransferase	14.7	8	8	8	39486.229269999996	7	
P07764	Fructose-bisphosphate aldolase	88.92	42	386	0	106433668.42809	328	
P08111	Lethal(2) giant larvae protein	9.3	10	10	0	118539.98352000001	8	
P08120	Collagen alpha-1(IV) chain	6.35	9	22	9	401490.7551	22	
P08144	Alpha-amylase A	22.87	10	19	0	1019497.2746	17	
P08171	Esterase-6	15.26	8	18	0	807527.13546	17	
P08181	Casein kinase II subunit alpha	10.42	3	5	0	91727.196	5	
P08182	Casein kinase II subunit beta	38.72	8	19	2	1105659.43183	18	
P08570	Large ribosomal subunit protein P1	70.54	4	46	0	7228645.4355	45	
P08645	Ras-related protein Rap1	40.76	6	13	0	324027.10497	12	
P08646	Ras-like protein 1	38.62	7	19	7	1003778.6319	17	
P08736	Elongation factor 1-alpha 1	49.46	27	176	12	48368129.1276	156	
P08761	Peptide methionine sulfoxide reductase	35.77	7	12	0	245088.5055	12	
P08879	Nucleoside diphosphate kinase	69.28	8	123	0	10791864.82497	100	
P08928	Lamin	75.72	60	199	59	11579078.11514	175	
P08985	Histone H2A.v	42.55	10	39	8	4069248.5883	27	
P09040	Drosulfakinins	17.73	3	4	3	104249.21549999999	3	
P09180	Large ribosomal subunit protein uL4	45.14	22	52	22	3651909.43294	46	
P09208	Insulin-like receptor	2.19	5	6	5	20247.53952	5	
P09491	Tropomyosin-2	82.39	40	292	3	1102199.122	10	
P0DKM0	Cytochrome c oxidase assembly factor 3, mitochondrial	41.38	5	9	5	182486.7417	8	
P10379	Protein unzipped	27.46	11	26	0	991173.6922	24	
P10552	FMRFamide-related peptides	8.36	3	4	3	380419.745	4	
P10676	Neither inactivation nor afterpotential protein C	30.38	50	73	12	1454829.13218	64	
P10981	Actin-87E	69.15	30	649	0	14711860.62225	30	
P10987	Actin-5C	74.2	31	679	0	4222245.8528	23	
P11046	Laminin subunit beta-1	29.14	47	83	47	3702556.23746	75	
P11146	Heat shock 70 kDa protein cognate 2	11.37	6	39	1	1719.7955	1	
P11147	Heat shock 70 kDa protein cognate 4	86.18	55	389	0	69855971.08948	333	
P11584	Integrin beta-PS	27.54	22	46	0	1973162.48087	44	
P12024	Chaoptin	34.98	42	110	0	5826622.07638	102	
P12080	Integrin alpha-PS2	12.39	17	21	17	929434.99956	19	
P12252	3',5'-cyclic-AMP phosphodiesterase	18.88	16	26	0	19365.8296	3	
P12370	cAMP-dependent protein kinase catalytic subunit 1	51.84	21	54	20	4481355.3023	49	
P12426	Adenine phosphoribosyltransferase	20.88	4	4	0	52628.025	4	
P12613	T-complex protein 1 subunit alpha	23.88	13	17	0	499718.4451	14	
P12646	Glucose-6-phosphate 1-dehydrogenase	3.63	2	3	2	40043.6	3	
P12881	Proteasome subunit alpha type-1	64.52	16	47	0	3636938.5591	44	
P12982	Serine/threonine-protein phosphatase alpha-2 isoform	22.52	6	16	1	405384.10579999996	10	
P13008	Small ribosomal subunit protein eS26	21.05	2	10	0	454756.7214	9	
P13060	Eukaryotic translation elongation factor 2	27.96	24	44	24	2004408.94027	39	
P13217	1-phosphatidylinositol 4,5-bisphosphate phosphodiesterase	43.56	47	121	0	5151519.26867	109	
P13395	Spectrin alpha chain	66.34	150	596	0	43353532.51942	541	
P13469	DNA-binding protein modulo	6.83	4	4	0	66992.5528	4	
P13496	Dynactin subunit 1	19.53	26	29	26	568480.9335	28	
P13607	Sodium/potassium-transporting ATPase subunit alpha	44.67	44	149	0	5357951.65322	131	
P13677	Protein kinase C, eye isozyme	10.71	8	13	7	211159.5774	12	
P13678	Protein kinase C	6.22	5	6	0	63245.705	4	
P13706	Glycerol-3-phosphate dehydrogenase [NAD(+)], cytoplasmic	87.88	29	188	0	19365.795	1	
P14199	Protein ref(2)P	21.04	10	16	10	666512.7440000001	15	
P14318	Muscle-specific protein 20	83.15	21	93	21	9951531.5714	86	
P14484	Pupal cuticle protein	27.17	5	23	5	1360649.1402999999	21	
P15007	Enolase	77.8	36	335	1	71703440.83179	297	
P15215	Laminin subunit gamma-1	38.87	56	107	0	4995354.83869	101	
P15330	Embryonic polarity protein dorsal	5.31	4	4	0	23913.832159999998	4	
P15357	Ubiquitin-ribosomal protein eS31 fusion protein	42.31	6	62	1	8900199.69786	58	
P15364	Protein amalgam	24.62	6	10	0	268797.52259999997	9	
P15372	Phosrestin-2	69.78	24	97	0	3990648.72564	88	
P15425	Peptidyl-prolyl cis-trans isomerase, rhodopsin-specific isozyme	24.05	4	5	4	157820.965	4	
P16378	G protein alpha o subunit	26.27	11	43	8	3893180.233	39	
P16554	Protein numb	19.06	9	11	0	195781.0091	11	
P16568	Protein bicaudal D	20.59	17	19	0	395060.5646	18	
P16620	Tyrosine-protein phosphatase 69D	5.81	8	9	8	361743.4407	8	
P16621	Tyrosine-protein phosphatase Lar	0.59	1	1	0	9075.654	1	
P16914	Protein elav	34.58	12	38	0	1685362.754	35	
P17210	Kinesin heavy chain	46.77	45	96	45	3154219.17311	84	
P17276	Protein henna	40.04	15	35	0	2611445.4715	32	
P17336	Catalase	44.47	19	65	19	3766266.6251	52	
P17704	Small ribosomal subunit protein eS17	58.78	9	30	9	1785457.90675	28	
P17719	Dihydrofolate reductase	26.92	4	8	4	117179.0211	7	
P18053	Proteasome subunit alpha type-4	56.06	13	46	11	5096101.0005	41	
P18173	Glucose dehydrogenase [FAD, quinone]	2.56	2	2	0	24974.245000000003	2	
P18431	Protein kinase shaggy	43.77	19	57	0	3032985.41164	53	
P18432	Myosin regulatory light chain 2	84.68	18	240	18	23214767.3076	220	
P18459	Tyrosine 3-monooxygenase	16.75	11	13	0	256770.9223	12	
P18824	Armadillo segment polarity protein	17.67	13	22	0	283035.342	17	
P19107	Phosrestin-1	71.82	33	296	33	33517758.63479	278	
P19109	ATP-dependent RNA helicase p62	21.7	15	25	0	1397461.3079	23	
P19334	Transient receptor potential protein	4.39	6	7	5	31834.3401	4	
P19339	Protein sex-lethal	5.65	2	2	0	21177.36	2	
P19351	Troponin T, skeletal muscle	53.4	35	115	0	804225.5123	11	
P19889	Large ribosomal subunit protein uL10	50.79	15	61	0	9196305.07703	60	
P20007	Phosphoenolpyruvate carboxykinase [GTP]	5.87	4	4	3	25578.026299999998	3	
P20153	Protein ultraspiracle	1.57	1	1	0	16379.453	1	
P20228	Glutamate decarboxylase	20.78	11	32	0	663543.0675	29	
P20232	Transcription elongation factor S-II	38.02	12	19	0	476844.50558	17	
P20240	Otefin	40.8	14	20	14	306705.38505	16	
P20241	Neuroglian	26.04	33	88	0	4275357.4039	82	
P20348	Sex-regulated protein janus-A	39.26	6	13	6	516960.5537	11	
P20351	Tryptophan 2,3-dioxygenase	9.5	3	3	3	61305.922	3	
P20354	G protein alpha s subunit	47.01	15	32	1	5350.912	1	
P20385	Chorion transcription factor Cf2	11.96	6	6	0	44980.24166	6	
P20432	Glutathione S-transferase D1	52.15	14	87	11	25034174.12071	76	
P20477	Glutamine synthetase 1, mitochondrial	53.38	20	72	0	11940338.1795	66	
P20478	Glutamine synthetase 2 cytoplasmic	76.96	26	204	0	64137032.3644	180	
P21187	Polyadenylate-binding protein	26.81	13	31	13	1362647.8895	31	
P21914	Succinate dehydrogenase [ubiquinone] iron-sulfur subunit, mitochondrial	60.61	20	123	18	12606771.34854	109	
P22465	Annexin B10	76.01	24	137	24	12686943.04415	119	
P22769	Proteasome subunit alpha type-7-1	58.63	12	28	10	1986594.0847	26	
P22813	Heat shock factor protein	4.34	3	3	0	12179.3169	2	
P22815	Protein bride of sevenless	2.01	2	3	2	32992.7057	3	
P22979	Heat shock protein 67B3	55.28	7	20	7	955803.9284	18	
P23128	ATP-dependent RNA helicase me31b	12.2	5	6	5	57225.3756	6	
P23226	205 kDa microtubule-associated protein	27.34	25	45	0	760817.20734	38	
P23257	Tubulin gamma-1 chain	3.58	2	2	0	30156.636	2	
P23625	G protein alpha q subunit	57.51	21	85	18	8720007.4398	77	
P23654	Neurotactin	15.84	11	14	0	211392.20805000002	14	
P23696	Serine/threonine-protein phosphatase PP2A	37.86	9	15	0	475944.9121	12	
P23779	Cystatin-like protein	57.94	7	40	7	2949035.1602	36	
P24156	Prohibitin 1	68.12	18	72	0	5187566.42445	68	
P25007	Peptidyl-prolyl cis-trans isomerase	44.05	12	142	9	37834150.99618	122	
P25153	Ubiquitin-conjugating enzyme E2-17 kDa	17.22	2	3	0	205614.93	2	
P25160	ADP-ribosylation factor-like protein 1	10.56	2	4	2	34772.0955	4	
P25161	Probable 26S proteasome non-ATPase regulatory subunit 3	29.76	17	28	0	1253233.1498	27	
P25171	Regulator of chromosome condensation	10.42	5	6	5	180722.522	5	
P25172	Protein suppressor 2 of zeste	1.61	2	2	0	6154.2359	2	
P25228	Ras-related protein Rab-3	37.73	7	22	0	214489.04194	9	
P25455	1-phosphatidylinositol 4,5-bisphosphate phosphodiesterase classes I and II	6.37	9	10	9	144745.43180000002	9	
P25822	Maternal protein pumilio	3.13	5	6	0	80932.84360000001	6	
P25843	Profilin	88.89	7	37	0	1829895.57157	34	
P25867	Ubiquitin-conjugating enzyme E2-17 kDa	12.24	2	9	0	2705442.756	9	
P26270	26S proteasome non-ATPase regulatory subunit 7	15.38	6	12	0	267328.7044	12	
P26308	Guanine nucleotide-binding protein subunit beta-1	25.29	9	25	0	1065164.4241	21	
P26686	Serine-arginine protein 55	19.68	7	14	0	379249.79544	14	
P27716	Innexin inx1	2.49	1	1	0	2539.9734	1	
P27779	Pupal cuticle protein Edg-78E	9.84	2	9	0	900098.9783000001	8	
P28668	Bifunctional glutamate/proline--tRNA ligase	4.67	8	9	8	97987.7381	9	
P29052	Transcription initiation factor IIB	16.83	6	10	0	218446.2475	10	
P29310	14-3-3 protein zeta	68.55	19	282	0	56444169.24614	236	
P29327	Small ribosomal subunit protein eS6	20.16	5	15	2	976177.1667000001	15	
P29413	Calreticulin	58.13	22	67	0	8630353.01171	64	
P29613	Triosephosphate isomerase	78.54	20	145	19	34665668.35669	138	
P29742	Clathrin heavy chain	7.99	13	14	0	126242.6902	12	
P29746	Protein bangles and beads	63.12	27	57	27	5493369.603	56	
P29829	Guanine nucleotide-binding protein subunit beta-2	50.58	17	78	17	4264568.6564	67	
P29843	Heat shock 70 kDa protein cognate 1	27.15	16	75	2	190835.03360000002	6	
P29844	Endoplasmic reticulum chaperone BiP	65.24	43	255	0	20681104.53939	173	
P29845	Heat shock 70 kDa protein cognate 5	59.18	46	196	0	20528656.30863	164	
P30432	Furin-like protease 2	2.5	4	4	0	27546.423	3	
P31007	Disks large 1 tumor suppressor protein	34.33	35	113	1	6538.2007	1	
P31009	Small ribosomal subunit protein uS5	50.56	12	38	0	6111464.9618	37	
P31409	V-type proton ATPase subunit B	62.65	26	100	0	4172999.68096	82	
P32100	Large ribosomal subunit protein uL30	44.44	13	35	0	2533095.2471	29	
P32234	Guanylate binding protein 128up	16.85	6	9	5	170917.26270000002	8	
P32392	Actin-related protein 3	26.56	9	16	9	459519.255	16	
P32748	Dihydroorotate dehydrogenase (quinone), mitochondrial	24.2	10	18	10	513849.32636	18	
P33438	Glutactin	36.94	29	56	0	901771.92585	46	
P34082	Fasciclin-2	26.8	21	34	0	884439.7319	28	
P35122	Ubiquitin carboxyl-terminal hydrolase	59.91	10	28	0	1648018.9785799999	23	
P35128	Ubiquitin-conjugating enzyme E2 N	50.99	6	24	0	1343971.1737	23	
P35220	Catenin alpha	26.39	24	38	14	1016531.63261	36	
P35381	ATP synthase subunit alpha, mitochondrial	67.57	50	417	50	102310008.36097	367	
P35415	Paramyosin, long form	75.2	91	521	0	47646540.76869	456	
P35416	Paramyosin, short form	60.0	45	292	0	5743118.97458	52	
P35421	Phosphoribosylformylglycinamidine synthase	2.81	4	4	4	13205.415200000001	4	
P35554	Flightin	54.4	9	20	0	2030344.5122000002	19	
P35992	Tyrosine-protein phosphatase 10D	2.86	7	7	6	80486.0086	7	
P36179	Serine/threonine-protein phosphatase PP2A 65 kDa regulatory subunit	47.88	23	58	0	4390720.54148	54	
P36188	Troponin I	57.99	21	83	0	10343551.3456	76	
P36241	Large ribosomal subunit protein eL19	31.53	7	19	7	1343512.2710799999	16	
P36872	Protein phosphatase PP2A 55 kDa regulatory subunit	5.21	3	4	0	11897.98	4	
P36951	Putative hydroxypyruvate isomerase	42.05	10	33	10	2214293.8482999997	31	
P36958	DNA-directed RNA polymerase II subunit RPB9	31.01	3	6	0	82535.72940000001	2	
P36975	Synaptosomal-associated protein 25	87.74	21	143	19	11054732.460549999	113	
P37193	Adrenodoxin-like protein 1, mitochondrial	22.67	3	9	0	320221.7934	9	
P37236	Frequenin-1	71.66	12	40	0	1475458.5316	12	
P37276	Dynein heavy chain, cytoplasmic	0.17	1	1	0	7112.88	1	
P38040	Guanine nucleotide-binding protein subunit gamma-1	68.57	5	24	5	1272131.3077	12	
P38979	Small ribosomal subunit protein uS2	75.19	16	83	16	10307136.88472	72	
P39018	Small ribosomal subunit protein eS19A	64.74	14	52	0	6932950.857	52	
P39736	Puff-specific protein Bx42	9.87	4	5	0	38889.023799999995	4	
P40301	Proteasome subunit alpha type-2	23.08	5	8	5	260038.7671	6	
P40304	Proteasome subunit beta type-1	31.91	7	13	7	740443.9132	12	
P40320	S-adenosylmethionine synthase	12.5	6	7	0	281446.3938	6	
P40417	Mitogen-activated protein kinase ERK-A	55.59	15	36	8	1738823.91787	31	
P40421	Serine/threonine-protein phosphatase rdgC	8.77	5	6	0	8296.548760000001	5	
P40423	Myosin regulatory light chain sqh	51.15	7	22	0	1069383.4461	20	
P40427	Homeobox protein extradenticle	9.31	3	4	0	137948.833	4	
P40792	Ras-related protein Rac1	34.38	6	13	0	1399146.4218000001	13	
P40793	Cdc42 homolog	24.61	4	8	0	604457.7490999999	7	
P40796	La protein homolog	40.51	13	18	12	469171.64604	16	
P40797	Protein peanut	38.4	19	35	18	1568544.43066	35	
P40945	ADP ribosylation factor 4	38.33	5	12	0	180723.0641	7	
P40946	ADP-ribosylation factor 6	21.14	3	5	3	517237.521	5	
P41042	Small ribosomal subunit protein eS4	45.59	12	38	0	1613909.6954	33	
P41043	Glutathione S-transferase S1	83.53	19	72	0	9687921.366	67	
P41044	Calbindin-32	76.77	26	157	0	13851666.58636	143	
P41073	Zinc finger protein on ecdysone puffs	19.55	13	28	0	692611.15475	25	
P41092	Large ribosomal subunit protein uL15	36.24	6	22	0	2167165.2478	21	
P41093	Large ribosomal subunit protein eL20	44.07	8	14	8	910904.6745	14	
P41094	Small ribosomal subunit protein uS13	60.53	15	46	15	4353694.14918	43	
P41126	Large ribosomal subunit protein eL13	44.5	13	50	0	3587489.9095	41	
P41374	Eukaryotic translation initiation factor 2 subunit 1	48.39	18	46	0	3195141.77221	41	
P41375	Eukaryotic translation initiation factor 2 subunit 2	16.67	6	8	6	207242.0009	7	
P41572	6-phosphogluconate dehydrogenase, decarboxylating	32.22	12	20	0	1022629.10812	19	
P41900	General transcription factor IIF subunit 2	6.86	1	1	1	384.82117	1	
P42207	Septin-1	12.47	5	7	4	114261.0839	5	
P42281	Acyl-CoA-binding protein homolog	77.91	8	49	7	6244213.7778	45	
P42325	Neurocalcin homolog	61.05	12	34	12	2056282.4940499999	31	
P42787	Carboxypeptidase D	5.33	7	15	0	334157.70418	12	
P43332	U1 small nuclear ribonucleoprotein A	17.59	4	5	4	325299.396	5	
P45437	Coatomer subunit beta	8.61	5	8	5	91317.76759999999	6	
P45594	Cofilin/actin-depolymerizing factor homolog	85.81	15	98	15	21836068.9616	88	
P45888	Actin-related protein 2	28.82	9	17	9	900398.6796	15	
P45889	Actin-related protein 1	37.23	12	24	12	996592.5231999999	22	
P46150	Moesin/ezrin/radixin homolog 1	44.12	31	74	0	36389.555	1	
P46222	Large ribosomal subunit protein uL5	32.61	7	20	0	1224794.49784	17	
P46223	Large ribosomal subunit protein eL8	34.69	11	35	0	2874622.3781	35	
P46415	Alcohol dehydrogenase class-3	14.25	6	12	6	498963.60349999997	10	
P46461	Vesicle-fusing ATPase 1	51.81	38	76	0	2327551.98285	71	
P46824	Kinesin light chain	48.43	25	56	0	3016320.96445	51	
P47947	Troponin C, isoform 1	20.78	3	32	0	3851620.2217	31	
P47948	Troponin C, isoform 2	48.39	6	16	0	591619.6638999999	9	
P47949	Troponin C, isoform 3	62.58	8	28	0	1894447.4635	23	
P48148	Ras-like GTP-binding protein Rho1	61.98	12	32	12	4161487.7216999996	30	
P48149	Small ribosomal subunit protein uS8A	43.85	7	30	0	2549055.4162999997	26	
P48159	Large ribosomal subunit protein uL14	70.71	8	39	8	2130465.4552	36	
P48375	Peptidyl-prolyl cis-trans isomerase Fkbp12	76.85	7	40	7	9430503.2982	39	
P48451	Calcineurin subunit B type 1	62.35	8	26	0	313183.4057	8	
P48461	Serine/threonine-protein phosphatase alpha-1 isoform	24.16	7	16	0	39283.908	3	
P48554	Ras-related protein Rac2	26.04	5	12	0	46004.6	1	
P48555	Ras-related protein Ral-a	58.21	10	29	1	1903928.986	27	
P48588	Small ribosomal subunit protein eS25	19.66	2	4	2	62259.5476	4	
P48596	GTP cyclohydrolase 1	56.79	16	71	16	11609744.77073	59	
P48598	Eukaryotic translation initiation factor 4E1	39.77	7	16	0	504911.3994	14	
P48601	26S proteasome regulatory subunit 4	63.33	29	66	0	2406014.81907	47	
P48602	V-type proton ATPase catalytic subunit A isoform 1	66.29	32	113	0	5422913.0094	103	
