Accession	Description	Coverage [%]	# Peptides	# PSMs	# Unique Peptides	Abundance: F5: 130C, Sample, n/a, ctrl_pool_1	Abundance: F5: 131, Sample, n/a, ctrl_pool_2	Modifications
B7YZT2	Mitochondrial fission 1 protein	40.91	6	9	6	248746.10619999998	206573.46435999998	
C0HK92	Uncharacterized protein CG45076	49.92	34	106	0	2731672.36351	1962902.04748	
C0HK94	Uncharacterized protein CG45078	50.92	11	31	9	372860.86534	285400.4426	
C0HK95	Protein anoxia up-regulated	87.02	11	88	9	998875.28265	697067.77355	
C0HKA0	Small ribosomal subunit protein uS11A	48.34	8	36	0	574787.12656	475137.67582	
C0HL62	Larval cuticle protein 65Ab1	8.65	1	4	0	130435.11	82605.226	
C0HL66	Histone H3.3A	52.94	8	63	0	71054.89145	57049.291699999994	
C0HLZ9	Baramicin A1	15.56	4	9	0	67996.9964	51076.82934	
C4NYP8	Hsc70-interacting protein 1	47.21	17	41	0	1099049.4708699998	871526.23781	
E1JIT7	PH and SEC7 domain-containing protein	2.81	4	8	4	6316.89844	4365.2241300000005	
F3YDF1	ATP-dependent zinc metalloprotease YME1L	14.19	11	16	0	57848.782439999995	48804.0699	
M9NDE3	Protein bark beetle	3.91	13	19	13	39096.09031	27958.962509999998	
M9PF61	Aldo-keto reductase 1B	60.57	23	109	23	4754030.74647	4025617.88683	
M9PFN0	Phosphatase Herzog	6.25	3	7	3	163232.09840000002	146115.05180000002	
O01367	Protein held out wings	21.48	8	10	0	113578.83945	36100.56744	
O01382	Caspase drICE	17.99	5	7	4	3682.92619	2369.4602999999997	
O01404	Peptidylglycine alpha-hydroxylating monooxygenase	13.97	4	9	0	333980.10547	239060.67799999999	
O01666	ATP synthase subunit gamma, mitochondrial	58.92	19	129	19	3299914.66635	2698271.20199	
O02194	Presenilin homolog	5.73	3	5	0	7473.70246	6293.6071	
O02195	Eukaryotic translation initiation factor 3 subunit I	24.23	7	23	7	210237.8445	196492.2862	
O02649	Heat shock protein 60A	73.47	40	183	25	7450513.12676	5865292.02532	
O15943	Neural-cadherin	14.89	49	91	2	723115.10483	510918.98698	
O16797	Large ribosomal subunit protein uL3	15.62	7	14	7	129049.0085	111417.6862	
O17444	Vesicular acetylcholine transporter	11.25	5	6	5	75328.46554	47099.9729	
O17445	Large ribosomal subunit protein eL15	12.25	3	8	0	68994.20937	67455.8973	
O18333	Ras-related protein Rab-2	18.31	5	10	5	65960.01165	41985.88253	
O18334	Ras-related protein Rab6	18.75	5	16	0	8654.58986	6488.351320000001	
O18373	Inactive selenide, water dikinase-like protein	23.87	9	27	9	372126.50694	306091.4817	
O18388	Importin subunit beta	3.73	4	6	0	3017.33727	2656.2126	
O18404	3-hydroxyacyl-CoA dehydrogenase type-2	89.02	18	147	18	6310275.04346	5522643.11122	
O18413	26S proteasome regulatory subunit 8	36.54	15	53	6	230828.934	200516.92054	
O18640	Small ribosomal subunit protein RACK1	13.52	5	12	0	116091.8536	93912.39334	
O44081	H/ACA ribonucleoprotein complex subunit 4	6.3	4	4	0	77966.1906	66122.6888	
O44342	Protein windbeutel	19.46	5	10	0	43056.8909	37101.0171	
O44386	Integrin alpha-PS3	11.84	14	20	12	73119.99703	59328.010460000005	
O44437	Small nuclear ribonucleoprotein Sm D3	11.26	2	2	2	529.54156	481.24048	
O46037	Vinculin	53.69	50	137	0	2828055.32581	2292991.79653	
O46084	Serine/threonine-protein phosphatase Pgam5, mitochondrial	11.76	3	4	0	36913.8891	24037.6948	
O46098	LYR motif-containing protein 4 homolog	36.96	4	10	4	131286.314	116308.4345	
O46106	Splicing factor 3A subunit 3	9.15	5	10	5	172851.5502	123845.7865	
O46339	Homeobox protein homothorax	6.16	3	3	3	0.0	377.7637	
O61231	Large ribosomal subunit protein uL16	43.12	9	25	0	356077.7565	230164.55742	
O61305	DEAD-box helicase Dbp80	3.91	2	3	0	5769.49597	4836.63174	
O61307	Teneurin-m	0.66	2	2	0	5607.26845	3927.3558000000003	
O61443	Mitogen-activated protein kinase p38b	7.67	3	6	2	21650.79635	13755.38216	
O61491	Flotillin-1	48.83	23	81	23	1195262.52198	954285.86348	
O61722	PRL-1 phosphatase	44.32	7	23	7	501228.30564	423602.80160999997	
O62619	Pyruvate kinase	69.23	27	80	27	2484000.17172	2159195.99733	
O62621	Coatomer subunit beta'	3.17	3	4	3	19188.393	13854.2938	
O76206	Putative riboflavin kinase	49.02	7	15	0	397095.42422	348028.826	
O76454	Pterin-4-alpha-carbinolamine dehydratase	23.96	3	7	3	173598.7183	185756.9197	
O76742	Ras-related protein Rab7	28.5	6	12	6	124762.9736	90373.5798	
O76878	RILP-like protein homolog	9.71	5	10	0	146493.45734	89189.87491	
O76902	Pleckstrin homology domain-containing family F member 1 homolog	18.35	7	17	7	134749.5437	95260.39617	
O76927	Small ribosomal subunit protein eS21	50.6	5	22	0	554703.70622	301152.22060999996	
O77051	Transcription factor E2F2	22.97	9	14	0	33028.30192	26446.07077	
O77263	tRNA (guanine-N(7)-)-methyltransferase	12.5	3	5	3	23983.0135	19780.9082	
O77277	Torsin-like protein	12.65	5	8	0	70178.9467	37981.18896	
O77410	Eukaryotic translation initiation factor 3 subunit E	3.68	2	2	2	8542.6394	8120.1391	
O77460	Inorganic pyrophosphatase	61.24	15	67	1	33729.395	31581.754	
O96553	C-1-tetrahydrofolate synthase, cytoplasmic	15.39	17	27	0	175119.05196	125522.00018	
O96690	Protein PDF	23.53	1	1	1	3208.5847	2297.3042	
O96827	Probable elongation factor 1-beta	83.78	18	82	0	3417859.30886	2716117.25005	
O97067	Probable peptidyl-tRNA hydrolase 2	31.18	5	9	0	42125.958510000004	27056.728	
O97125	Heat shock protein 68	24.09	13	89	6	85400.14758	64982.75111	
O97172	UPF0729 protein CG18508	29.29	3	8	0	70028.5278	55992.2606	
O97394	Protein sidekick	1.89	4	5	0	2882.09354	3549.86665	
O97422	Galactosylgalactosylxylosylprotein 3-beta-glucuronosyltransferase I	8.17	3	6	3	35383.9408	26315.96336	
O97477	Inositol-3-phosphate synthase	33.81	15	58	15	965866.77115	785216.75861	
P00334	Alcohol dehydrogenase	88.28	21	200	21	26628712.25074	25223839.330989998	
P00408	Cytochrome c oxidase subunit 2	33.77	7	40	7	2256148.8641	1947659.11636	
P00522	Tyrosine-protein kinase Abl	3.33	4	6	0	10773.02645	4635.847299999999	
P02255	Histone H1	14.45	3	6	0	35590.6271	29751.0951	
P02283	Histone H2B	56.91	8	70	8	3201708.73521	2626077.66663	
P02299	Histone H3	52.94	8	67	2	2092618.8462	1591640.2443	
P02515	Heat shock protein 22	40.8	8	18	8	100064.93765	83714.64985	
P02516	Heat shock protein 23	84.41	16	83	0	3336457.51261	2735479.58836	
P02517	Heat shock protein 26	57.69	10	30	0	780505.93538	671646.32845	
P02518	Heat shock protein 27	44.13	9	21	0	326955.66116	268454.75542	
P02572	Actin-42A	64.1	25	768	2	40629501.66679	31034004.91638	
P02574	Actin, larval muscle	65.96	25	672	0	956953.2823	691921.8860099999	
P02828	Heat shock protein 83	48.4	33	148	0	3552004.51117	3124540.14634	
P02843	Vitellogenin-1	70.84	32	265	0	31485454.22306	23168567.9482	
P02844	Vitellogenin-2	59.28	26	187	0	14320218.32956	11282003.04061	
P04197	Myb protein	3.81	3	3	0	1517.56034	1402.82586	
P04359	Large ribosomal subunit protein eL32	33.58	5	17	5	594503.5639	509816.27847	
P04388	Ras-like protein 2	13.02	2	10	2	72990.2732	44444.15505	
P05031	Aromatic-L-amino-acid decarboxylase	10.78	5	9	5	27958.896	18402.201849999998	
P05205	Heterochromatin protein 1	36.89	8	22	8	301934.3044	208633.89483	
P05303	Elongation factor 1-alpha 2	68.4	29	177	0	2031205.25852	1639115.58101	
P05389	Large ribosomal subunit protein P2	31.86	4	18	4	1356540.1626	1074357.5918999999	
P05552	Transcription factor Adf-1	7.63	2	5	0	101100.2434	44473.4316	
P05661	Myosin heavy chain, muscle	50.46	119	519	1	92647.1351	62156.19196	
P05812	Heat shock protein 67B1	12.13	5	7	5	23854.865550000002	15430.977	
P06002	Opsin Rh1	4.56	2	8	2	61510.5293	56461.77453	
P06603	Tubulin alpha-1 chain	64.67	27	183	0	10410652.38945	8909320.3663	
P06604	Tubulin alpha-2 chain	38.75	18	147	1	2874.1038	2742.8481	
P06607	Vitellogenin-3	82.14	33	299	0	29773339.18752	24335852.62648	
P06742	Myosin light chain alkali	56.77	11	71	0	12496825.88018	8808075.41857	
P07207	Neurogenic locus Notch protein	0.48	1	1	0	4865.67	5623.111	
P07486	Glyceraldehyde-3-phosphate dehydrogenase 1	70.18	22	133	9	1352987.67044	937603.8250600001	
P07487	Glyceraldehyde-3-phosphate dehydrogenase 2	84.04	23	156	0	9783794.62735	7227990.84764	
P07665	Serendipity locus protein beta	8.43	4	5	0	3477.3851	2290.1450800000002	
P07668	Choline O-acetyltransferase	7.63	5	6	5	24247.5723	18689.1441	
P07764	Fructose-bisphosphate aldolase	93.63	43	422	0	24122723.59544	18898305.6071	
P08111	Lethal(2) giant larvae protein	5.43	7	9	0	22012.9904	13440.27107	
P08120	Collagen alpha-1(IV) chain	5.96	7	22	7	250427.16854	187643.56766	
P08144	Alpha-amylase A	18.22	8	15	0	193676.584	157822.64337	
P08171	Esterase-6	13.24	9	22	0	187046.41978	170917.1104	
P08182	Casein kinase II subunit beta	38.72	8	38	2	713426.94993	492432.09786	
P08570	Large ribosomal subunit protein P1	75.89	5	33	0	2412871.71746	1757492.90977	
P08645	Ras-related protein Rap1	25.54	5	15	0	136405.2565	146253.6318	
P08646	Ras-like protein 1	30.69	4	10	4	78528.9677	71082.35725	
P08736	Elongation factor 1-alpha 1	70.84	34	198	17	16961788.44585	13120033.68969	
P08761	Peptide methionine sulfoxide reductase	27.64	6	13	0	71290.13356	56855.34191	
P08879	Nucleoside diphosphate kinase	69.28	8	136	0	6282055.84956	5800270.9363	
P08928	Lamin	67.36	50	193	49	4557231.59392	3481861.9800299997	
P08985	Histone H2A.v	42.55	10	47	8	1936119.3286000001	1478201.62025	
P09040	Drosulfakinins	21.99	3	3	3	73317.822	56825.4995	
P09180	Large ribosomal subunit protein uL4	47.13	20	61	20	1203828.19847	1034980.54372	
P09208	Insulin-like receptor	3.03	8	10	8	4974.86649	3226.88143	
P09491	Tropomyosin-2	76.76	34	245	2	91453.31692000001	63922.1221	
P0DKM0	Cytochrome c oxidase assembly factor 3, mitochondrial	35.63	4	16	4	261029.8249	168623.61813999998	
P10180	Homeobox protein cut	0.46	1	3	0	66649.1408	43261.95879999999	
P10379	Protein unzipped	20.29	8	28	0	495111.904	375243.0914	
P10552	FMRFamide-related peptides	2.31	1	3	1	61739.748	50622.770000000004	
P10676	Neither inactivation nor afterpotential protein C	25.98	40	88	11	1399321.10567	1204266.35903	
P10981	Actin-87E	76.33	30	777	0	577037.06317	565778.05217	
P10987	Actin-5C	64.63	27	797	0	992577.85065	591816.96692	
P11046	Laminin subunit beta-1	21.09	39	84	39	934345.5337	779587.97213	
P11146	Heat shock 70 kDa protein cognate 2	13.9	6	46	1	21961.707	11932.544	
P11147	Heat shock 70 kDa protein cognate 4	77.73	48	406	0	22019726.80251	16776288.9596	
P11584	Integrin beta-PS	18.32	17	45	0	236367.25054	148273.78049	
P12024	Chaoptin	30.95	35	88	0	2801849.09376	2319847.94902	
P12080	Integrin alpha-PS2	11.53	17	39	17	164527.0164	122678.27526	
P12370	cAMP-dependent protein kinase catalytic subunit 1	45.61	16	49	15	720332.87793	565170.46216	
P12426	Adenine phosphoribosyltransferase	14.29	3	5	0	13916.207	12949.2872	
P12613	T-complex protein 1 subunit alpha	23.7	13	37	0	454680.77418	363819.63546	
P12881	Proteasome subunit alpha type-1	49.82	13	50	0	576946.05092	503783.9425	
P12982	Serine/threonine-protein phosphatase alpha-2 isoform	21.85	6	14	1	116154.15773	112415.14073	
P13008	Small ribosomal subunit protein eS26	21.05	2	12	0	250605.40529999998	244349.52766	
P13060	Eukaryotic translation elongation factor 2	39.22	27	75	27	1353335.8294	1019499.26414	
P13217	1-phosphatidylinositol 4,5-bisphosphate phosphodiesterase	34.7	38	97	0	1484786.6183799999	1175649.80503	
P13395	Spectrin alpha chain	65.3	140	542	0	15305013.52142	12338903.96529	
P13469	DNA-binding protein modulo	4.06	2	2	0	7379.91668	8698.71696	
P13496	Dynactin subunit 1	14.23	21	45	21	143764.42267	112754.08411	
P13607	Sodium/potassium-transporting ATPase subunit alpha	38.14	36	144	1	4068783.34581	3311894.57433	
P13677	Protein kinase C, eye isozyme	12.57	9	13	9	134905.9241	103416.8726	
P13678	Protein kinase C	5.01	4	4	0	10128.876499999998	9272.29624	
P14199	Protein ref(2)P	13.19	7	32	7	290796.8617	217140.4765	
P14318	Muscle-specific protein 20	80.43	16	103	16	2945912.70694	2252248.40849	
P14484	Pupal cuticle protein	27.17	5	39	5	454541.90062000003	271800.46235	
P14599	Amyloid-beta-like protein	1.92	2	2	0	1251.4483500000001	0.0	
P15007	Enolase	78.0	40	271	1	31757335.5733	26586420.96672	
P15215	Laminin subunit gamma-1	33.62	53	135	0	1516064.18461	1179434.55733	
P15330	Embryonic polarity protein dorsal	1.4	2	3	0	4486.3984	479.87863	
P15357	Ubiquitin-ribosomal protein eS31 fusion protein	42.31	6	84	1	1883100.1253	1609384.68219	
P15364	Protein amalgam	15.92	5	11	0	55271.51852	40481.729999999996	
P15372	Phosrestin-2	67.58	19	65	0	1380220.3798	1225966.21	
P15425	Peptidyl-prolyl cis-trans isomerase, rhodopsin-specific isozyme	20.68	4	10	4	135439.5587	122374.50738	
P16378	G protein alpha o subunit	29.1	11	46	7	1096480.73819	827066.18386	
P16554	Protein numb	15.47	8	12	0	71477.0211	54387.3791	
P16568	Protein bicaudal D	23.4	19	27	0	272729.62617	217750.94853	
P16620	Tyrosine-protein phosphatase 69D	5.88	9	13	9	52671.43163	45067.42764	
P16621	Tyrosine-protein phosphatase Lar	1.43	3	6	0	5158.56952	3339.24752	
P16914	Protein elav	30.23	13	43	0	642498.94676	519170.55561	
P17210	Kinesin heavy chain	34.56	34	100	34	926089.51625	705559.77006	
P17276	Protein henna	44.69	15	32	0	490912.05732	443539.50916	
P17336	Catalase	41.11	16	61	16	1169360.74784	1102362.75839	
P17704	Small ribosomal subunit protein eS17	69.47	10	30	10	1227146.46306	960281.72992	
P17719	Dihydrofolate reductase	4.4	1	2	1	7696.18	3692.90686	
P18053	Proteasome subunit alpha type-4	40.53	10	51	8	1277467.97559	1017361.04683	
P18173	Glucose dehydrogenase [FAD, quinone]	5.76	4	5	0	10800.012859999999	8294.4391	
P18431	Protein kinase shaggy	29.77	14	58	0	1226264.89577	1026769.30718	
P18432	Myosin regulatory light chain 2	86.94	19	167	19	13953341.03861	10149005.417679999	
P18459	Tyrosine 3-monooxygenase	6.91	5	11	0	73870.14003	56431.94426	
P18824	Armadillo segment polarity protein	14.47	12	25	0	113856.60009	86726.11743	
P19107	Phosrestin-1	77.56	33	263	33	8581271.30687	7638297.73158	
P19109	ATP-dependent RNA helicase p62	22.67	17	36	0	108971.48083	91621.48056	
P19334	Transient receptor potential protein	4.39	6	9	4	84781.06802	59324.1137	
P19339	Protein sex-lethal	4.52	2	4	0	4348.830220000001	6285.05695	
P19351	Troponin T, skeletal muscle	49.37	30	130	0	193483.0461	128433.0278	
P19889	Large ribosomal subunit protein uL10	48.58	12	46	0	6533311.88483	6376835.93796	
P20007	Phosphoenolpyruvate carboxykinase [GTP]	5.87	5	8	3	13440.471099999999	7517.72904	
P20153	Protein ultraspiracle	5.91	4	7	0	21500.915	18680.07227	
P20228	Glutamate decarboxylase	27.84	12	34	0	586444.08632	503534.72447	
P20232	Transcription elongation factor S-II	42.81	13	19	0	128519.62943	109882.01034	
P20240	Otefin	29.95	11	22	11	124712.32786	89298.31763	
P20241	Neuroglian	21.89	29	84	0	967071.70002	704424.9153999999	
P20348	Sex-regulated protein janus-A	28.89	4	7	4	222212.61966	142780.13037	
P20351	Tryptophan 2,3-dioxygenase	7.92	3	4	3	7557.2353299999995	5872.8929	
P20385	Chorion transcription factor Cf2	9.8	5	6	0	47157.36024	37526.00955	
P20432	Glutathione S-transferase D1	52.15	12	101	9	6027339.03474	5250004.47644	
P20477	Glutamine synthetase 1, mitochondrial	44.11	16	73	0	3712136.4719000002	2586241.56122	
P20478	Glutamine synthetase 2 cytoplasmic	82.38	24	230	0	12017318.8672	8826166.375330001	
P21187	Polyadenylate-binding protein	26.81	14	44	14	96081.07976000001	75623.03749	
P21914	Succinate dehydrogenase [ubiquinone] iron-sulfur subunit, mitochondrial	60.61	20	117	18	5504184.90596	4404097.46158	
P22465	Annexin B10	65.42	20	129	20	3966917.46998	3702645.1167	
P22769	Proteasome subunit alpha type-7-1	39.36	9	33	8	807004.9194	621296.7828	
P22813	Heat shock factor protein	7.09	5	6	0	68031.01915000001	23376.8405	
P22815	Protein bride of sevenless	1.34	1	1	1	4852.6973	3423.5725	
P22979	Heat shock protein 67B3	54.27	8	22	8	605480.5877299999	465383.83758	
P23128	ATP-dependent RNA helicase me31b	5.23	3	7	3	47308.0501	43738.2669	
P23226	205 kDa microtubule-associated protein	24.39	23	63	0	506265.64983999997	359235.51859	
P23257	Tubulin gamma-1 chain	5.68	3	4	1	15549.086200000002	12367.5972	
P23625	G protein alpha q subunit	54.67	20	124	18	3900523.43018	3141880.64218	
P23654	Neurotactin	8.87	7	17	0	131330.6279	105176.74567	
P23696	Serine/threonine-protein phosphatase PP2A	18.12	5	10	0	70022.30616000001	45013.5605	
P23779	Cystatin-like protein	63.49	8	26	8	1596055.35882	1264387.34377	
P24156	Prohibitin 1	73.91	17	62	0	1184273.74475	976787.89154	
P25007	Peptidyl-prolyl cis-trans isomerase	51.98	15	120	10	12692794.30568	10647658.02085	
P25160	ADP-ribosylation factor-like protein 1	4.44	1	2	1	2598.7934	4130.3038	
P25161	Probable 26S proteasome non-ATPase regulatory subunit 3	29.76	16	40	0	302803.65165	258684.87471	
P25171	Regulator of chromosome condensation	10.42	5	9	5	39679.10493	35747.55104	
P25172	Protein suppressor 2 of zeste	1.75	2	2	0	2887.5819	2099.41	
P25228	Ras-related protein Rab-3	30.45	6	18	0	108160.62689999999	105960.1724	
P25455	1-phosphatidylinositol 4,5-bisphosphate phosphodiesterase classes I and II	5.69	9	11	9	41901.4792	34136.362550000005	
P25822	Maternal protein pumilio	3.39	5	8	0	27144.066170000002	22971.67344	
P25843	Profilin	88.89	7	27	0	809420.05845	747168.88916	
P25867	Ubiquitin-conjugating enzyme E2-17 kDa	12.24	2	6	0	242941.1808	264943.2803	
P26270	26S proteasome non-ATPase regulatory subunit 7	7.69	3	9	0	124901.1107	122816.6436	
P26308	Guanine nucleotide-binding protein subunit beta-1	24.71	7	32	0	1086794.7856	794716.1865300001	
P26686	Serine-arginine protein 55	18.35	8	14	0	168536.67316	121983.037	
P27716	Innexin inx1	11.33	5	7	0	56713.9109	59438.8459	
P27779	Pupal cuticle protein Edg-78E	38.52	3	20	0	193475.28127	93747.68634	
P28668	Bifunctional glutamate/proline--tRNA ligase	4.9	9	11	9	33360.38276	23564.32743	
P29052	Transcription initiation factor IIB	13.65	5	13	0	47010.8861	40497.600640000004	
P29310	14-3-3 protein zeta	69.35	18	328	0	17399250.27776	13963035.49229	
P29327	Small ribosomal subunit protein eS6	26.21	6	24	2	419552.80077	324824.31737	
P29413	Calreticulin	57.64	21	79	0	5096219.31356	4118587.12976	
P29613	Triosephosphate isomerase	77.73	17	135	16	10630353.12595	8436011.07591	
P29742	Clathrin heavy chain	8.76	16	22	0	78475.74315	61891.43047	
P29746	Protein bangles and beads	59.28	23	66	23	1222502.31798	875411.65459	
P29829	Guanine nucleotide-binding protein subunit beta-2	48.55	16	75	16	3259094.04411	2731953.12783	
P29843	Heat shock 70 kDa protein cognate 1	25.59	15	100	2	6062.2086	3850.9602999999997	
P29844	Endoplasmic reticulum chaperone BiP	65.7	42	234	0	7137949.58086	5839437.5942	
P29845	Heat shock 70 kDa protein cognate 5	59.18	46	206	0	6222035.31171	4853137.05908	
P30432	Furin-like protease 2	2.44	4	6	0	12485.7249	6880.41856	
P31009	Small ribosomal subunit protein uS5	41.2	11	51	0	694842.19272	560293.4577799999	
P31409	V-type proton ATPase subunit B	52.45	21	89	0	1710115.3733700002	1445294.5769500001	
P32100	Large ribosomal subunit protein uL30	45.24	15	40	0	1056424.0984	965729.3865400001	
P32234	Guanylate binding protein 128up	11.14	4	4	3	85193.5967	69340.6223	
P32392	Actin-related protein 3	16.99	7	15	7	85192.97927000001	63976.137780000005	
P32748	Dihydroorotate dehydrogenase (quinone), mitochondrial	15.06	7	17	7	23889.2105	19933.45045	
P33438	Glutactin	23.98	23	64	0	546829.95625	604451.4242	
P34082	Fasciclin-2	23.02	17	30	0	240205.30813	124529.02248	
P35122	Ubiquitin carboxyl-terminal hydrolase	55.07	9	24	0	840992.60412	664452.14982	
P35128	Ubiquitin-conjugating enzyme E2 N	60.93	8	20	0	807267.9377	633158.20187	
P35220	Catenin alpha	24.1	22	60	12	446567.96043	380954.19339000003	
P35381	ATP synthase subunit alpha, mitochondrial	73.91	46	498	46	29608148.42676	22597069.55376	
P35415	Paramyosin, long form	75.2	85	589	0	31889870.12788	25212618.53495	
P35416	Paramyosin, short form	62.19	47	347	0	2579516.9324	2003261.79659	
P35421	Phosphoribosylformylglycinamidine synthase	0.59	1	2	1	2310.1455	1856.8894	
P35554	Flightin	46.7	7	14	0	83440.72649	52655.62888	
P35992	Tyrosine-protein phosphatase 10D	4.62	10	11	9	35448.08064	24589.687280000002	
P36179	Serine/threonine-protein phosphatase PP2A 65 kDa regulatory subunit	36.55	21	62	0	1317585.70749	1191484.63438	
P36188	Troponin I	46.1	16	73	0	6148881.0326000005	4754856.73512	
P36241	Large ribosomal subunit protein eL19	24.14	5	17	5	1197685.04946	979648.32638	
P36872	Protein phosphatase PP2A 55 kDa regulatory subunit	7.82	4	5	0	3510.3675499999995	1738.4667	
P36951	Putative hydroxypyruvate isomerase	43.18	10	27	10	799727.3284	650180.4539000001	
P36958	DNA-directed RNA polymerase II subunit RPB9	5.43	1	1	0	3672.5642	2743.1804	
P36975	Synaptosomal-associated protein 25	85.38	19	157	17	4990295.71678	3878380.16958	
P37193	Adrenodoxin-like protein 1, mitochondrial	29.07	4	7	0	215461.27065	188299.17157	
P37236	Frequenin-1	56.15	9	52	0	184842.29499999998	140609.05917	
P37276	Dynein heavy chain, cytoplasmic	0.86	5	6	0	4451.10573	3884.1013900000003	
P38040	Guanine nucleotide-binding protein subunit gamma-1	77.14	6	36	6	412225.7005	318615.42385	
P38979	Small ribosomal subunit protein uS2	81.85	17	57	17	2743215.59385	2511026.61784	
P39018	Small ribosomal subunit protein eS19A	53.85	11	59	0	4899444.98406	3968291.2484	
P39736	Puff-specific protein Bx42	12.61	6	12	0	26762.02245	20511.9434	
P40301	Proteasome subunit alpha type-2	15.81	3	4	3	142208.5411	130545.8657	
P40304	Proteasome subunit beta type-1	33.62	7	18	7	166017.75218	146749.89441	
P40320	S-adenosylmethionine synthase	8.33	4	6	0	43192.1162	45079.5784	
P40417	Mitogen-activated protein kinase ERK-A	36.17	12	29	7	250166.5737	282369.58914	
P40421	Serine/threonine-protein phosphatase rdgC	6.96	5	12	0	102382.7412	77205.25906	
P40423	Myosin regulatory light chain sqh	33.91	5	29	0	421240.21423000004	345176.29466	
P40427	Homeobox protein extradenticle	3.72	1	4	0	5209.56188	5263.9398	
P40792	Ras-related protein Rac1	22.4	4	22	0	162275.9498	124889.34240000001	
P40793	Cdc42 homolog	27.75	5	16	0	169751.28579999998	127958.79933	
P40796	La protein homolog	30.26	11	26	10	360296.50567	310191.13246	
P40797	Protein peanut	12.62	7	32	6	141673.96083	123594.31318	
P40945	ADP ribosylation factor 4	30.0	4	17	0	908.74	871.26575	
P41042	Small ribosomal subunit protein eS4	41.76	12	39	0	537771.2104699999	458100.2511	
P41043	Glutathione S-transferase S1	75.9	13	61	0	3551239.80278	3317079.73422	
P41044	Calbindin-32	75.48	25	116	0	5815281.958	4985722.2345	
P41073	Zinc finger protein on ecdysone puffs	22.07	14	39	0	287169.77079	232772.88277	
P41092	Large ribosomal subunit protein uL15	41.61	7	22	0	580046.74182	500174.72225999995	
P41093	Large ribosomal subunit protein eL20	33.33	7	21	7	604266.1274	454275.40159	
P41094	Small ribosomal subunit protein uS13	59.87	15	60	15	2289819.79185	1989846.89496	
P41126	Large ribosomal subunit protein eL13	48.17	12	57	0	2674308.8516	2285307.78138	
P41374	Eukaryotic translation initiation factor 2 subunit 1	45.45	15	42	0	579811.57914	476363.21256	
P41375	Eukaryotic translation initiation factor 2 subunit 2	19.87	7	16	7	133651.55752	115971.92968	
P41572	6-phosphogluconate dehydrogenase, decarboxylating	23.49	10	30	0	262148.516	254956.30155	
P41900	General transcription factor IIF subunit 2	8.3	2	2	2	24288.021299999997	20901.787	
