Accession	Description	Coverage [%]	# Peptides	# PSMs	# Unique Peptides	Abundance: F8: 127C, Sample, n/a, SF1g_F3	Abundances Count: F8: 127C, Sample, n/a, SF1g_F3	Modifications
C0HK92	Uncharacterized protein CG45076	59.45	40	132	0	6541454.69687	117	
C0HK94	Uncharacterized protein CG45078	64.42	14	34	12	897663.3306	23	
C0HK95	Protein anoxia up-regulated	87.02	12	67	10	1964537.71422	46	
C0HKA0	Small ribosomal subunit protein uS11A	47.68	7	23	0	1460129.4065	21	
C0HL62	Larval cuticle protein 65Ab1	46.15	3	8	0	238327.5202	8	
C0HL66	Histone H3.3A	55.15	7	37	0	33202.92433	5	
C0HLZ9	Baramicin A1	17.51	4	6	0	170787.8016	5	
C4NYP8	Hsc70-interacting protein 1	40.85	15	41	0	2240620.75226	38	
E1JIT7	PH and SEC7 domain-containing protein	2.12	3	3	3	17153.66623	3	
F3YDF1	ATP-dependent zinc metalloprotease YME1L	12.7	9	13	0	153150.3481	12	
M9NDE3	Protein bark beetle	4.42	14	14	14	114629.97099999999	11	
M9PF61	Aldo-keto reductase 1B	60.0	21	73	21	12225275.0789	69	
M9PFN0	Phosphatase Herzog	21.88	7	13	7	122820.5815	10	
O01367	Protein held out wings	18.52	7	14	0	266466.73569	13	
O01404	Peptidylglycine alpha-hydroxylating monooxygenase	17.26	6	16	0	714085.9441000001	13	
O01666	ATP synthase subunit gamma, mitochondrial	59.26	19	142	19	12374839.8553	127	
O02194	Presenilin homolog	5.73	2	2	0	11874.014	1	
O02195	Eukaryotic translation initiation factor 3 subunit I	44.48	11	19	11	959461.5998	18	
O02649	Heat shock protein 60A	76.27	44	168	28	19738868.50605	148	
O15943	Neural-cadherin	17.05	53	82	2	1755677.19817	78	
O16797	Large ribosomal subunit protein uL3	15.62	8	13	8	260386.3747	12	
O17444	Vesicular acetylcholine transporter	10.9	5	7	5	51618.69908	5	
O17445	Large ribosomal subunit protein eL15	12.25	3	6	0	24826.161500000002	3	
O18333	Ras-related protein Rab-2	44.6	9	17	9	444715.72078000003	17	
O18334	Ras-related protein Rab6	33.17	8	22	0	119208.80559999999	8	
O18373	Inactive selenide, water dikinase-like protein	21.36	10	22	10	1274497.0992	21	
O18388	Importin subunit beta	3.85	4	4	0	81034.39285999999	4	
O18404	3-hydroxyacyl-CoA dehydrogenase type-2	83.53	18	148	18	14638081.91793	120	
O18413	26S proteasome regulatory subunit 8	48.4	20	54	8	1244187.2357	37	
O18640	Small ribosomal subunit protein RACK1	27.67	11	15	0	628404.54576	14	
O44081	H/ACA ribonucleoprotein complex subunit 4	3.15	2	2	0	11175.179	1	
O44342	Protein windbeutel	17.51	4	5	0	56246.897	5	
O44386	Integrin alpha-PS3	7.26	8	10	6	160481.75813	9	
O44437	Small nuclear ribonucleoprotein Sm D3	24.5	4	6	4	389111.5797	5	
O46037	Vinculin	59.31	53	121	0	4355613.9891	107	
O46084	Serine/threonine-protein phosphatase Pgam5, mitochondrial	3.46	1	1	0	10115.544	1	
O46098	LYR motif-containing protein 4 homolog	69.57	8	18	8	739880.21362	17	
O46106	Splicing factor 3A subunit 3	23.06	9	11	9	237532.9491	9	
O46339	Homeobox protein homothorax	5.54	2	2	2	9299.4154	2	
O61231	Large ribosomal subunit protein uL16	44.04	12	22	0	933550.17	17	
O61305	DEAD-box helicase Dbp80	3.7	2	2	0	35961.765	2	
O61307	Teneurin-m	2.01	4	4	0	71616.843	2	
O61443	Mitogen-activated protein kinase p38b	15.89	6	10	3	206338.9295	10	
O61491	Flotillin-1	57.51	24	64	24	3482282.2299	59	
O61722	PRL-1 phosphatase	67.05	10	24	10	475129.5255	21	
O62619	Pyruvate kinase	69.79	30	93	30	8972253.15785	76	
O62621	Coatomer subunit beta'	2.08	2	2	2	7312.0327	2	
O76206	Putative riboflavin kinase	39.87	6	13	0	547897.5153999999	9	
O76454	Pterin-4-alpha-carbinolamine dehydratase	33.85	4	7	4	410844.675	6	
O76742	Ras-related protein Rab7	37.68	8	13	8	458329.63139999995	12	
O76878	RILP-like protein homolog	18.96	7	9	0	65632.779	7	
O76902	Pleckstrin homology domain-containing family F member 1 homolog	11.39	4	10	4	196455.4021	10	
O76927	Small ribosomal subunit protein eS21	72.29	6	20	0	389528.862	14	
O77051	Transcription factor E2F2	16.76	6	8	0	57130.86633	6	
O77263	tRNA (guanine-N(7)-)-methyltransferase	24.61	4	6	4	69443.6599	6	
O77277	Torsin-like protein	10.0	4	5	0	135245.6428	5	
O77410	Eukaryotic translation initiation factor 3 subunit E	8.97	4	5	4	54039.2114	4	
O96553	C-1-tetrahydrofolate synthase, cytoplasmic	20.35	21	24	0	413731.2214	22	
O96690	Protein PDF	15.69	1	2	1	8787.019	1	
O96827	Probable elongation factor 1-beta	83.78	18	101	0	6538823.08366	94	
O97067	Probable peptidyl-tRNA hydrolase 2	30.65	5	9	0	147837.28449999998	8	
O97125	Heat shock protein 68	30.39	17	74	11	879140.7439	25	
O97172	UPF0729 protein CG18508	29.29	3	3	0	25094.872	2	
O97394	Protein sidekick	0.45	1	1	0	857.24097	1	
O97422	Galactosylgalactosylxylosylprotein 3-beta-glucuronosyltransferase I	8.17	3	3	3	58369.278999999995	3	
O97477	Inositol-3-phosphate synthase	29.56	14	50	14	4321456.80702	43	
P00334	Alcohol dehydrogenase	88.28	23	232	23	79354004.38992	198	
P00408	Cytochrome c oxidase subunit 2	33.77	7	27	7	3262193.7181	22	
P00522	Tyrosine-protein kinase Abl	2.9	3	4	0	12817.75745	3	
P02255	Histone H1	25.0	5	6	0	55421.7776	6	
P02283	Histone H2B	56.91	8	80	8	8978071.84855	72	
P02299	Histone H3	55.15	7	35	2	8835588.8884	29	
P02515	Heat shock protein 22	38.51	7	11	7	412822.9363	10	
P02516	Heat shock protein 23	84.95	16	72	0	10246745.93018	64	
P02517	Heat shock protein 26	48.08	8	23	0	3477040.1647	23	
P02518	Heat shock protein 27	55.87	11	23	0	1549418.01105	18	
P02572	Actin-42A	74.2	30	655	3	288113663.98785	581	
P02574	Actin, larval muscle	66.22	27	546	0	2144826.4459	19	
P02828	Heat shock protein 83	51.74	42	171	0	19147616.85428	165	
P02843	Vitellogenin-1	65.15	29	248	0	56557070.39496	185	
P02844	Vitellogenin-2	66.97	26	196	0	44859162.23026	150	
P04197	Myb protein	2.28	2	2	0	7822.2321	2	
P04359	Large ribosomal subunit protein eL32	38.81	5	9	5	602413.365	8	
P04388	Ras-like protein 2	25.0	4	8	4	326032.7243	7	
P05031	Aromatic-L-amino-acid decarboxylase	6.47	2	2	2	8046.0841	2	
P05205	Heterochromatin protein 1	44.66	9	23	9	726205.36829	19	
P05303	Elongation factor 1-alpha 2	53.9	27	157	0	3170060.04466	36	
P05389	Large ribosomal subunit protein P2	29.2	3	13	3	3125799.228	12	
P05552	Transcription factor Adf-1	17.56	4	5	0	98963.12	4	
P05661	Myosin heavy chain, muscle	53.31	127	445	0	468136.29449999996	10	
P05812	Heat shock protein 67B1	22.7	8	11	8	140953.10657	11	
P06002	Opsin Rh1	7.24	3	7	3	260306.2379	5	
P06603	Tubulin alpha-1 chain	59.33	26	218	0	81366266.24573	186	
P06607	Vitellogenin-3	80.0	35	270	0	98462900.74731	243	
P06742	Myosin light chain alkali	55.48	9	117	0	26625642.9343	97	
P07207	Neurogenic locus Notch protein	1.0	2	2	0	3580.0604000000003	2	
P07486	Glyceraldehyde-3-phosphate dehydrogenase 1	76.81	23	131	9	9667133.2868	33	
P07487	Glyceraldehyde-3-phosphate dehydrogenase 2	84.04	23	146	0	32183719.3257	132	
P07665	Serendipity locus protein beta	5.9	3	4	0	69893.5401	4	
P07668	Choline O-acetyltransferase	14.7	8	8	8	38793.42066	8	
P07764	Fructose-bisphosphate aldolase	88.92	42	386	0	123826268.68538	329	
P08111	Lethal(2) giant larvae protein	9.3	10	10	0	123999.6058	8	
P08120	Collagen alpha-1(IV) chain	6.35	9	22	9	561909.6247	22	
P08144	Alpha-amylase A	22.87	10	19	0	658331.58835	17	
P08171	Esterase-6	15.26	8	18	0	776296.10966	17	
P08181	Casein kinase II subunit alpha	10.42	3	5	0	108214.482	5	
P08182	Casein kinase II subunit beta	38.72	8	19	2	1229158.163	18	
P08570	Large ribosomal subunit protein P1	70.54	4	46	0	8927680.3732	45	
P08645	Ras-related protein Rap1	40.76	6	13	0	346106.96129	11	
P08646	Ras-like protein 1	38.62	7	19	7	1038960.3131	17	
P08736	Elongation factor 1-alpha 1	49.46	27	176	12	45531520.01666	155	
P08761	Peptide methionine sulfoxide reductase	35.77	7	12	0	578288.04523	12	
P08879	Nucleoside diphosphate kinase	69.28	8	123	0	12139398.47297	100	
P08928	Lamin	75.72	60	199	59	11511676.55503	175	
P08985	Histone H2A.v	42.55	10	39	8	3970904.1079	27	
P09040	Drosulfakinins	17.73	3	4	3	87212.30459999999	4	
P09180	Large ribosomal subunit protein uL4	45.14	22	52	22	3993435.53452	47	
P09208	Insulin-like receptor	2.19	5	6	5	17445.9905	4	
P09491	Tropomyosin-2	82.39	40	292	3	968379.3275	10	
P0DKM0	Cytochrome c oxidase assembly factor 3, mitochondrial	41.38	5	9	5	165049.6557	8	
P10379	Protein unzipped	27.46	11	26	0	952279.5404	24	
P10552	FMRFamide-related peptides	8.36	3	4	3	262533.61100000003	4	
P10676	Neither inactivation nor afterpotential protein C	30.38	50	73	12	1502640.11745	64	
P10981	Actin-87E	69.15	30	649	0	14434816.4918	27	
P10987	Actin-5C	74.2	31	679	0	3876248.2245	23	
P11046	Laminin subunit beta-1	29.14	47	83	47	4400592.8649	74	
P11146	Heat shock 70 kDa protein cognate 2	11.37	6	39	1	894.4739	1	
P11147	Heat shock 70 kDa protein cognate 4	86.18	55	389	0	68350825.67489	334	
P11584	Integrin beta-PS	27.54	22	46	0	1934552.4765	44	
P12024	Chaoptin	34.98	42	110	0	4694451.876	100	
P12080	Integrin alpha-PS2	12.39	17	21	17	1047514.63138	19	
P12252	3',5'-cyclic-AMP phosphodiesterase	18.88	16	26	0	19644.0489	3	
P12370	cAMP-dependent protein kinase catalytic subunit 1	51.84	21	54	20	4359812.68133	49	
P12426	Adenine phosphoribosyltransferase	20.88	4	4	0	48036.58	4	
P12613	T-complex protein 1 subunit alpha	23.88	13	17	0	549468.02888	15	
P12646	Glucose-6-phosphate 1-dehydrogenase	3.63	2	3	2	31866.499	3	
P12881	Proteasome subunit alpha type-1	64.52	16	47	0	3747327.20681	44	
P12982	Serine/threonine-protein phosphatase alpha-2 isoform	22.52	6	16	1	389801.97599999997	10	
P13008	Small ribosomal subunit protein eS26	21.05	2	10	0	438634.2169	9	
P13060	Eukaryotic translation elongation factor 2	27.96	24	44	24	2444586.7782	39	
P13217	1-phosphatidylinositol 4,5-bisphosphate phosphodiesterase	43.56	47	121	0	5532654.8296	109	
P13395	Spectrin alpha chain	66.34	150	596	0	52903318.21254	544	
P13469	DNA-binding protein modulo	6.83	4	4	0	79564.4118	4	
P13496	Dynactin subunit 1	19.53	26	29	26	553624.97237	28	
P13607	Sodium/potassium-transporting ATPase subunit alpha	44.67	44	149	0	4974898.05671	133	
P13677	Protein kinase C, eye isozyme	10.71	8	13	7	229496.0921	12	
P13678	Protein kinase C	6.22	5	6	0	45974.929000000004	4	
P13706	Glycerol-3-phosphate dehydrogenase [NAD(+)], cytoplasmic	87.88	29	188	0	12704.26	1	
P14199	Protein ref(2)P	21.04	10	16	10	818009.9902	15	
P14318	Muscle-specific protein 20	83.15	21	93	21	13570444.3966	86	
P14484	Pupal cuticle protein	27.17	5	23	5	1236602.4327	21	
P15007	Enolase	77.8	36	335	1	70618870.9103	299	
P15215	Laminin subunit gamma-1	38.87	56	107	0	6165000.0546	101	
P15330	Embryonic polarity protein dorsal	5.31	4	4	0	31964.405099999996	4	
P15357	Ubiquitin-ribosomal protein eS31 fusion protein	42.31	6	62	1	8599783.59194	59	
P15364	Protein amalgam	24.62	6	10	0	226636.9941	9	
P15372	Phosrestin-2	69.78	24	97	0	3759933.33279	88	
P15425	Peptidyl-prolyl cis-trans isomerase, rhodopsin-specific isozyme	24.05	4	5	4	180199.684	4	
P16378	G protein alpha o subunit	26.27	11	43	8	4197862.17092	39	
P16554	Protein numb	19.06	9	11	0	198624.56775	11	
P16568	Protein bicaudal D	20.59	17	19	0	414470.3469	18	
P16620	Tyrosine-protein phosphatase 69D	5.81	8	9	8	356831.0366	8	
P16621	Tyrosine-protein phosphatase Lar	0.59	1	1	0	4176.576	1	
P16914	Protein elav	34.58	12	38	0	1408619.70484	34	
P17210	Kinesin heavy chain	46.77	45	96	45	3658793.2525	83	
P17276	Protein henna	40.04	15	35	0	2221216.3176	33	
P17336	Catalase	44.47	19	65	19	4589827.17376	54	
P17704	Small ribosomal subunit protein eS17	58.78	9	30	9	2223657.1037	28	
P17719	Dihydrofolate reductase	26.92	4	8	4	123628.77359999999	7	
P18053	Proteasome subunit alpha type-4	56.06	13	46	11	4347192.8675999995	41	
P18173	Glucose dehydrogenase [FAD, quinone]	2.56	2	2	0	24180.8256	2	
P18431	Protein kinase shaggy	43.77	19	57	0	2679245.55124	51	
P18432	Myosin regulatory light chain 2	84.68	18	240	18	40333185.43231	225	
P18459	Tyrosine 3-monooxygenase	16.75	11	13	0	248411.0774	12	
P18824	Armadillo segment polarity protein	17.67	13	22	0	223530.26009999998	17	
P19107	Phosrestin-1	71.82	33	296	33	32737479.83374	277	
P19109	ATP-dependent RNA helicase p62	21.7	15	25	0	1385824.37473	23	
P19334	Transient receptor potential protein	4.39	6	7	5	27039.8966	5	
P19339	Protein sex-lethal	5.65	2	2	0	40318.262	2	
P19351	Troponin T, skeletal muscle	53.4	35	115	0	867068.7166	11	
P19889	Large ribosomal subunit protein uL10	50.79	15	61	0	8868288.147400001	59	
P20007	Phosphoenolpyruvate carboxykinase [GTP]	5.87	4	4	3	83425.5278	3	
P20153	Protein ultraspiracle	1.57	1	1	0	16671.691	1	
P20228	Glutamate decarboxylase	20.78	11	32	0	815373.47617	31	
P20232	Transcription elongation factor S-II	38.02	12	19	0	462603.67358	17	
P20240	Otefin	40.8	14	20	14	316385.0005	16	
P20241	Neuroglian	26.04	33	88	0	4188693.1305	82	
P20348	Sex-regulated protein janus-A	39.26	6	13	6	549326.0614	11	
P20351	Tryptophan 2,3-dioxygenase	9.5	3	3	3	43796.119	3	
P20354	G protein alpha s subunit	47.01	15	32	1	4272.99	1	
P20385	Chorion transcription factor Cf2	11.96	6	6	0	35564.2263	6	
P20432	Glutathione S-transferase D1	52.15	14	87	11	21992005.278330002	76	
P20477	Glutamine synthetase 1, mitochondrial	53.38	20	72	0	11390189.9067	66	
P20478	Glutamine synthetase 2 cytoplasmic	76.96	26	204	0	57683884.49883	178	
P21187	Polyadenylate-binding protein	26.81	13	31	13	1514622.2734	31	
P21914	Succinate dehydrogenase [ubiquinone] iron-sulfur subunit, mitochondrial	60.61	20	123	18	12877786.366489999	108	
P22465	Annexin B10	76.01	24	137	24	15133213.15465	119	
P22769	Proteasome subunit alpha type-7-1	58.63	12	28	10	1804945.7151600001	26	
P22813	Heat shock factor protein	4.34	3	3	0	11566.7687	2	
P22815	Protein bride of sevenless	2.01	2	3	2	23209.4639	3	
P22979	Heat shock protein 67B3	55.28	7	20	7	852576.80016	17	
P23128	ATP-dependent RNA helicase me31b	12.2	5	6	5	50405.926400000004	6	
P23226	205 kDa microtubule-associated protein	27.34	25	45	0	789596.74428	39	
P23257	Tubulin gamma-1 chain	3.58	2	2	0	31564.227	2	
P23625	G protein alpha q subunit	57.51	21	85	18	8447235.0856	77	
P23654	Neurotactin	15.84	11	14	0	212514.4332	14	
P23696	Serine/threonine-protein phosphatase PP2A	37.86	9	15	0	429617.35	12	
P23779	Cystatin-like protein	57.94	7	40	7	3108808.22025	36	
P24156	Prohibitin 1	68.12	18	72	0	5542399.25723	68	
P25007	Peptidyl-prolyl cis-trans isomerase	44.05	12	142	9	33936754.21882	123	
P25153	Ubiquitin-conjugating enzyme E2-17 kDa	17.22	2	3	0	189978.06	2	
P25160	ADP-ribosylation factor-like protein 1	10.56	2	4	2	39065.1856	4	
P25161	Probable 26S proteasome non-ATPase regulatory subunit 3	29.76	17	28	0	1429661.3750200002	27	
P25171	Regulator of chromosome condensation	10.42	5	6	5	151429.898	5	
P25172	Protein suppressor 2 of zeste	1.61	2	2	0	4956.876200000001	2	
P25228	Ras-related protein Rab-3	37.73	7	22	0	208388.03694999998	9	
P25455	1-phosphatidylinositol 4,5-bisphosphate phosphodiesterase classes I and II	6.37	9	10	9	141705.14860000001	9	
P25822	Maternal protein pumilio	3.13	5	6	0	79468.8745	6	
P25843	Profilin	88.89	7	37	0	1724679.2921799999	33	
P25867	Ubiquitin-conjugating enzyme E2-17 kDa	12.24	2	9	0	2296402.861	9	
P26270	26S proteasome non-ATPase regulatory subunit 7	15.38	6	12	0	294068.6541	12	
P26308	Guanine nucleotide-binding protein subunit beta-1	25.29	9	25	0	1047357.5584	21	
P26686	Serine-arginine protein 55	19.68	7	14	0	393983.34404	14	
P27716	Innexin inx1	2.49	1	1	0	2029.2194	1	
P27779	Pupal cuticle protein Edg-78E	9.84	2	9	0	394245.24554000003	8	
P28668	Bifunctional glutamate/proline--tRNA ligase	4.67	8	9	8	93436.3925	9	
P29052	Transcription initiation factor IIB	16.83	6	10	0	193700.0639	10	
P29310	14-3-3 protein zeta	68.55	19	282	0	53138249.37611	237	
P29327	Small ribosomal subunit protein eS6	20.16	5	15	2	1031993.8082	15	
P29413	Calreticulin	58.13	22	67	0	9486134.4438	61	
P29613	Triosephosphate isomerase	78.54	20	145	19	35278162.97494	138	
P29742	Clathrin heavy chain	7.99	13	14	0	157644.0017	11	
P29746	Protein bangles and beads	63.12	27	57	27	5117425.2859	56	
P29829	Guanine nucleotide-binding protein subunit beta-2	50.58	17	78	17	4314133.9181	66	
P29843	Heat shock 70 kDa protein cognate 1	27.15	16	75	2	195014.66629999998	7	
P29844	Endoplasmic reticulum chaperone BiP	65.24	43	255	0	20200691.92354	174	
P29845	Heat shock 70 kDa protein cognate 5	59.18	46	196	0	19838790.89324	162	
P30432	Furin-like protease 2	2.5	4	4	0	28150.248	3	
P31007	Disks large 1 tumor suppressor protein	34.33	35	113	1	6646.2524	1	
P31009	Small ribosomal subunit protein uS5	50.56	12	38	0	6517293.671	37	
P31409	V-type proton ATPase subunit B	62.65	26	100	0	4880418.4424	82	
P32100	Large ribosomal subunit protein uL30	44.44	13	35	0	2780878.0201	29	
P32234	Guanylate binding protein 128up	16.85	6	9	5	192063.3458	9	
P32392	Actin-related protein 3	26.56	9	16	9	437856.06315999996	16	
P32748	Dihydroorotate dehydrogenase (quinone), mitochondrial	24.2	10	18	10	539468.8003	18	
P33438	Glutactin	36.94	29	56	0	1020225.05325	47	
P34082	Fasciclin-2	26.8	21	34	0	868308.2027	28	
P35122	Ubiquitin carboxyl-terminal hydrolase	59.91	10	28	0	1597741.08146	23	
P35128	Ubiquitin-conjugating enzyme E2 N	50.99	6	24	0	1349232.6926	23	
P35220	Catenin alpha	26.39	24	38	14	976309.94065	35	
P35381	ATP synthase subunit alpha, mitochondrial	67.57	50	417	50	122559883.83241	368	
P35415	Paramyosin, long form	75.2	91	521	0	67518065.59607	459	
P35416	Paramyosin, short form	60.0	45	292	0	7149145.19656	51	
P35421	Phosphoribosylformylglycinamidine synthase	2.81	4	4	4	17099.266	4	
P35554	Flightin	54.4	9	20	0	2305143.8333	19	
P35992	Tyrosine-protein phosphatase 10D	2.86	7	7	6	76482.5048	7	
P36179	Serine/threonine-protein phosphatase PP2A 65 kDa regulatory subunit	47.88	23	58	0	4466077.20639	55	
P36188	Troponin I	57.99	21	83	0	14909139.59695	78	
P36241	Large ribosomal subunit protein eL19	31.53	7	19	7	1543407.67235	15	
P36872	Protein phosphatase PP2A 55 kDa regulatory subunit	5.21	3	4	0	13370.017100000001	4	
P36951	Putative hydroxypyruvate isomerase	42.05	10	33	10	2575697.1128000002	31	
P36958	DNA-directed RNA polymerase II subunit RPB9	31.01	3	6	0	111551.84640000001	2	
P36975	Synaptosomal-associated protein 25	87.74	21	143	19	9555656.62281	113	
P37193	Adrenodoxin-like protein 1, mitochondrial	22.67	3	9	0	393448.1343	9	
P37236	Frequenin-1	71.66	12	40	0	1380209.3536	12	
P37276	Dynein heavy chain, cytoplasmic	0.17	1	1	0	6095.736	1	
P38040	Guanine nucleotide-binding protein subunit gamma-1	68.57	5	24	5	1107984.98994	12	
P38979	Small ribosomal subunit protein uS2	75.19	16	83	16	11017856.10225	70	
P39018	Small ribosomal subunit protein eS19A	64.74	14	52	0	6709417.3184	52	
P39736	Puff-specific protein Bx42	9.87	4	5	0	47492.4986	4	
P40301	Proteasome subunit alpha type-2	23.08	5	8	5	274843.6632	6	
P40304	Proteasome subunit beta type-1	31.91	7	13	7	659421.0345000001	12	
P40320	S-adenosylmethionine synthase	12.5	6	7	0	245183.27000000002	6	
P40417	Mitogen-activated protein kinase ERK-A	55.59	15	36	8	1477261.92656	31	
P40421	Serine/threonine-protein phosphatase rdgC	8.77	5	6	0	10677.16423	5	
P40423	Myosin regulatory light chain sqh	51.15	7	22	0	1065918.7996	20	
P40427	Homeobox protein extradenticle	9.31	3	4	0	138491.8168	4	
P40792	Ras-related protein Rac1	34.38	6	13	0	961935.5838	13	
P40793	Cdc42 homolog	24.61	4	8	0	472835.5975	7	
P40796	La protein homolog	40.51	13	18	12	559434.705	16	
P40797	Protein peanut	38.4	19	35	18	1355320.111	35	
P40945	ADP ribosylation factor 4	38.33	5	12	0	173640.2591	7	
P40946	ADP-ribosylation factor 6	21.14	3	5	3	438963.9592	5	
P41042	Small ribosomal subunit protein eS4	45.59	12	38	0	1386927.4982999999	32	
P41043	Glutathione S-transferase S1	83.53	19	72	0	8381565.03557	67	
P41044	Calbindin-32	76.77	26	157	0	13171876.10069	144	
P41073	Zinc finger protein on ecdysone puffs	19.55	13	28	0	880868.44523	25	
P41092	Large ribosomal subunit protein uL15	36.24	6	22	0	2281791.877	21	
P41093	Large ribosomal subunit protein eL20	44.07	8	14	8	934762.7645	14	
P41094	Small ribosomal subunit protein uS13	60.53	15	46	15	4577542.5309	43	
P41126	Large ribosomal subunit protein eL13	44.5	13	50	0	4181243.04234	42	
P41374	Eukaryotic translation initiation factor 2 subunit 1	48.39	18	46	0	3175348.7381	40	
P41375	Eukaryotic translation initiation factor 2 subunit 2	16.67	6	8	6	177284.4413	7	
P41572	6-phosphogluconate dehydrogenase, decarboxylating	32.22	12	20	0	1038423.82295	19	
P41900	General transcription factor IIF subunit 2	6.86	1	1	1	473.09665	1	
P42207	Septin-1	12.47	5	7	4	131840.88030000002	5	
P42281	Acyl-CoA-binding protein homolog	77.91	8	49	7	6729951.51615	45	
P42325	Neurocalcin homolog	61.05	12	34	12	1987708.36091	31	
P42787	Carboxypeptidase D	5.33	7	15	0	284210.42757	12	
P43332	U1 small nuclear ribonucleoprotein A	17.59	4	5	4	282464.803	5	
P45437	Coatomer subunit beta	8.61	5	8	5	121073.07549999999	6	
P45594	Cofilin/actin-depolymerizing factor homolog	85.81	15	98	15	17709723.8556	85	
P45888	Actin-related protein 2	28.82	9	17	9	1027272.592	15	
P45889	Actin-related protein 1	37.23	12	24	12	926241.2413999999	22	
P46150	Moesin/ezrin/radixin homolog 1	44.12	31	74	0	22502.389	1	
P46222	Large ribosomal subunit protein uL5	32.61	7	20	0	1205268.9462599999	17	
P46223	Large ribosomal subunit protein eL8	34.69	11	35	0	3534242.7081	35	
P46415	Alcohol dehydrogenase class-3	14.25	6	12	6	523442.311	10	
P46461	Vesicle-fusing ATPase 1	51.81	38	76	0	2198617.71391	70	
P46824	Kinesin light chain	48.43	25	56	0	3203886.9599	50	
P47947	Troponin C, isoform 1	20.78	3	32	0	4197878.3946	31	
P47948	Troponin C, isoform 2	48.39	6	16	0	202608.1774	9	
P47949	Troponin C, isoform 3	62.58	8	28	0	1828835.92598	24	
P48148	Ras-like GTP-binding protein Rho1	61.98	12	32	12	3654493.5275	30	
P48149	Small ribosomal subunit protein uS8A	43.85	7	30	0	2568535.4872	26	
P48159	Large ribosomal subunit protein uL14	70.71	8	39	8	2255967.9487	35	
P48375	Peptidyl-prolyl cis-trans isomerase Fkbp12	76.85	7	40	7	10012546.71187	40	
P48451	Calcineurin subunit B type 1	62.35	8	26	0	397415.95804	9	
P48461	Serine/threonine-protein phosphatase alpha-1 isoform	24.16	7	16	0	50800.057	3	
P48554	Ras-related protein Rac2	26.04	5	12	0	39185.977	1	
P48555	Ras-related protein Ral-a	58.21	10	29	1	2020294.0608	28	
P48588	Small ribosomal subunit protein eS25	19.66	2	4	2	45517.1661	4	
P48596	GTP cyclohydrolase 1	56.79	16	71	16	8987662.1998	59	
P48598	Eukaryotic translation initiation factor 4E1	39.77	7	16	0	577967.369	14	
P48601	26S proteasome regulatory subunit 4	63.33	29	66	0	2366012.33435	47	
P48602	V-type proton ATPase catalytic subunit A isoform 1	66.29	32	113	0	5890161.91222	105	
