Accession	Description	Coverage [%]	# Peptides	# PSMs	# Unique Peptides	Abundance: F8: 130C, Sample, n/a, ctrl_pool_1	Abundance: F8: 131, Sample, n/a, ctrl_pool_2	Modifications
O44386	Integrin alpha-PS3	7.26	8	10	6	119031.31066	139938.39387	
O44437	Small nuclear ribonucleoprotein Sm D3	24.5	4	6	4	206397.87529999999	234073.4157	
O46037	Vinculin	59.31	53	121	0	5224176.17296	5519756.9860000005	
O46084	Serine/threonine-protein phosphatase Pgam5, mitochondrial	3.46	1	1	0	8813.542	10103.206	
O46098	LYR motif-containing protein 4 homolog	69.57	8	18	8	1047974.9074	1315362.7741	
O46106	Splicing factor 3A subunit 3	23.06	9	11	9	290115.5025	409047.0524	
O46339	Homeobox protein homothorax	5.54	2	2	2	11980.081999999999	16489.184	
O61231	Large ribosomal subunit protein uL16	44.04	12	22	0	693459.37798	824112.79194	
O61305	DEAD-box helicase Dbp80	3.7	2	2	0	43219.08	57097.514	
O61307	Teneurin-m	2.01	4	4	0	115420.705	169413.06	
O61443	Mitogen-activated protein kinase p38b	15.89	6	10	3	129339.1102	181248.6302	
O61491	Flotillin-1	57.51	24	64	24	3032638.27404	3471695.5968	
O61722	PRL-1 phosphatase	67.05	10	24	10	529539.70677	681237.23797	
O62619	Pyruvate kinase	69.79	30	93	30	7506932.63944	9711156.51756	
O62621	Coatomer subunit beta'	2.08	2	2	2	16508.131699999998	19745.9877	
O76206	Putative riboflavin kinase	39.87	6	13	0	542106.8614	739023.3187000001	
O76454	Pterin-4-alpha-carbinolamine dehydratase	33.85	4	7	4	483087.83759999997	525505.2	
O76742	Ras-related protein Rab7	37.68	8	13	8	353645.4067	458208.6707	
O76878	RILP-like protein homolog	18.96	7	9	0	153623.8615	202702.1063	
O76902	Pleckstrin homology domain-containing family F member 1 homolog	11.39	4	10	4	232514.184	306783.4484	
O76927	Small ribosomal subunit protein eS21	72.29	6	20	0	934614.0201	741356.9112	
O77051	Transcription factor E2F2	16.76	6	8	0	65304.286	93919.8304	
O77263	tRNA (guanine-N(7)-)-methyltransferase	24.61	4	6	4	67389.7185	86898.6094	
O77277	Torsin-like protein	10.0	4	5	0	84976.507	94888.1984	
O77410	Eukaryotic translation initiation factor 3 subunit E	8.97	4	5	4	71193.8536	111361.482	
O96553	C-1-tetrahydrofolate synthase, cytoplasmic	20.35	21	24	0	562928.6634	841273.10106	
O96690	Protein PDF	15.69	1	2	1	15417.949	19345.787	
O96827	Probable elongation factor 1-beta	83.78	18	101	0	8333832.757230001	9297986.89001	
O97067	Probable peptidyl-tRNA hydrolase 2	30.65	5	9	0	191453.9077	213916.5743	
O97125	Heat shock protein 68	30.39	17	74	11	324429.2814	396724.42845	
O97172	UPF0729 protein CG18508	29.29	3	3	0	33372.421	36051.729	
O97394	Protein sidekick	0.45	1	1	0	712.1333	1799.563	
O97422	Galactosylgalactosylxylosylprotein 3-beta-glucuronosyltransferase I	8.17	3	3	3	37421.972	54389.695999999996	
O97477	Inositol-3-phosphate synthase	29.56	14	50	14	2724896.1783000003	3606175.5552	
P00334	Alcohol dehydrogenase	88.28	23	232	23	66368517.48843	87788676.66415	
P00408	Cytochrome c oxidase subunit 2	33.77	7	27	7	3474216.9581	4964156.2453	
P00522	Tyrosine-protein kinase Abl	2.9	3	4	0	36123.111300000004	43482.0853	
P02255	Histone H1	25.0	5	6	0	54394.3361	62838.4777	
P02283	Histone H2B	56.91	8	80	8	21331168.28395	20657281.07946	
P02299	Histone H3	55.15	7	35	2	9383372.80903	9988335.28326	
P02515	Heat shock protein 22	38.51	7	11	7	120053.52453	138897.16319999998	
P02516	Heat shock protein 23	84.95	16	72	0	5609492.73366	7026892.08823	
P02517	Heat shock protein 26	48.08	8	23	0	1598224.7374	2214539.0089	
P02518	Heat shock protein 27	55.87	11	23	0	993666.1539500001	1200944.04656	
P02572	Actin-42A	74.2	30	655	3	191959398.15389	244230583.74659	
P02574	Actin, larval muscle	66.22	27	546	0	851459.11546	1123753.9305	
P02828	Heat shock protein 83	51.74	42	171	0	14431366.92821	19028000.80502	
P02843	Vitellogenin-1	65.15	29	248	0	69248722.31308	76416811.45811	
P02844	Vitellogenin-2	66.97	26	196	0	45760414.75286	55170741.74916	
P04197	Myb protein	2.28	2	2	0	11597.2429	15836.061	
P04359	Large ribosomal subunit protein eL32	38.81	5	9	5	1284914.887	1252723.236	
P04388	Ras-like protein 2	25.0	4	8	4	311223.56419999996	392909.86899999995	
P05031	Aromatic-L-amino-acid decarboxylase	6.47	2	2	2	13745.3428	22651.3226	
P05205	Heterochromatin protein 1	44.66	9	23	9	876573.38759	1168289.7662	
P05303	Elongation factor 1-alpha 2	53.9	27	157	0	2697077.633	3634651.71563	
P05389	Large ribosomal subunit protein P2	29.2	3	13	3	4697600.7277	5635587.2508	
P05552	Transcription factor Adf-1	17.56	4	5	0	150614.97100000002	165784.865	
P05661	Myosin heavy chain, muscle	53.31	127	445	0	936576.5676300001	1126858.44875	
P05812	Heat shock protein 67B1	22.7	8	11	8	147923.61922	201066.63184000002	
P06002	Opsin Rh1	7.24	3	7	3	900940.371	1012497.1899000001	
P06603	Tubulin alpha-1 chain	59.33	26	218	0	34151365.48973	45780677.887889996	
P06607	Vitellogenin-3	80.0	35	270	0	109867991.20427	127187102.00147	
P06742	Myosin light chain alkali	55.48	9	117	0	27042222.483349998	31770529.64045	
P07207	Neurogenic locus Notch protein	1.0	2	2	0	5336.1309	7524.4823	
P07486	Glyceraldehyde-3-phosphate dehydrogenase 1	76.81	23	131	9	5176491.50366	6088553.83616	
P07487	Glyceraldehyde-3-phosphate dehydrogenase 2	84.04	23	146	0	24319024.76766	32787021.73227	
P07665	Serendipity locus protein beta	5.9	3	4	0	102315.5291	127503.93359999999	
P07668	Choline O-acetyltransferase	14.7	8	8	8	122829.6529	164409.766	
P07764	Fructose-bisphosphate aldolase	88.92	42	386	0	103879476.53634	137245209.91943	
P08111	Lethal(2) giant larvae protein	9.3	10	10	0	117464.9377	120825.35194	
P08120	Collagen alpha-1(IV) chain	6.35	9	22	9	361363.0689	471315.36702	
P08144	Alpha-amylase A	22.87	10	19	0	623561.94086	778010.9646000001	
P08171	Esterase-6	15.26	8	18	0	941965.2389	1060967.1322	
P08181	Casein kinase II subunit alpha	10.42	3	5	0	157479.70510000002	200545.1343	
P08182	Casein kinase II subunit beta	38.72	8	19	2	965749.2023	1215241.89276	
P08570	Large ribosomal subunit protein P1	70.54	4	46	0	12086355.2062	13910963.8468	
P08645	Ras-related protein Rap1	40.76	6	13	0	361597.7869	398969.0163	
P08646	Ras-like protein 1	38.62	7	19	7	524261.96324	867439.7487	
P08736	Elongation factor 1-alpha 1	49.46	27	176	12	43213738.66638	52427763.36615	
P08761	Peptide methionine sulfoxide reductase	35.77	7	12	0	321555.5195	368547.5659	
P08879	Nucleoside diphosphate kinase	69.28	8	123	0	13255473.44442	18351358.16736	
P08928	Lamin	75.72	60	199	59	11179732.71953	13870276.99144	
P08985	Histone H2A.v	42.55	10	39	8	8392639.7676	10459229.2243	
P09040	Drosulfakinins	17.73	3	4	3	175479.1825	171419.2699	
P09180	Large ribosomal subunit protein uL4	45.14	22	52	22	4297772.66	5186397.7458	
P09208	Insulin-like receptor	2.19	5	6	5	16967.53013	16642.25543	
P09491	Tropomyosin-2	82.39	40	292	3	1267810.6542	1053774.653	
P0DKM0	Cytochrome c oxidase assembly factor 3, mitochondrial	41.38	5	9	5	352180.988	329212.91469999996	
P10379	Protein unzipped	27.46	11	26	0	894107.2050000001	1354837.8392999999	
P10552	FMRFamide-related peptides	8.36	3	4	3	413423.949	471729.654	
P10676	Neither inactivation nor afterpotential protein C	30.38	50	73	12	5974459.4363	7105509.5674	
P10981	Actin-87E	69.15	30	649	0	5188933.96865	6368072.8223	
P10987	Actin-5C	74.2	31	679	0	4069716.0045	4125423.5447	
P11046	Laminin subunit beta-1	29.14	47	83	47	2645818.56377	3475595.8768	
P11146	Heat shock 70 kDa protein cognate 2	11.37	6	39	1	635.1386	403.5789	
P11147	Heat shock 70 kDa protein cognate 4	86.18	55	389	0	65405629.69022	79343227.75089	
P11584	Integrin beta-PS	27.54	22	46	0	888668.7372	1271097.25841	
P12024	Chaoptin	34.98	42	110	0	9002738.9951	10872831.67314	
P12080	Integrin alpha-PS2	12.39	17	21	17	511663.40926	691163.82058	
P12252	3',5'-cyclic-AMP phosphodiesterase	18.88	16	26	0	17515.489199999996	16355.24625	
P12370	cAMP-dependent protein kinase catalytic subunit 1	51.84	21	54	20	2537913.074	2977934.74265	
P12426	Adenine phosphoribosyltransferase	20.88	4	4	0	45641.2924	60913.634900000005	
P12613	T-complex protein 1 subunit alpha	23.88	13	17	0	525590.39274	671312.0844	
P12646	Glucose-6-phosphate 1-dehydrogenase	3.63	2	3	2	51959.312999999995	73704.62299999999	
P12881	Proteasome subunit alpha type-1	64.52	16	47	0	4359355.4184	5512218.4975000005	
P12982	Serine/threonine-protein phosphatase alpha-2 isoform	22.52	6	16	1	318323.2807	378801.452	
P13008	Small ribosomal subunit protein eS26	21.05	2	10	0	904529.7317	943511.8426000001	
P13060	Eukaryotic translation elongation factor 2	27.96	24	44	24	3691817.93585	5224359.3171	
P13217	1-phosphatidylinositol 4,5-bisphosphate phosphodiesterase	43.56	47	121	0	4121501.86536	5228279.0033	
P13395	Spectrin alpha chain	66.34	150	596	0	54113805.95269	67219867.15812	
P13469	DNA-binding protein modulo	6.83	4	4	0	65944.9555	113742.922	
P13496	Dynactin subunit 1	19.53	26	29	26	415328.5401	514570.0264	
P13607	Sodium/potassium-transporting ATPase subunit alpha	44.67	44	149	0	9356127.32337	12802322.97423	
P13677	Protein kinase C, eye isozyme	10.71	8	13	7	714556.7267	964482.39	
P13678	Protein kinase C	6.22	5	6	0	93769.8328	126588.2334	
P13706	Glycerol-3-phosphate dehydrogenase [NAD(+)], cytoplasmic	87.88	29	188	0	18110.15	9647.07	
P14199	Protein ref(2)P	21.04	10	16	10	790648.1447000001	908110.5907000001	
P14318	Muscle-specific protein 20	83.15	21	93	21	13158798.62937	16759517.4048	
P14484	Pupal cuticle protein	27.17	5	23	5	1134012.4165999999	1290969.896	
P15007	Enolase	77.8	36	335	1	68708138.97986	86538638.81318	
P15215	Laminin subunit gamma-1	38.87	56	107	0	3371826.12212	4992477.8202	
P15330	Embryonic polarity protein dorsal	5.31	4	4	0	37495.04696	48131.0969	
P15357	Ubiquitin-ribosomal protein eS31 fusion protein	42.31	6	62	1	8322995.393700001	7588875.24395	
P15364	Protein amalgam	24.62	6	10	0	175025.59819999998	185715.158	
P15372	Phosrestin-2	69.78	24	97	0	4168231.79795	5850243.76734	
P15425	Peptidyl-prolyl cis-trans isomerase, rhodopsin-specific isozyme	24.05	4	5	4	129177.421	213848.32	
P16378	G protein alpha o subunit	26.27	11	43	8	7789695.069	8706270.3948	
P16554	Protein numb	19.06	9	11	0	199403.54394	259285.2923	
P16568	Protein bicaudal D	20.59	17	19	0	371136.6071	484171.818	
P16620	Tyrosine-protein phosphatase 69D	5.81	8	9	8	209937.3684	301782.4497	
P16621	Tyrosine-protein phosphatase Lar	0.59	1	1	0	5473.0376	7400.335	
P16914	Protein elav	34.58	12	38	0	1644879.80096	1953523.3523	
P17210	Kinesin heavy chain	46.77	45	96	45	3418403.88582	4512398.6055499995	
P17276	Protein henna	40.04	15	35	0	998494.54643	1179175.0265	
P17336	Catalase	44.47	19	65	19	3839147.47304	5102635.8953	
P17704	Small ribosomal subunit protein eS17	58.78	9	30	9	2961913.5674	4019135.1763	
P17719	Dihydrofolate reductase	26.92	4	8	4	96515.894	133223.4471	
P18053	Proteasome subunit alpha type-4	56.06	13	46	11	3837410.511	4885697.2765	
P18173	Glucose dehydrogenase [FAD, quinone]	2.56	2	2	0	23171.848	24125.13	
P18431	Protein kinase shaggy	43.77	19	57	0	2086713.8013	2963050.86645	
P18432	Myosin regulatory light chain 2	84.68	18	240	18	61802436.15586	79950583.77445	
P18459	Tyrosine 3-monooxygenase	16.75	11	13	0	157657.6666	181872.1173	
P18824	Armadillo segment polarity protein	17.67	13	22	0	175336.66580000002	182795.4167	
P19107	Phosrestin-1	71.82	33	296	33	25605179.20806	32264080.8225	
P19109	ATP-dependent RNA helicase p62	21.7	15	25	0	599724.7548	855187.5177	
P19334	Transient receptor potential protein	4.39	6	7	5	49510.244	55579.47675	
P19339	Protein sex-lethal	5.65	2	2	0	12310.8671	21376.398	
P19351	Troponin T, skeletal muscle	53.4	35	115	0	1372160.3157	1663018.0525	
P19889	Large ribosomal subunit protein uL10	50.79	15	61	0	13881166.5316	16995677.1747	
P20007	Phosphoenolpyruvate carboxykinase [GTP]	5.87	4	4	3	15943.6028	20362.260000000002	
P20153	Protein ultraspiracle	1.57	1	1	0	16628.492	17997.959	
P20228	Glutamate decarboxylase	20.78	11	32	0	2838366.4073	3367229.2238	
P20232	Transcription elongation factor S-II	38.02	12	19	0	967072.24815	898842.8435	
P20240	Otefin	40.8	14	20	14	350765.12866	347085.89793	
P20241	Neuroglian	26.04	33	88	0	3869325.0789	4675941.66894	
P20348	Sex-regulated protein janus-A	39.26	6	13	6	752135.15785	862552.9985	
P20351	Tryptophan 2,3-dioxygenase	9.5	3	3	3	46640.458	47664.87	
P20354	G protein alpha s subunit	47.01	15	32	1	2306.8252	2215.4709000000003	
P20385	Chorion transcription factor Cf2	11.96	6	6	0	56947.752700000005	59837.23332	
P20432	Glutathione S-transferase D1	52.15	14	87	11	13760112.453	17046941.8134	
P20477	Glutamine synthetase 1, mitochondrial	53.38	20	72	0	9038209.2847	11479353.8826	
P20478	Glutamine synthetase 2 cytoplasmic	76.96	26	204	0	37688974.39448	45481393.495009996	
P21187	Polyadenylate-binding protein	26.81	13	31	13	1002478.1579	1353463.3893	
P21914	Succinate dehydrogenase [ubiquinone] iron-sulfur subunit, mitochondrial	60.61	20	123	18	12909160.44005	14351918.399500001	
P22465	Annexin B10	76.01	24	137	24	15930742.7047	21255841.6125	
P22769	Proteasome subunit alpha type-7-1	58.63	12	28	10	1769719.60355	2238061.5042	
P22813	Heat shock factor protein	4.34	3	3	0	23050.302	27707.495000000003	
P22815	Protein bride of sevenless	2.01	2	3	2	21388.8486	25230.0034	
P22979	Heat shock protein 67B3	55.28	7	20	7	887388.40021	1064659.2447	
P23128	ATP-dependent RNA helicase me31b	12.2	5	6	5	71587.7401	89426.59240000001	
P23226	205 kDa microtubule-associated protein	27.34	25	45	0	884251.78785	1006220.33742	
P23257	Tubulin gamma-1 chain	3.58	2	2	0	15754.6086	24286.862999999998	
P23625	G protein alpha q subunit	57.51	21	85	18	6855118.3833	8280597.6541	
P23654	Neurotactin	15.84	11	14	0	411665.0895	570717.4037	
P23696	Serine/threonine-protein phosphatase PP2A	37.86	9	15	0	383316.1235	328494.11	
P23779	Cystatin-like protein	57.94	7	40	7	3825667.0483500003	3968518.46061	
P24156	Prohibitin 1	68.12	18	72	0	3279211.7996	4366421.12579	
P25007	Peptidyl-prolyl cis-trans isomerase	44.05	12	142	9	37126817.00787	40190294.45788	
P25153	Ubiquitin-conjugating enzyme E2-17 kDa	17.22	2	3	0	195958.256	273513.65	
P25160	ADP-ribosylation factor-like protein 1	10.56	2	4	2	27624.4908	35561.0853	
P25161	Probable 26S proteasome non-ATPase regulatory subunit 3	29.76	17	28	0	632838.53172	954392.04133	
P25171	Regulator of chromosome condensation	10.42	5	6	5	88363.40239999999	156284.867	
P25172	Protein suppressor 2 of zeste	1.61	2	2	0	5485.52	7879.4988	
P25228	Ras-related protein Rab-3	37.73	7	22	0	320516.9637	469408.6112	
P25455	1-phosphatidylinositol 4,5-bisphosphate phosphodiesterase classes I and II	6.37	9	10	9	155234.0862	189003.884	
P25822	Maternal protein pumilio	3.13	5	6	0	79468.08039999999	99191.7792	
P25843	Profilin	88.89	7	37	0	1170211.31737	1505850.54748	
P25867	Ubiquitin-conjugating enzyme E2-17 kDa	12.24	2	9	0	2077030.8	2425457.3619999997	
P26270	26S proteasome non-ATPase regulatory subunit 7	15.38	6	12	0	499858.9287	634622.6169	
P26308	Guanine nucleotide-binding protein subunit beta-1	25.29	9	25	0	1808545.9325	2094899.6968	
P26686	Serine-arginine protein 55	19.68	7	14	0	578323.1103000001	701608.8883	
P27716	Innexin inx1	2.49	1	1	0	3532.3135	6104.789	
P27779	Pupal cuticle protein Edg-78E	9.84	2	9	0	1418239.7903	506771.3613	
P28668	Bifunctional glutamate/proline--tRNA ligase	4.67	8	9	8	93081.73060000001	114827.023	
P29052	Transcription initiation factor IIB	16.83	6	10	0	203918.3525	248724.654	
P29310	14-3-3 protein zeta	68.55	19	282	0	73971745.70666	76907840.43648	
P29327	Small ribosomal subunit protein eS6	20.16	5	15	2	475606.37553	519350.2028	
P29413	Calreticulin	58.13	22	67	0	13832127.73195	18851434.43558	
P29613	Triosephosphate isomerase	78.54	20	145	19	38270082.12573	48687533.67039	
P29742	Clathrin heavy chain	7.99	13	14	0	306578.41397	335768.00836	
P29746	Protein bangles and beads	63.12	27	57	27	3452770.16503	3996022.5263	
P29829	Guanine nucleotide-binding protein subunit beta-2	50.58	17	78	17	6914144.92794	9317360.43905	
P29843	Heat shock 70 kDa protein cognate 1	27.15	16	75	2	117363.0602	142983.9065	
P29844	Endoplasmic reticulum chaperone BiP	65.24	43	255	0	23048070.76915	27066847.29488	
P29845	Heat shock 70 kDa protein cognate 5	59.18	46	196	0	18666279.77646	23601286.85291	
P30432	Furin-like protease 2	2.5	4	4	0	20285.087	30301.631	
P31007	Disks large 1 tumor suppressor protein	34.33	35	113	1	5235.205	7353.986	
P31009	Small ribosomal subunit protein uS5	50.56	12	38	0	3612720.67465	4665833.9065	
P31409	V-type proton ATPase subunit B	62.65	26	100	0	4490448.71643	6105419.43149	
P32100	Large ribosomal subunit protein uL30	44.44	13	35	0	3355510.5892	3730085.54132	
P32234	Guanylate binding protein 128up	16.85	6	9	5	109347.0858	154744.15587	
P32392	Actin-related protein 3	26.56	9	16	9	312344.98003	324969.54963	
P32748	Dihydroorotate dehydrogenase (quinone), mitochondrial	24.2	10	18	10	230277.1617	330036.8275	
P33438	Glutactin	36.94	29	56	0	1464243.0134	1812502.24677	
P34082	Fasciclin-2	26.8	21	34	0	949491.80684	1218030.12612	
P35122	Ubiquitin carboxyl-terminal hydrolase	59.91	10	28	0	2049814.2187	2463340.28936	
P35128	Ubiquitin-conjugating enzyme E2 N	50.99	6	24	0	1773928.0384	2254937.52384	
P35220	Catenin alpha	26.39	24	38	14	1119602.8725	1306076.65437	
P35381	ATP synthase subunit alpha, mitochondrial	67.57	50	417	50	78572996.77504	100172763.50201	
P35415	Paramyosin, long form	75.2	91	521	0	85120239.59218	108367874.90247	
P35416	Paramyosin, short form	60.0	45	292	0	7591203.1813	10012941.74014	
P35421	Phosphoribosylformylglycinamidine synthase	2.81	4	4	4	32083.7385	45256.403	
P35554	Flightin	54.4	9	20	0	246820.70255999998	250325.42930000002	
P35992	Tyrosine-protein phosphatase 10D	2.86	7	7	6	55835.91470000001	73674.7982	
P36179	Serine/threonine-protein phosphatase PP2A 65 kDa regulatory subunit	47.88	23	58	0	2391535.23041	3202593.33828	
P36188	Troponin I	57.99	21	83	0	27921773.33025	30999323.27786	
P36241	Large ribosomal subunit protein eL19	31.53	7	19	7	2275992.8035	3736779.5805	
P36872	Protein phosphatase PP2A 55 kDa regulatory subunit	5.21	3	4	0	30672.0308	35385.6645	
P36951	Putative hydroxypyruvate isomerase	42.05	10	33	10	1949329.25315	2489652.5174	
P36958	DNA-directed RNA polymerase II subunit RPB9	31.01	3	6	0	76474.8849	114621.31950000001	
P36975	Synaptosomal-associated protein 25	87.74	21	143	19	17390646.6324	18637759.31579	
P37193	Adrenodoxin-like protein 1, mitochondrial	22.67	3	9	0	425104.8253	530671.85674	
P37236	Frequenin-1	71.66	12	40	0	1974775.4736000001	1720016.2946	
P37276	Dynein heavy chain, cytoplasmic	0.17	1	1	0	7508.676	15248.127	
P38040	Guanine nucleotide-binding protein subunit gamma-1	68.57	5	24	5	1440643.1872399999	1671348.3575000002	
P38979	Small ribosomal subunit protein uS2	75.19	16	83	16	11902943.97447	16101561.791299999	
P39018	Small ribosomal subunit protein eS19A	64.74	14	52	0	15414971.211	17186358.309499998	
P39736	Puff-specific protein Bx42	9.87	4	5	0	63363.9213	89443.41917	
P40301	Proteasome subunit alpha type-2	23.08	5	8	5	126148.9852	188343.33757	
P40304	Proteasome subunit beta type-1	31.91	7	13	7	410093.3369	544675.9258	
P40320	S-adenosylmethionine synthase	12.5	6	7	0	203329.7436	263901.8875	
P40417	Mitogen-activated protein kinase ERK-A	55.59	15	36	8	967301.45359	1193893.71286	
P40421	Serine/threonine-protein phosphatase rdgC	8.77	5	6	0	19072.36607	23741.5492	
P40423	Myosin regulatory light chain sqh	51.15	7	22	0	1131852.232	1534051.0336	
P40427	Homeobox protein extradenticle	9.31	3	4	0	191270.7257	216050.7063	
P40792	Ras-related protein Rac1	34.38	6	13	0	1131176.86965	1387167.0432	
P40793	Cdc42 homolog	24.61	4	8	0	435806.23030000005	513485.9625	
P40796	La protein homolog	40.51	13	18	12	1011455.7759	1360382.3975	
P40797	Protein peanut	38.4	19	35	18	1149407.7077	1538792.7473	
P40945	ADP ribosylation factor 4	38.33	5	12	0	91214.2591	118801.99119999999	
P40946	ADP-ribosylation factor 6	21.14	3	5	3	250128.9777	249455.41479999997	
P41042	Small ribosomal subunit protein eS4	45.59	12	38	0	1178831.53166	988666.2257000001	
P41043	Glutathione S-transferase S1	83.53	19	72	0	5983892.999340001	7308286.39583	
P41044	Calbindin-32	76.77	26	157	0	15748234.53648	20870423.51765	
P41073	Zinc finger protein on ecdysone puffs	19.55	13	28	0	1189060.8504	1775642.5836	
P41092	Large ribosomal subunit protein uL15	36.24	6	22	0	3847180.5244	3894598.4358	
P41093	Large ribosomal subunit protein eL20	44.07	8	14	8	1252999.1111	1303015.0320000001	
P41094	Small ribosomal subunit protein uS13	60.53	15	46	15	5854648.26955	7324448.8557	
