Accession	Description	Coverage [%]	# Peptides	# PSMs	# Unique Peptides	Abundance: F5: 127N, Sample, n/a, SFug_M2	Abundances Count: F5: 127N, Sample, n/a, SFug_M2	Modifications
A8DYP0	Protein Obscurin	1.38	6	8	6	16646.0779	6	
B7YZT2	Mitochondrial fission 1 protein	44.81	7	12	7	159929.37385	12	
C0HK92	Uncharacterized protein CG45076	57.19	35	108	0	728910.02123	89	
C0HK94	Uncharacterized protein CG45078	67.48	12	27	10	112668.06409	16	
C0HK95	Protein anoxia up-regulated	85.5	11	57	9	505518.33442	36	
C0HKA0	Small ribosomal subunit protein uS11A	46.36	7	25	0	446834.65754	23	
C0HL62	Larval cuticle protein 65Ab1	22.12	2	3	0	53593.4986	3	
C0HL66	Histone H3.3A	52.21	6	31	0	15587.774	2	
C0HLZ9	Baramicin A1	12.45	3	4	0	35066.6802	4	
C4NYP8	Hsc70-interacting protein 1	36.07	13	29	0	191280.84984	23	
F3YDF1	ATP-dependent zinc metalloprotease YME1L	11.49	8	12	0	102138.9849	10	
M9NDE3	Protein bark beetle	2.08	7	7	7	29247.0334	7	
M9PF61	Aldo-keto reductase 1B	51.71	18	74	18	2325849.8662	67	
M9PFN0	Phosphatase Herzog	26.42	7	11	7	32882.39844	8	
O01367	Protein held out wings	10.37	3	4	0	13699.0364	3	
O01382	Caspase drICE	12.68	4	4	4	6612.3585	2	
O01404	Peptidylglycine alpha-hydroxylating monooxygenase	13.15	4	12	0	171042.9283	11	
O01666	ATP synthase subunit gamma, mitochondrial	61.95	20	106	20	3413007.74856	90	
O02194	Presenilin homolog	5.73	3	3	0	6193.9845	3	
O02195	Eukaryotic translation initiation factor 3 subunit I	27.61	7	12	7	115818.9544	9	
O02649	Heat shock protein 60A	65.1	34	143	23	3805226.14739	126	
O15943	Neural-cadherin	14.01	44	66	2	744502.344	65	
O16797	Large ribosomal subunit protein uL3	13.7	6	9	6	49217.5624	9	
O17444	Vesicular acetylcholine transporter	10.03	5	6	5	15964.9284	4	
O17445	Large ribosomal subunit protein eL15	14.22	3	6	0	23261.006500000003	5	
O18333	Ras-related protein Rab-2	24.41	6	11	6	122096.38279999999	11	
O18334	Ras-related protein Rab6	33.65	8	12	0	57796.98174	5	
O18373	Inactive selenide, water dikinase-like protein	16.33	8	17	8	331449.17203	16	
O18388	Importin subunit beta	2.26	2	2	0	5136.10373	2	
O18404	3-hydroxyacyl-CoA dehydrogenase type-2	79.22	16	133	16	3153216.03512	115	
O18413	26S proteasome regulatory subunit 8	45.68	18	36	6	425767.5251	26	
O18640	Small ribosomal subunit protein RACK1	22.64	8	13	0	148607.1746	12	
O44081	H/ACA ribonucleoprotein complex subunit 4	2.95	2	2	0	3830.9718999999996	2	
O44342	Protein windbeutel	28.79	7	9	0	51805.09556	9	
O44386	Integrin alpha-PS3	6.1	8	8	8	61981.8047	8	
O46037	Vinculin	55.88	45	103	0	1097633.97992	92	
O46084	Serine/threonine-protein phosphatase Pgam5, mitochondrial	11.76	3	4	0	22316.221	4	
O46098	LYR motif-containing protein 4 homolog	65.22	7	12	7	102161.37359999999	10	
O46106	Splicing factor 3A subunit 3	9.54	4	4	4	45082.7994	4	
O46339	Homeobox protein homothorax	4.72	2	2	2	943.19586	1	
O61231	Large ribosomal subunit protein uL16	27.06	8	15	0	238677.2619	11	
O61305	DEAD-box helicase Dbp80	3.91	2	3	0	10708.917000000001	3	
O61307	Teneurin-m	0.92	2	2	0	25556.928	1	
O61443	Mitogen-activated protein kinase p38b	12.88	4	10	3	93369.7934	10	
O61491	Flotillin-1	45.77	19	45	19	930710.81201	45	
O61722	PRL-1 phosphatase	55.11	7	19	7	265900.8042	16	
O62619	Pyruvate kinase	57.6	24	73	24	2289397.93733	62	
O62621	Coatomer subunit beta'	2.84	3	3	3	5145.1562	3	
O76206	Putative riboflavin kinase	55.56	6	17	0	181886.71374	11	
O76454	Pterin-4-alpha-carbinolamine dehydratase	33.85	4	6	4	95626.105	5	
O76742	Ras-related protein Rab7	36.71	7	10	7	175175.0163	10	
O76878	RILP-like protein homolog	8.35	4	5	0	38672.85675	5	
O76902	Pleckstrin homology domain-containing family F member 1 homolog	27.85	8	10	8	97950.793	9	
O76927	Small ribosomal subunit protein eS21	50.6	5	14	0	104529.844	8	
O77051	Transcription factor E2F2	18.65	7	9	0	25724.9941	8	
O77263	tRNA (guanine-N(7)-)-methyltransferase	12.5	3	4	3	25036.0317	3	
O77277	Torsin-like protein	15.29	6	8	0	49339.28235	8	
O77410	Eukaryotic translation initiation factor 3 subunit E	8.28	4	4	4	19410.898	4	
O77460	Inorganic pyrophosphatase	62.72	16	93	1	38280.67	1	
O96553	C-1-tetrahydrofolate synthase, cytoplasmic	15.39	15	15	0	68911.3084	13	
O96690	Protein PDF	23.53	1	1	1	2635.0256	1	
O96827	Probable elongation factor 1-beta	83.78	17	84	0	1752579.98759	75	
O97067	Probable peptidyl-tRNA hydrolase 2	26.34	4	7	0	25973.4704	7	
O97125	Heat shock protein 68	35.28	20	66	13	252644.3233	19	
O97172	UPF0729 protein CG18508	21.21	3	5	0	20955.021240000002	4	
O97394	Protein sidekick	1.48	3	3	0	8545.8601	2	
O97422	Galactosylgalactosylxylosylprotein 3-beta-glucuronosyltransferase I	8.82	3	3	3	26359.0787	3	
O97477	Inositol-3-phosphate synthase	36.28	15	41	15	869759.50074	38	
P00334	Alcohol dehydrogenase	85.16	20	241	20	8076330.74738	210	
P00408	Cytochrome c oxidase subunit 2	33.77	7	20	7	1304611.84767	17	
P00522	Tyrosine-protein kinase Abl	3.7	4	4	0	2250.7	1	
P02255	Histone H1	14.45	3	3	0	19859.6025	3	
P02283	Histone H2B	54.47	8	74	8	846470.9311	64	
P02299	Histone H3	52.21	6	34	2	2366837.4248	29	
P02515	Heat shock protein 22	32.76	6	14	6	66269.72804	12	
P02516	Heat shock protein 23	70.97	15	72	0	2586288.10186	68	
P02517	Heat shock protein 26	58.17	9	19	0	994603.9824199999	18	
P02518	Heat shock protein 27	52.11	10	28	0	378191.97656	23	
P02572	Actin-42A	63.83	25	618	2	34776112.70742	521	
P02574	Actin, larval muscle	65.69	27	537	0	434139.42996000004	23	
P02828	Heat shock protein 83	59.27	42	143	0	2857717.87842	127	
P02843	Vitellogenin-1	73.35	27	218	0	2338086.31943	155	
P02844	Vitellogenin-2	67.65	24	169	0	1822993.85716	118	
P04197	Myb protein	2.74	2	2	0	3900.0861000000004	2	
P04359	Large ribosomal subunit protein eL32	18.66	3	8	3	233329.08	8	
P04388	Ras-like protein 2	33.33	5	7	5	22403.7862	6	
P05031	Aromatic-L-amino-acid decarboxylase	7.06	3	3	3	5342.1722	3	
P05205	Heterochromatin protein 1	32.52	7	16	7	65393.54876	15	
P05303	Elongation factor 1-alpha 2	59.74	24	115	0	974637.4676000001	15	
P05389	Large ribosomal subunit protein P2	29.2	3	18	3	748601.3601	18	
P05552	Transcription factor Adf-1	12.21	3	3	0	26613.088799999998	3	
P05661	Myosin heavy chain, muscle	53.72	124	410	1	55966.0198	8	
P05812	Heat shock protein 67B1	11.91	5	6	5	35891.5644	5	
P06002	Opsin Rh1	8.85	3	8	3	107259.93685	8	
P06603	Tubulin alpha-1 chain	58.44	23	182	0	13407134.93116	165	
P06604	Tubulin alpha-2 chain	34.52	15	132	1	8567.127199999999	2	
P06607	Vitellogenin-3	79.05	31	233	0	5225126.39166	199	
P06742	Myosin light chain alkali	41.94	6	120	0	4310539.3863	93	
P07207	Neurogenic locus Notch protein	0.3	1	1	0	1625.3147	1	
P07486	Glyceraldehyde-3-phosphate dehydrogenase 1	64.16	18	104	6	2824404.7066	26	
P07487	Glyceraldehyde-3-phosphate dehydrogenase 2	81.33	20	112	0	6236160.59004	101	
P07665	Serendipity locus protein beta	1.97	1	1	0	5930.429	1	
P07668	Choline O-acetyltransferase	9.71	6	7	6	9635.468	5	
P07764	Fructose-bisphosphate aldolase	89.2	36	369	0	15222731.57127	281	
P08111	Lethal(2) giant larvae protein	2.76	3	3	0	16991.442000000003	3	
P08120	Collagen alpha-1(IV) chain	3.93	5	12	5	92641.30946	10	
P08144	Alpha-amylase A	23.48	10	15	0	353160.338	14	
P08171	Esterase-6	20.22	12	20	0	410559.87645	18	
P08181	Casein kinase II subunit alpha	10.71	2	4	0	53119.7816	3	
P08182	Casein kinase II subunit beta	32.77	7	18	2	329827.5042	15	
P08570	Large ribosomal subunit protein P1	70.54	4	40	0	1480359.54877	39	
P08645	Ras-related protein Rap1	40.22	6	12	0	89821.14956	11	
P08646	Ras-like protein 1	37.04	5	13	5	478273.8561	12	
P08736	Elongation factor 1-alpha 1	57.67	27	135	12	7465802.36164	116	
P08761	Peptide methionine sulfoxide reductase	36.18	8	13	0	73819.01977	13	
P08879	Nucleoside diphosphate kinase	51.63	8	80	0	2775769.68876	67	
P08928	Lamin	66.88	49	174	48	3182166.28132	150	
P08985	Histone H2A.v	41.84	7	43	5	467983.1076	21	
P09040	Drosulfakinins	17.73	3	4	3	86728.151	4	
P09180	Large ribosomal subunit protein uL4	47.38	20	55	20	703092.27597	45	
P09208	Insulin-like receptor	1.77	5	5	5	874.70446	2	
P09491	Tropomyosin-2	64.44	27	221	1	122434.2046	4	
P0DKM0	Cytochrome c oxidase assembly factor 3, mitochondrial	45.98	5	9	5	52512.8863	7	
P10180	Homeobox protein cut	0.69	1	1	0	554.7959	1	
P10379	Protein unzipped	27.05	12	27	0	518529.3418	24	
P10552	FMRFamide-related peptides	5.76	2	2	2	36236.7	2	
P10676	Neither inactivation nor afterpotential protein C	26.52	43	73	6	276242.65335	54	
P10981	Actin-87E	68.62	28	611	0	5074177.524929999	26	
P10987	Actin-5C	64.36	27	636	0	508499.6214	14	
P11046	Laminin subunit beta-1	22.87	37	67	37	1024140.18273	61	
P11146	Heat shock 70 kDa protein cognate 2	11.37	6	34	1	595.6925	1	
P11147	Heat shock 70 kDa protein cognate 4	78.49	51	327	0	12680697.01392	285	
P11584	Integrin beta-PS	19.98	17	28	0	270392.6438	26	
P12024	Chaoptin	27.6	35	84	0	1211258.75411	73	
P12080	Integrin alpha-PS2	13.11	18	23	18	358801.8736	22	
P12370	cAMP-dependent protein kinase catalytic subunit 1	40.51	17	41	16	794871.09564	34	
P12426	Adenine phosphoribosyltransferase	25.82	5	9	0	44991.82853	9	
P12613	T-complex protein 1 subunit alpha	21.54	12	16	0	166371.9914	14	
P12881	Proteasome subunit alpha type-1	59.86	13	42	0	613042.27951	38	
P12982	Serine/threonine-protein phosphatase alpha-2 isoform	28.15	8	12	1	63264.40003	10	
P13008	Small ribosomal subunit protein eS26	21.05	2	7	0	36801.23795	6	
P13060	Eukaryotic translation elongation factor 2	30.81	23	41	23	540496.9112	37	
P13217	1-phosphatidylinositol 4,5-bisphosphate phosphodiesterase	37.99	40	102	0	1267579.19188	91	
P13395	Spectrin alpha chain	63.6	137	494	0	8417214.52213	438	
P13469	DNA-binding protein modulo	6.83	4	4	0	7279.51685	2	
P13496	Dynactin subunit 1	15.18	21	23	21	146404.97414	20	
P13607	Sodium/potassium-transporting ATPase subunit alpha	39.48	36	135	0	3074120.60627	124	
P13677	Protein kinase C, eye isozyme	14.14	11	17	10	82576.3684	14	
P13678	Protein kinase C	3.92	3	3	0	61457.476	3	
P13706	Glycerol-3-phosphate dehydrogenase [NAD(+)], cytoplasmic	77.41	27	201	0	6811.1494	1	
P14199	Protein ref(2)P	22.37	11	19	11	148705.5638	16	
P14318	Muscle-specific protein 20	82.61	17	66	17	1097124.00242	61	
P14484	Pupal cuticle protein	27.17	5	19	5	241795.79496	17	
P14599	Amyloid-beta-like protein	1.92	2	2	0	5565.0635	1	
P15007	Enolase	74.2	31	339	1	13894752.8202	288	
P15215	Laminin subunit gamma-1	39.35	55	99	0	1028068.31654	89	
P15330	Embryonic polarity protein dorsal	3.4	3	3	0	116880.8664	3	
P15357	Ubiquitin-ribosomal protein eS31 fusion protein	42.95	7	62	2	1699353.46085	60	
P15364	Protein amalgam	13.21	4	5	0	100611.881	4	
P15372	Phosrestin-2	60.16	20	59	0	1645973.75734	52	
P15425	Peptidyl-prolyl cis-trans isomerase, rhodopsin-specific isozyme	32.91	5	10	5	48062.56416	8	
P16378	G protein alpha o subunit	26.55	10	39	7	472153.82647	37	
P16554	Protein numb	7.73	4	5	0	35382.95025	5	
P16568	Protein bicaudal D	18.8	15	17	0	85307.31537	17	
P16620	Tyrosine-protein phosphatase 69D	4.86	8	9	8	120838.4044	8	
P16621	Tyrosine-protein phosphatase Lar	0.59	1	1	0	2668.8555	1	
P16914	Protein elav	23.4	9	28	0	325895.161	25	
P17210	Kinesin heavy chain	44.31	40	74	40	952629.01425	69	
P17276	Protein henna	40.71	15	27	0	534177.11905	25	
P17336	Catalase	34.78	14	49	14	523406.73819	40	
P17704	Small ribosomal subunit protein eS17	65.65	7	25	7	663648.0068	24	
P17719	Dihydrofolate reductase	19.78	3	4	3	24170.33715	4	
P18053	Proteasome subunit alpha type-4	50.0	12	38	10	829000.60117	33	
P18173	Glucose dehydrogenase [FAD, quinone]	2.72	1	1	0	2546.1897	1	
P18431	Protein kinase shaggy	33.85	16	43	0	950646.70086	37	
P18432	Myosin regulatory light chain 2	84.68	19	189	19	3855732.13772	166	
P18459	Tyrosine 3-monooxygenase	11.57	7	9	0	135064.3576	8	
P18824	Armadillo segment polarity protein	22.78	16	24	0	198752.0709	24	
P19107	Phosrestin-1	73.82	32	213	32	6729784.96892	193	
P19109	ATP-dependent RNA helicase p62	22.67	15	21	1	282331.6164	19	
P19334	Transient receptor potential protein	2.51	4	4	3	12389.2873	3	
P19339	Protein sex-lethal	4.52	2	2	0	5599.6164	2	
P19351	Troponin T, skeletal muscle	46.1	30	101	0	309950.955	14	
P19889	Large ribosomal subunit protein uL10	48.58	14	75	0	1269723.82426	66	
P20007	Phosphoenolpyruvate carboxykinase [GTP]	6.65	5	5	4	19212.5616	4	
P20153	Protein ultraspiracle	2.76	2	2	0	8508.1694	2	
P20228	Glutamate decarboxylase	18.04	8	26	0	193085.0644	19	
P20232	Transcription elongation factor S-II	31.63	7	8	0	101017.4079	7	
P20240	Otefin	32.08	11	14	11	70228.67605	11	
P20241	Neuroglian	25.81	31	74	0	1116787.94696	69	
P20348	Sex-regulated protein janus-A	38.52	5	5	5	34187.418	4	
P20351	Tryptophan 2,3-dioxygenase	5.28	2	2	2	4414.489	2	
P20354	G protein alpha s subunit	39.74	13	26	1	655.83716	1	
P20385	Chorion transcription factor Cf2	1.76	1	1	0	2115.036	1	
P20432	Glutathione S-transferase D1	55.5	13	79	9	3391982.531	64	
P20477	Glutamine synthetase 1, mitochondrial	41.85	14	59	0	1976800.2238999999	51	
P20478	Glutamine synthetase 2 cytoplasmic	81.03	24	179	0	15975026.76759	162	
P21187	Polyadenylate-binding protein	38.01	18	35	18	348919.36673	32	
P21914	Succinate dehydrogenase [ubiquinone] iron-sulfur subunit, mitochondrial	53.2	18	100	16	3157597.99833	89	
P22465	Annexin B10	76.01	24	139	24	2589443.22984	118	
P22769	Proteasome subunit alpha type-7-1	53.82	12	32	10	506852.98672	32	
P22813	Heat shock factor protein	2.75	2	2	0	2133.9302	1	
P22815	Protein bride of sevenless	1.23	1	1	1	10717.719	1	
P22979	Heat shock protein 67B3	53.77	7	19	7	454676.55334	16	
P23128	ATP-dependent RNA helicase me31b	6.1	3	3	3	6040.842	1	
P23226	205 kDa microtubule-associated protein	21.86	16	32	0	136980.65586	24	
P23257	Tubulin gamma-1 chain	5.89	3	3	2	20951.0898	3	
P23625	G protein alpha q subunit	51.56	19	75	16	1453324.4139	64	
P23654	Neurotactin	12.41	10	13	0	61682.1967	13	
P23696	Serine/threonine-protein phosphatase PP2A	20.39	5	14	0	146034.7782	12	
P23779	Cystatin-like protein	63.49	8	32	8	787788.1894200001	25	
P24156	Prohibitin 1	68.48	17	53	0	925813.14703	45	
P25007	Peptidyl-prolyl cis-trans isomerase	55.95	13	102	10	3794168.10929	93	
P25160	ADP-ribosylation factor-like protein 1	6.11	1	3	1	28869.0309	3	
P25161	Probable 26S proteasome non-ATPase regulatory subunit 3	29.76	16	24	0	296601.7627	21	
P25171	Regulator of chromosome condensation	6.03	4	4	4	62195.092000000004	4	
P25228	Ras-related protein Rab-3	33.64	7	18	0	191701.6124	12	
P25455	1-phosphatidylinositol 4,5-bisphosphate phosphodiesterase classes I and II	4.86	7	7	7	15922.9658	6	
P25822	Maternal protein pumilio	2.15	3	5	0	19098.0965	5	
P25843	Profilin	88.89	7	28	0	489851.35715	25	
P25867	Ubiquitin-conjugating enzyme E2-17 kDa	7.48	1	5	0	107810.35954	5	
P26270	26S proteasome non-ATPase regulatory subunit 7	10.65	4	6	0	68687.6094	6	
P26308	Guanine nucleotide-binding protein subunit beta-1	33.53	8	21	0	239354.89529	17	
P26686	Serine-arginine protein 55	9.31	4	7	0	70887.6514	7	
P27716	Innexin inx1	2.21	1	2	0	22244.253	2	
P27779	Pupal cuticle protein Edg-78E	38.52	3	11	0	100510.21184999999	10	
P28668	Bifunctional glutamate/proline--tRNA ligase	2.28	4	4	4	22947.595100000002	4	
P29052	Transcription initiation factor IIB	16.51	6	8	0	89925.62267	8	
P29310	14-3-3 protein zeta	67.74	17	278	0	9376109.87561	225	
P29327	Small ribosomal subunit protein eS6	20.16	5	20	2	433081.59807	20	
P29413	Calreticulin	46.55	20	61	0	1296494.4448199999	52	
P29613	Triosephosphate isomerase	76.11	17	131	16	4246717.15244	120	
P29742	Clathrin heavy chain	7.39	13	15	0	28708.6279	13	
P29746	Protein bangles and beads	61.76	24	46	24	1028296.62764	44	
P29829	Guanine nucleotide-binding protein subunit beta-2	51.45	16	61	16	1210236.5172599999	53	
P29843	Heat shock 70 kDa protein cognate 1	24.65	14	65	1	29872.7162	7	
P29844	Endoplasmic reticulum chaperone BiP	61.28	42	212	0	3562416.61602	146	
P29845	Heat shock 70 kDa protein cognate 5	62.97	44	178	0	4481152.34487	141	
P30432	Furin-like protease 2	0.66	1	1	0	3533.328	1	
P31009	Small ribosomal subunit protein uS5	44.94	11	28	0	1316796.6491999999	28	
P31409	V-type proton ATPase subunit B	59.59	22	96	0	1587026.08253	77	
P32100	Large ribosomal subunit protein uL30	38.49	12	29	0	650548.5986499999	24	
P32234	Guanylate binding protein 128up	16.3	6	8	5	44538.51381	8	
P32392	Actin-related protein 3	10.53	4	7	4	103185.1105	7	
P32748	Dihydroorotate dehydrogenase (quinone), mitochondrial	24.69	9	12	9	93965.6243	12	
P33438	Glutactin	14.13	17	42	0	168703.51575	29	
P34082	Fasciclin-2	17.18	15	23	0	137626.5065	21	
P35122	Ubiquitin carboxyl-terminal hydrolase	40.97	9	24	0	410241.2013	20	
P35128	Ubiquitin-conjugating enzyme E2 N	56.29	7	17	0	258367.97006	17	
P35220	Catenin alpha	24.86	22	44	14	377896.25085	38	
P35381	ATP synthase subunit alpha, mitochondrial	71.38	43	407	43	20706010.1981	349	
P35415	Paramyosin, long form	73.38	77	511	0	8578147.6077	411	
P35416	Paramyosin, short form	56.41	39	294	0	760583.8708	39	
P35421	Phosphoribosylformylglycinamidine synthase	1.33	2	2	2	2803.6017	2	
P35554	Flightin	49.45	8	18	0	739270.84405	17	
P35992	Tyrosine-protein phosphatase 10D	3.27	6	6	4	38734.5491	6	
P36179	Serine/threonine-protein phosphatase PP2A 65 kDa regulatory subunit	38.92	19	38	0	871599.4945	35	
P36188	Troponin I	47.58	17	65	0	1555475.9886	55	
P36241	Large ribosomal subunit protein eL19	32.51	7	18	7	369727.4226	14	
P36872	Protein phosphatase PP2A 55 kDa regulatory subunit	5.81	3	3	0	4551.8154	2	
P36951	Putative hydroxypyruvate isomerase	56.82	13	31	13	566513.4577	29	
P36958	DNA-directed RNA polymerase II subunit RPB9	21.71	2	3	0	1635.7633	1	
P36975	Synaptosomal-associated protein 25	85.38	19	114	17	1376125.06425	83	
P37193	Adrenodoxin-like protein 1, mitochondrial	18.02	3	4	0	73812.8689	4	
P37236	Frequenin-1	68.98	11	45	0	225443.2396	8	
P37276	Dynein heavy chain, cytoplasmic	0.24	1	1	0	355.43903	1	
P38040	Guanine nucleotide-binding protein subunit gamma-1	68.57	5	14	5	261468.8782	9	
P38979	Small ribosomal subunit protein uS2	82.59	17	93	17	1720057.66726	67	
P39018	Small ribosomal subunit protein eS19A	53.85	11	39	0	720155.8812	37	
P39736	Puff-specific protein Bx42	6.4	3	4	0	14954.0782	4	
P40301	Proteasome subunit alpha type-2	21.79	4	7	4	112884.8661	7	
P40304	Proteasome subunit beta type-1	28.94	6	8	6	275401.3978	8	
P40320	S-adenosylmethionine synthase	8.33	4	5	0	49877.382	3	
P40417	Mitogen-activated protein kinase ERK-A	42.82	13	29	7	541983.64083	27	
P40421	Serine/threonine-protein phosphatase rdgC	9.83	6	8	0	10040.59607	5	
P40423	Myosin regulatory light chain sqh	44.25	6	19	0	286306.472	17	
P40427	Homeobox protein extradenticle	2.93	1	1	0	512.8226	1	
P40792	Ras-related protein Rac1	22.4	4	7	0	162993.3006	7	
P40793	Cdc42 homolog	37.7	7	8	0	193175.88559999998	7	
P40796	La protein homolog	48.46	17	25	16	130519.34921	22	
P40797	Protein peanut	28.39	14	25	13	359845.17887	25	
P40945	ADP ribosylation factor 4	38.33	5	11	0	29743.373420000004	6	
P40946	ADP-ribosylation factor 6	38.86	5	8	5	45506.663499999995	8	
P41042	Small ribosomal subunit protein eS4	54.02	15	42	0	589194.55423	33	
P41043	Glutathione S-transferase S1	76.71	15	62	0	3260036.3564999998	60	
P41044	Calbindin-32	77.74	26	146	0	2680499.4155200003	131	
P41073	Zinc finger protein on ecdysone puffs	17.18	12	29	0	79365.58627	23	
P41092	Large ribosomal subunit protein uL15	36.24	6	16	0	530066.48215	16	
P41093	Large ribosomal subunit protein eL20	49.15	10	17	10	242811.8345	15	
P41094	Small ribosomal subunit protein uS13	56.58	14	48	14	899665.86094	44	
P41126	Large ribosomal subunit protein eL13	47.71	12	50	0	658451.26377	42	
P41374	Eukaryotic translation initiation factor 2 subunit 1	45.16	17	35	0	567524.25844	34	
P41375	Eukaryotic translation initiation factor 2 subunit 2	18.27	6	6	6	18438.55561	5	
P41572	6-phosphogluconate dehydrogenase, decarboxylating	28.48	12	22	0	322749.1879	17	
P42207	Septin-1	10.8	4	11	3	30072.9961	3	
P42281	Acyl-CoA-binding protein homolog	73.26	6	37	5	1083527.05934	31	
P42325	Neurocalcin homolog	42.63	8	22	8	413046.67125	19	
P42787	Carboxypeptidase D	8.68	10	14	0	96827.21418	12	
P43332	U1 small nuclear ribonucleoprotein A	21.3	5	6	5	59928.8378	6	
P45437	Coatomer subunit beta	4.67	3	4	3	27461.64828	4	
P45594	Cofilin/actin-depolymerizing factor homolog	75.68	13	89	13	2797440.54646	80	
P45888	Actin-related protein 2	15.79	5	7	5	44680.6353	7	
P45889	Actin-related protein 1	23.4	10	13	10	223078.3837	13	
P46150	Moesin/ezrin/radixin homolog 1	38.06	29	62	0	25674.123	1	
P46222	Large ribosomal subunit protein uL5	33.15	5	17	0	551123.63998	15	
P46223	Large ribosomal subunit protein eL8	33.58	10	33	0	836784.21126	32	
P46415	Alcohol dehydrogenase class-3	13.98	5	11	5	149437.984	10	
P46461	Vesicle-fusing ATPase 1	35.44	26	45	0	544470.25025	44	
P46824	Kinesin light chain	37.4	23	45	0	565467.79944	40	
P47947	Troponin C, isoform 1	24.68	4	24	0	727222.0154	24	
P47948	Troponin C, isoform 2	47.1	6	9	0	4630.4126	2	
P47949	Troponin C, isoform 3	63.23	9	25	0	491414.7421	20	
P48148	Ras-like GTP-binding protein Rho1	64.58	10	22	10	871741.617	20	
P48149	Small ribosomal subunit protein uS8A	64.62	8	24	0	518853.986	21	
P48159	Large ribosomal subunit protein uL14	70.71	8	28	8	375165.57474	24	
P48375	Peptidyl-prolyl cis-trans isomerase Fkbp12	71.3	5	29	5	1171086.08986	28	
P48451	Calcineurin subunit B type 1	62.35	7	17	0	240909.9737	5	
P48461	Serine/threonine-protein phosphatase alpha-1 isoform	23.24	7	11	0	9946.2002	2	
P48554	Ras-related protein Rac2	26.56	5	10	0	37511.0637	5	
P48555	Ras-related protein Ral-a	49.75	8	21	1	348223.4346	19	
P48588	Small ribosomal subunit protein eS25	16.24	2	4	2	40561.4066	4	
P48596	GTP cyclohydrolase 1	42.59	13	60	13	2071825.28654	52	
P48598	Eukaryotic translation initiation factor 4E1	32.82	6	16	0	164697.2647	16	
P48601	26S proteasome regulatory subunit 4	44.65	20	44	0	805419.68667	34	
P48602	V-type proton ATPase catalytic subunit A isoform 1	64.17	30	96	0	1235354.10004	81	
P48603	F-actin-capping protein subunit beta	24.28	6	7	0	59507.6704	5	
P48604	GrpE protein homolog, mitochondrial	47.89	11	32	11	359749.42438000004	31	
P48605	T-complex protein 1 subunit gamma	46.32	25	48	0	855501.88961	39	
P48607	Protein spaetzle	3.99	1	1	0	2613.2883	1	
P48609	Cyclin-dependent kinase 5 homolog	20.75	8	11	7	151853.8088	10	
P48610	Arginine kinase 1	75.84	36	446	0	18469546.39813	400	
P48611	6-pyruvoyl tetrahydrobiopterin synthase	54.76	8	27	8	643502.7807499999	20	
P48809	Heterogeneous nuclear ribonucleoprotein 27C	36.82	10	43	0	295456.54545000003	35	
P48810	Heterogeneous nuclear ribonucleoprotein 87F	18.44	5	9	0	49451.07542	6	
P49028	Protein mago nashi	30.61	4	6	4	14551.357500000002	3	
P49071	MAP kinase-activated protein kinase 2	13.65	6	9	0	172949.607	8	
