Accession	Description	Coverage [%]	# Peptides	# PSMs	# Unique Peptides	Abundance: F8: 127N, Sample, n/a, SFug_M3	Abundances Count: F8: 127N, Sample, n/a, SFug_M3	Modifications
O18413	26S proteasome regulatory subunit 8	48.4	20	54	8	1318793.8541	37	
O18640	Small ribosomal subunit protein RACK1	27.67	11	15	0	496937.6633	14	
O44081	H/ACA ribonucleoprotein complex subunit 4	3.15	2	2	0	5563.9697	1	
O44342	Protein windbeutel	17.51	4	5	0	46084.9485	5	
O44386	Integrin alpha-PS3	7.26	8	10	6	153411.8443	8	
O44437	Small nuclear ribonucleoprotein Sm D3	24.5	4	6	4	529917.4539999999	5	
O46037	Vinculin	59.31	53	121	0	3275145.1348	107	
O46084	Serine/threonine-protein phosphatase Pgam5, mitochondrial	3.46	1	1	0	12751.609	1	
O46098	LYR motif-containing protein 4 homolog	69.57	8	18	8	710372.1174999999	17	
O46106	Splicing factor 3A subunit 3	23.06	9	11	9	208363.5798	10	
O46339	Homeobox protein homothorax	5.54	2	2	2	6912.570299999999	2	
O61231	Large ribosomal subunit protein uL16	44.04	12	22	0	864542.6291	18	
O61305	DEAD-box helicase Dbp80	3.7	2	2	0	34029.19	2	
O61307	Teneurin-m	2.01	4	4	0	64717.78200000001	2	
O61443	Mitogen-activated protein kinase p38b	15.89	6	10	3	178979.4864	10	
O61491	Flotillin-1	57.51	24	64	24	3424890.3851	59	
O61722	PRL-1 phosphatase	67.05	10	24	10	414059.6133	20	
O62619	Pyruvate kinase	69.79	30	93	30	9328756.58415	76	
O62621	Coatomer subunit beta'	2.08	2	2	2	5949.53	1	
O76206	Putative riboflavin kinase	39.87	6	13	0	516855.09599999996	9	
O76454	Pterin-4-alpha-carbinolamine dehydratase	33.85	4	7	4	338215.77249999996	6	
O76742	Ras-related protein Rab7	37.68	8	13	8	533954.847	12	
O76878	RILP-like protein homolog	18.96	7	9	0	64295.8398	7	
O76902	Pleckstrin homology domain-containing family F member 1 homolog	11.39	4	10	4	268402.4817	10	
O76927	Small ribosomal subunit protein eS21	72.29	6	20	0	462692.2724	14	
O77051	Transcription factor E2F2	16.76	6	8	0	46509.574049999996	6	
O77263	tRNA (guanine-N(7)-)-methyltransferase	24.61	4	6	4	68411.8278	6	
O77277	Torsin-like protein	10.0	4	5	0	135028.685	5	
O77410	Eukaryotic translation initiation factor 3 subunit E	8.97	4	5	4	48523.2592	4	
O96553	C-1-tetrahydrofolate synthase, cytoplasmic	20.35	21	24	0	293531.9999	22	
O96690	Protein PDF	15.69	1	2	1	10651.395	1	
O96827	Probable elongation factor 1-beta	83.78	18	101	0	6177203.87861	92	
O97067	Probable peptidyl-tRNA hydrolase 2	30.65	5	9	0	132815.903	8	
O97125	Heat shock protein 68	30.39	17	74	11	873092.2884	25	
O97172	UPF0729 protein CG18508	29.29	3	3	0	26944.454	2	
O97394	Protein sidekick	0.45	1	1	0	993.6179	1	
O97422	Galactosylgalactosylxylosylprotein 3-beta-glucuronosyltransferase I	8.17	3	3	3	55340.289000000004	3	
O97477	Inositol-3-phosphate synthase	29.56	14	50	14	4102743.9036499998	43	
P00334	Alcohol dehydrogenase	88.28	23	232	23	83897929.75442	200	
P00408	Cytochrome c oxidase subunit 2	33.77	7	27	7	3670998.4238	22	
P00522	Tyrosine-protein kinase Abl	2.9	3	4	0	15345.2232	3	
P02255	Histone H1	25.0	5	6	0	51153.5742	6	
P02283	Histone H2B	56.91	8	80	8	8147874.72041	72	
P02299	Histone H3	55.15	7	35	2	6788427.04947	29	
P02515	Heat shock protein 22	38.51	7	11	7	194166.5207	10	
P02516	Heat shock protein 23	84.95	16	72	0	8615518.921	64	
P02517	Heat shock protein 26	48.08	8	23	0	3140132.4226	23	
P02518	Heat shock protein 27	55.87	11	23	0	1877602.9716999999	18	
P02572	Actin-42A	74.2	30	655	3	229813976.585	583	
P02574	Actin, larval muscle	66.22	27	546	0	1967129.6604999998	19	
P02828	Heat shock protein 83	51.74	42	171	0	13359783.22851	162	
P02843	Vitellogenin-1	65.15	29	248	0	13836618.11984	177	
P02844	Vitellogenin-2	66.97	26	196	0	10792772.17179	144	
P04197	Myb protein	2.28	2	2	0	6059.6598	2	
P04359	Large ribosomal subunit protein eL32	38.81	5	9	5	467199.88	8	
P04388	Ras-like protein 2	25.0	4	8	4	252021.5405	7	
P05031	Aromatic-L-amino-acid decarboxylase	6.47	2	2	2	13639.988000000001	2	
P05205	Heterochromatin protein 1	44.66	9	23	9	647236.5274	18	
P05303	Elongation factor 1-alpha 2	53.9	27	157	0	3011231.78	36	
P05389	Large ribosomal subunit protein P2	29.2	3	13	3	2473141.9776	12	
P05552	Transcription factor Adf-1	17.56	4	5	0	81589.7533	4	
P05661	Myosin heavy chain, muscle	53.31	127	445	0	165795.71839999998	9	
P05812	Heat shock protein 67B1	22.7	8	11	8	162225.75582000002	11	
P06002	Opsin Rh1	7.24	3	7	3	597930.6438	6	
P06603	Tubulin alpha-1 chain	59.33	26	218	0	85498753.40294	188	
P06607	Vitellogenin-3	80.0	35	270	0	25419178.64618	232	
P06742	Myosin light chain alkali	55.48	9	117	0	18107267.13489	92	
P07207	Neurogenic locus Notch protein	1.0	2	2	0	6829.866	2	
P07486	Glyceraldehyde-3-phosphate dehydrogenase 1	76.81	23	131	9	9279611.8529	33	
P07487	Glyceraldehyde-3-phosphate dehydrogenase 2	84.04	23	146	0	33579869.19276	133	
P07665	Serendipity locus protein beta	5.9	3	4	0	67736.42593	4	
P07668	Choline O-acetyltransferase	14.7	8	8	8	40290.61788	8	
P07764	Fructose-bisphosphate aldolase	88.92	42	386	0	107429576.38656	330	
P08111	Lethal(2) giant larvae protein	9.3	10	10	0	76313.1369	8	
P08120	Collagen alpha-1(IV) chain	6.35	9	22	9	421595.266	21	
P08144	Alpha-amylase A	22.87	10	19	0	928671.3139599999	17	
P08171	Esterase-6	15.26	8	18	0	865286.7542	17	
P08181	Casein kinase II subunit alpha	10.42	3	5	0	89451.9736	5	
P08182	Casein kinase II subunit beta	38.72	8	19	2	1075701.0479300001	18	
P08570	Large ribosomal subunit protein P1	70.54	4	46	0	7133797.6201	45	
P08645	Ras-related protein Rap1	40.76	6	13	0	334867.98215999996	12	
P08646	Ras-like protein 1	38.62	7	19	7	1192727.3016000001	17	
P08736	Elongation factor 1-alpha 1	49.46	27	176	12	44485328.39784	156	
P08761	Peptide methionine sulfoxide reductase	35.77	7	12	0	278190.75561	12	
P08879	Nucleoside diphosphate kinase	69.28	8	123	0	9494730.96136	99	
P08928	Lamin	75.72	60	199	59	10461200.16863	172	
P08985	Histone H2A.v	42.55	10	39	8	3637014.82762	27	
P09040	Drosulfakinins	17.73	3	4	3	98629.3264	3	
P09180	Large ribosomal subunit protein uL4	45.14	22	52	22	2864344.9622400003	47	
P09208	Insulin-like receptor	2.19	5	6	5	20796.7697	5	
P09491	Tropomyosin-2	82.39	40	292	3	880362.9375	10	
P0DKM0	Cytochrome c oxidase assembly factor 3, mitochondrial	41.38	5	9	5	174163.97139999998	8	
P10379	Protein unzipped	27.46	11	26	0	1150545.3684999999	24	
P10552	FMRFamide-related peptides	8.36	3	4	3	259892.28600000002	4	
P10676	Neither inactivation nor afterpotential protein C	30.38	50	73	12	985372.10948	64	
P10981	Actin-87E	69.15	30	649	0	13767225.5371	27	
P10987	Actin-5C	74.2	31	679	0	3647347.5922	23	
P11046	Laminin subunit beta-1	29.14	47	83	47	4193631.0179	74	
P11146	Heat shock 70 kDa protein cognate 2	11.37	6	39	1	991.21405	1	
P11147	Heat shock 70 kDa protein cognate 4	86.18	55	389	0	62486397.09344	335	
P11584	Integrin beta-PS	27.54	22	46	0	1858128.5632	42	
P12024	Chaoptin	34.98	42	110	0	5437040.8731700005	100	
P12080	Integrin alpha-PS2	12.39	17	21	17	954638.7668	18	
P12252	3',5'-cyclic-AMP phosphodiesterase	18.88	16	26	0	18144.74954	3	
P12370	cAMP-dependent protein kinase catalytic subunit 1	51.84	21	54	20	4334402.023	50	
P12426	Adenine phosphoribosyltransferase	20.88	4	4	0	37611.856	3	
P12613	T-complex protein 1 subunit alpha	23.88	13	17	0	537443.0292400001	15	
P12646	Glucose-6-phosphate 1-dehydrogenase	3.63	2	3	2	33390.832	3	
P12881	Proteasome subunit alpha type-1	64.52	16	47	0	3421954.5611	43	
P12982	Serine/threonine-protein phosphatase alpha-2 isoform	22.52	6	16	1	386317.90447	11	
P13008	Small ribosomal subunit protein eS26	21.05	2	10	0	397976.74950000003	9	
P13060	Eukaryotic translation elongation factor 2	27.96	24	44	24	2006093.5709	39	
P13217	1-phosphatidylinositol 4,5-bisphosphate phosphodiesterase	43.56	47	121	0	5132487.54824	108	
P13395	Spectrin alpha chain	66.34	150	596	0	37689329.5593	539	
P13469	DNA-binding protein modulo	6.83	4	4	0	81155.0826	4	
P13496	Dynactin subunit 1	19.53	26	29	26	507886.94118	28	
P13607	Sodium/potassium-transporting ATPase subunit alpha	44.67	44	149	0	11776740.85124	135	
P13677	Protein kinase C, eye isozyme	10.71	8	13	7	209666.9265	12	
P13678	Protein kinase C	6.22	5	6	0	81563.5637	4	
P13706	Glycerol-3-phosphate dehydrogenase [NAD(+)], cytoplasmic	87.88	29	188	0	16820.229	1	
P14199	Protein ref(2)P	21.04	10	16	10	612593.1765000001	15	
P14318	Muscle-specific protein 20	83.15	21	93	21	9406514.3195	85	
P14484	Pupal cuticle protein	27.17	5	23	5	1115727.9326	21	
P15007	Enolase	77.8	36	335	1	69313907.93482	297	
P15215	Laminin subunit gamma-1	38.87	56	107	0	5177418.08574	100	
P15330	Embryonic polarity protein dorsal	5.31	4	4	0	31898.714500000002	4	
P15357	Ubiquitin-ribosomal protein eS31 fusion protein	42.31	6	62	1	8280038.679599999	57	
P15364	Protein amalgam	24.62	6	10	0	228508.83990000002	9	
P15372	Phosrestin-2	69.78	24	97	0	5541951.74779	88	
P15425	Peptidyl-prolyl cis-trans isomerase, rhodopsin-specific isozyme	24.05	4	5	4	177713.747	4	
P16378	G protein alpha o subunit	26.27	11	43	8	4015003.3737	39	
P16554	Protein numb	19.06	9	11	0	232699.8553	11	
P16568	Protein bicaudal D	20.59	17	19	0	268158.7	18	
P16620	Tyrosine-protein phosphatase 69D	5.81	8	9	8	367700.22860000003	8	
P16621	Tyrosine-protein phosphatase Lar	0.59	1	1	0	6927.1655	1	
P16914	Protein elav	34.58	12	38	0	1517674.9436	34	
P17210	Kinesin heavy chain	46.77	45	96	45	2901701.7477700002	83	
P17276	Protein henna	40.04	15	35	0	2468152.28474	33	
P17336	Catalase	44.47	19	65	19	3062871.22937	53	
P17704	Small ribosomal subunit protein eS17	58.78	9	30	9	1896190.04735	28	
P17719	Dihydrofolate reductase	26.92	4	8	4	102206.9951	7	
P18053	Proteasome subunit alpha type-4	56.06	13	46	11	3901751.4017000003	41	
P18173	Glucose dehydrogenase [FAD, quinone]	2.56	2	2	0	19360.261	2	
P18431	Protein kinase shaggy	43.77	19	57	0	2945832.3754000003	51	
P18432	Myosin regulatory light chain 2	84.68	18	240	18	22566631.34833	222	
P18459	Tyrosine 3-monooxygenase	16.75	11	13	0	229879.5771	12	
P18824	Armadillo segment polarity protein	17.67	13	22	0	208765.9963	17	
P19107	Phosrestin-1	71.82	33	296	33	37483947.53842	275	
P19109	ATP-dependent RNA helicase p62	21.7	15	25	0	1314896.80414	23	
P19334	Transient receptor potential protein	4.39	6	7	5	16381.90338	5	
P19339	Protein sex-lethal	5.65	2	2	0	20928.054	2	
P19351	Troponin T, skeletal muscle	53.4	35	115	0	813528.0394	11	
P19889	Large ribosomal subunit protein uL10	50.79	15	61	0	7347998.67883	59	
P20007	Phosphoenolpyruvate carboxykinase [GTP]	5.87	4	4	3	21937.559500000003	3	
P20153	Protein ultraspiracle	1.57	1	1	0	18376.547	1	
P20228	Glutamate decarboxylase	20.78	11	32	0	549849.90139	30	
P20232	Transcription elongation factor S-II	38.02	12	19	0	419075.80587000004	17	
P20240	Otefin	40.8	14	20	14	248793.27701	17	
P20241	Neuroglian	26.04	33	88	0	4505610.7348	82	
P20348	Sex-regulated protein janus-A	39.26	6	13	6	416376.25238	11	
P20351	Tryptophan 2,3-dioxygenase	9.5	3	3	3	56497.903999999995	3	
P20354	G protein alpha s subunit	47.01	15	32	1	4183.7207	1	
P20385	Chorion transcription factor Cf2	11.96	6	6	0	38139.79933	5	
P20432	Glutathione S-transferase D1	52.15	14	87	11	19596453.1348	76	
P20477	Glutamine synthetase 1, mitochondrial	53.38	20	72	0	10808386.1344	66	
P20478	Glutamine synthetase 2 cytoplasmic	76.96	26	204	0	60398826.31813	178	
P21187	Polyadenylate-binding protein	26.81	13	31	13	1467534.9585	31	
P21914	Succinate dehydrogenase [ubiquinone] iron-sulfur subunit, mitochondrial	60.61	20	123	18	11766654.9711	108	
P22465	Annexin B10	76.01	24	137	24	13888881.93365	119	
P22769	Proteasome subunit alpha type-7-1	58.63	12	28	10	1871796.0477	26	
P22813	Heat shock factor protein	4.34	3	3	0	11367.1013	2	
P22815	Protein bride of sevenless	2.01	2	3	2	27391.2019	3	
P22979	Heat shock protein 67B3	55.28	7	20	7	933963.3049999999	18	
P23128	ATP-dependent RNA helicase me31b	12.2	5	6	5	47150.7131	6	
P23226	205 kDa microtubule-associated protein	27.34	25	45	0	595045.17632	37	
P23257	Tubulin gamma-1 chain	3.58	2	2	0	28212.375999999997	2	
P23625	G protein alpha q subunit	57.51	21	85	18	7936499.1508	77	
P23654	Neurotactin	15.84	11	14	0	186267.99203999998	14	
P23696	Serine/threonine-protein phosphatase PP2A	37.86	9	15	0	484636.3031	12	
P23779	Cystatin-like protein	57.94	7	40	7	2602277.7811	36	
P24156	Prohibitin 1	68.12	18	72	0	5541595.56394	68	
P25007	Peptidyl-prolyl cis-trans isomerase	44.05	12	142	9	31544748.55783	121	
P25153	Ubiquitin-conjugating enzyme E2-17 kDa	17.22	2	3	0	163631.14	2	
P25160	ADP-ribosylation factor-like protein 1	10.56	2	4	2	49539.200000000004	4	
P25161	Probable 26S proteasome non-ATPase regulatory subunit 3	29.76	17	28	0	1369574.663	27	
P25171	Regulator of chromosome condensation	10.42	5	6	5	164229.80469999998	5	
P25172	Protein suppressor 2 of zeste	1.61	2	2	0	5923.8261	2	
P25228	Ras-related protein Rab-3	37.73	7	22	0	294355.5946	9	
P25455	1-phosphatidylinositol 4,5-bisphosphate phosphodiesterase classes I and II	6.37	9	10	9	137125.7977	9	
P25822	Maternal protein pumilio	3.13	5	6	0	74312.9062	6	
P25843	Profilin	88.89	7	37	0	1842131.81983	34	
P25867	Ubiquitin-conjugating enzyme E2-17 kDa	12.24	2	9	0	2152276.069	9	
P26270	26S proteasome non-ATPase regulatory subunit 7	15.38	6	12	0	180334.9496	12	
P26308	Guanine nucleotide-binding protein subunit beta-1	25.29	9	25	0	1053613.6075	21	
P26686	Serine-arginine protein 55	19.68	7	14	0	314470.71869999997	14	
P27716	Innexin inx1	2.49	1	1	0	2753.7305	1	
P27779	Pupal cuticle protein Edg-78E	9.84	2	9	0	561384.3456	8	
P28668	Bifunctional glutamate/proline--tRNA ligase	4.67	8	9	8	79070.8692	9	
P29052	Transcription initiation factor IIB	16.83	6	10	0	187145.8433	10	
P29310	14-3-3 protein zeta	68.55	19	282	0	46429761.61331	236	
P29327	Small ribosomal subunit protein eS6	20.16	5	15	2	910050.70344	15	
P29413	Calreticulin	58.13	22	67	0	6870486.08221	62	
P29613	Triosephosphate isomerase	78.54	20	145	19	31655952.68128	138	
P29742	Clathrin heavy chain	7.99	13	14	0	104087.4041	12	
P29746	Protein bangles and beads	63.12	27	57	27	4583616.5027	56	
P29829	Guanine nucleotide-binding protein subunit beta-2	50.58	17	78	17	4333184.70865	66	
P29843	Heat shock 70 kDa protein cognate 1	27.15	16	75	2	177465.1708	6	
P29844	Endoplasmic reticulum chaperone BiP	65.24	43	255	0	16270585.8793	173	
P29845	Heat shock 70 kDa protein cognate 5	59.18	46	196	0	17771291.61015	165	
P30432	Furin-like protease 2	2.5	4	4	0	27882.945	3	
P31007	Disks large 1 tumor suppressor protein	34.33	35	113	1	7325.392	1	
P31009	Small ribosomal subunit protein uS5	50.56	12	38	0	5665844.3025	37	
P31409	V-type proton ATPase subunit B	62.65	26	100	0	6170390.57841	83	
P32100	Large ribosomal subunit protein uL30	44.44	13	35	0	2163159.1618	29	
P32234	Guanylate binding protein 128up	16.85	6	9	5	154657.2844	8	
P32392	Actin-related protein 3	26.56	9	16	9	414838.01466	16	
P32748	Dihydroorotate dehydrogenase (quinone), mitochondrial	24.2	10	18	10	582643.9396	18	
P33438	Glutactin	36.94	29	56	0	762155.59153	42	
P34082	Fasciclin-2	26.8	21	34	0	993827.72636	29	
P35122	Ubiquitin carboxyl-terminal hydrolase	59.91	10	28	0	1651834.51285	23	
P35128	Ubiquitin-conjugating enzyme E2 N	50.99	6	24	0	1219984.4077	23	
P35220	Catenin alpha	26.39	24	38	14	749718.05025	35	
P35381	ATP synthase subunit alpha, mitochondrial	67.57	50	417	50	114340867.63461	368	
P35415	Paramyosin, long form	75.2	91	521	0	42216031.24548	455	
P35416	Paramyosin, short form	60.0	45	292	0	5513406.22336	51	
P35421	Phosphoribosylformylglycinamidine synthase	2.81	4	4	4	12132.8984	4	
P35554	Flightin	54.4	9	20	0	2665252.6777999997	19	
P35992	Tyrosine-protein phosphatase 10D	2.86	7	7	6	72030.66106	7	
P36179	Serine/threonine-protein phosphatase PP2A 65 kDa regulatory subunit	47.88	23	58	0	4263583.63148	55	
P36188	Troponin I	57.99	21	83	0	7462109.16441	77	
P36241	Large ribosomal subunit protein eL19	31.53	7	19	7	1098893.7667999999	16	
P36872	Protein phosphatase PP2A 55 kDa regulatory subunit	5.21	3	4	0	8099.3812	4	
P36951	Putative hydroxypyruvate isomerase	42.05	10	33	10	2258286.1352	31	
P36958	DNA-directed RNA polymerase II subunit RPB9	31.01	3	6	0	73635.19177	2	
P36975	Synaptosomal-associated protein 25	87.74	21	143	19	7110693.60602	112	
P37193	Adrenodoxin-like protein 1, mitochondrial	22.67	3	9	0	300036.319	9	
P37236	Frequenin-1	71.66	12	40	0	1282665.5234	12	
P37276	Dynein heavy chain, cytoplasmic	0.17	1	1	0	10046.117	1	
P38040	Guanine nucleotide-binding protein subunit gamma-1	68.57	5	24	5	937465.4051	12	
P38979	Small ribosomal subunit protein uS2	75.19	16	83	16	9830061.50555	71	
P39018	Small ribosomal subunit protein eS19A	64.74	14	52	0	5152061.8767	52	
P39736	Puff-specific protein Bx42	9.87	4	5	0	42801.7498	4	
P40301	Proteasome subunit alpha type-2	23.08	5	8	5	306168.5356	6	
P40304	Proteasome subunit beta type-1	31.91	7	13	7	761235.4292	12	
P40320	S-adenosylmethionine synthase	12.5	6	7	0	289223.2707	6	
P40417	Mitogen-activated protein kinase ERK-A	55.59	15	36	8	1684415.8983	32	
P40421	Serine/threonine-protein phosphatase rdgC	8.77	5	6	0	4330.309310000001	4	
P40423	Myosin regulatory light chain sqh	51.15	7	22	0	1012285.6677999999	20	
P40427	Homeobox protein extradenticle	9.31	3	4	0	125583.6535	4	
P40792	Ras-related protein Rac1	34.38	6	13	0	1129904.81615	13	
P40793	Cdc42 homolog	24.61	4	8	0	530306.0523	7	
P40796	La protein homolog	40.51	13	18	12	340148.5452	16	
P40797	Protein peanut	38.4	19	35	18	1625915.4542	35	
P40945	ADP ribosylation factor 4	38.33	5	12	0	215434.6356	7	
P40946	ADP-ribosylation factor 6	21.14	3	5	3	507589.5544	5	
P41042	Small ribosomal subunit protein eS4	45.59	12	38	0	1349360.4936	33	
P41043	Glutathione S-transferase S1	83.53	19	72	0	9696538.12455	66	
P41044	Calbindin-32	76.77	26	157	0	12411779.3556	144	
P41073	Zinc finger protein on ecdysone puffs	19.55	13	28	0	482832.3418	23	
P41092	Large ribosomal subunit protein uL15	36.24	6	22	0	1556769.9724	21	
P41093	Large ribosomal subunit protein eL20	44.07	8	14	8	803891.7197	14	
P41094	Small ribosomal subunit protein uS13	60.53	15	46	15	3699866.1240999997	43	
P41126	Large ribosomal subunit protein eL13	44.5	13	50	0	3051008.1588000003	40	
P41374	Eukaryotic translation initiation factor 2 subunit 1	48.39	18	46	0	2946827.7122	40	
P41375	Eukaryotic translation initiation factor 2 subunit 2	16.67	6	8	6	174822.7886	7	
P41572	6-phosphogluconate dehydrogenase, decarboxylating	32.22	12	20	0	811776.95	18	
P41900	General transcription factor IIF subunit 2	6.86	1	1	1	483.0703	1	
P42207	Septin-1	12.47	5	7	4	155036.3712	5	
P42281	Acyl-CoA-binding protein homolog	77.91	8	49	7	5299616.76052	45	
P42325	Neurocalcin homolog	61.05	12	34	12	1845597.55323	31	
P42787	Carboxypeptidase D	5.33	7	15	0	314236.3042	12	
P43332	U1 small nuclear ribonucleoprotein A	17.59	4	5	4	251121.134	5	
P45437	Coatomer subunit beta	8.61	5	8	5	108815.34597	7	
P45594	Cofilin/actin-depolymerizing factor homolog	85.81	15	98	15	18285112.51836	87	
P45888	Actin-related protein 2	28.82	9	17	9	1016783.27	15	
P45889	Actin-related protein 1	37.23	12	24	12	961620.3224	22	
P46150	Moesin/ezrin/radixin homolog 1	44.12	31	74	0	27945.69	1	
P46222	Large ribosomal subunit protein uL5	32.61	7	20	0	1207295.62718	16	
P46223	Large ribosomal subunit protein eL8	34.69	11	35	0	2508194.5925	35	
P46415	Alcohol dehydrogenase class-3	14.25	6	12	6	590109.705	10	
P46461	Vesicle-fusing ATPase 1	51.81	38	76	0	2364877.8585800002	72	
P46824	Kinesin light chain	48.43	25	56	0	2465360.4583	51	
P47947	Troponin C, isoform 1	20.78	3	32	0	2610544.8449999997	31	
P47948	Troponin C, isoform 2	48.39	6	16	0	155571.1198	9	
P47949	Troponin C, isoform 3	62.58	8	28	0	1540857.20616	23	
P48148	Ras-like GTP-binding protein Rho1	61.98	12	32	12	4000575.4891	30	
P48149	Small ribosomal subunit protein uS8A	43.85	7	30	0	2179591.2724	26	
P48159	Large ribosomal subunit protein uL14	70.71	8	39	8	1857019.9	36	
P48375	Peptidyl-prolyl cis-trans isomerase Fkbp12	76.85	7	40	7	9434991.8042	39	
P48451	Calcineurin subunit B type 1	62.35	8	26	0	309046.64376	9	
P48461	Serine/threonine-protein phosphatase alpha-1 isoform	24.16	7	16	0	40808.182	3	
P48554	Ras-related protein Rac2	26.04	5	12	0	27031.68	1	
P48555	Ras-related protein Ral-a	58.21	10	29	1	1928897.4915	28	
P48588	Small ribosomal subunit protein eS25	19.66	2	4	2	82415.95119999998	4	
P48596	GTP cyclohydrolase 1	56.79	16	71	16	10044231.26754	60	
P48598	Eukaryotic translation initiation factor 4E1	39.77	7	16	0	503822.47	14	
P48601	26S proteasome regulatory subunit 4	63.33	29	66	0	2166141.18835	47	
P48602	V-type proton ATPase catalytic subunit A isoform 1	66.29	32	113	0	5803417.1444999995	104	
